Quarter,Time,Down,ToGo,Location,LVR,TEN,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Raiders won the coin toss and deferred, Titans to receive the opening kickoff.",,,3.0,2022,41
1.0,15:00,,,LVR 35,0.0,0.0,"Daniel Carlson kicks off 65 yards, touchback.",0.0,0.61,3.0,2022,41
1.0,15:00,1.0,10.0,TEN 25,0.0,0.0,Derrick Henry up the middle for -3 yards (tackle by Maxx Crosby),0.61,-0.34,3.0,2022,41
1.0,14:22,2.0,13.0,TEN 22,0.0,0.0,Ryan Tannehill pass complete short right to Derrick Henry for 23 yards (tackle by Nate Hobbs),-0.34,1.93,3.0,2022,41
1.0,13:33,1.0,10.0,TEN 45,0.0,0.0,Ryan Tannehill pass incomplete short middle intended for Robert Woods (defended by Maxx Crosby),1.93,1.38,3.0,2022,41
1.0,13:30,2.0,10.0,TEN 45,0.0,0.0,Derrick Henry right guard for no gain (tackle by Rock Ya-Sin and Maxx Crosby),1.38,0.7,3.0,2022,41
1.0,12:47,3.0,10.0,TEN 45,0.0,0.0,Ryan Tannehill pass complete short left to Austin Hooper for 11 yards (tackle by Johnathan Abram),0.7,2.65,3.0,2022,41
1.0,12:05,1.0,10.0,LVR 44,0.0,0.0,Derrick Henry right guard for 9 yards (tackle by Roderic Teamer),2.65,3.33,3.0,2022,41
1.0,11:27,2.0,1.0,LVR 35,0.0,0.0,Derrick Henry left guard for 10 yards (tackle by Roderic Teamer),3.33,3.91,3.0,2022,41
1.0,10:44,1.0,10.0,LVR 25,0.0,0.0,Treylon Burks right end for 8 yards (tackle by Roderic Teamer),3.91,4.55,3.0,2022,41
1.0,10:09,2.0,2.0,LVR 17,0.0,0.0,"Ryan Tannehill pass complete to Derrick Henry for no gain (tackle by Jayon Brown). Penalty on Ben Jones: Offensive Holding, 10 yards (accepted) (no play)",4.55,3.09,3.0,2022,41
1.0,9:41,2.0,12.0,LVR 27,0.0,0.0,Ryan Tannehill pass complete short middle to Robert Woods for 16 yards (tackle by Amik Robertson),3.09,4.84,3.0,2022,41
1.0,8:54,1.0,10.0,LVR 11,0.0,0.0,Ryan Tannehill pass complete short middle to Derrick Henry for 6 yards (tackle by Jayon Brown and Divine Deablo),4.84,5.28,3.0,2022,41
1.0,8:10,2.0,4.0,LVR 5,0.0,0.0,Ryan Tannehill up the middle for 3 yards (tackle by Clelin Ferrell),5.28,5.12,3.0,2022,41
1.0,7:25,3.0,1.0,LVR 2,0.0,6.0,"Ryan Tannehill pass complete short right to Geoff Swaim for 2 yards, touchdown",5.12,7.0,3.0,2022,41
1.0,7:22,,,LVR 15,0.0,7.0,Randy Bullock kicks extra point good,0.0,0.0,3.0,2022,41
1.0,7:22,,,TEN 35,0.0,7.0,"Randy Bullock kicks off 63 yards, recovered by Ameer Abdullah in end zone",0.0,0.61,3.0,2022,41
1.0,7:22,1.0,10.0,LVR 25,0.0,7.0,Derek Carr pass complete short middle to Davante Adams for 3 yards (tackle by David Long),0.61,0.33,3.0,2022,41
1.0,6:41,2.0,8.0,LVR 27,0.0,7.0,"Derek Carr pass incomplete deep right intended for Keelan Cole. Penalty on Roger McCreary: Defensive Pass Interference, 36 yards (accepted) (no play)",0.33,3.12,3.0,2022,41
1.0,6:33,1.0,10.0,TEN 37,0.0,7.0,Davante Adams left end for -4 yards (tackle by Kristian Fulton),3.12,2.1,3.0,2022,41
1.0,5:53,2.0,14.0,TEN 40,0.0,7.0,Derek Carr pass complete short left to Josh Jacobs for -1 yards (tackle by Kristian Fulton),2.1,1.29,3.0,2022,41
