Quarter,Time,Down,ToGo,Location,CIN,NYJ,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Bengals won the coin toss, Bengals to receive the opening kickoff.",,,3.0,2022,37
1.0,15:00,,,NYJ 35,0.0,0.0,"Greg Zuerlein kicks off 65 yards, touchback.",0.0,0.61,3.0,2022,37
1.0,15:00,1.0,10.0,CIN 25,0.0,0.0,Joe Burrow pass complete short right to Tyler Boyd for 13 yards (tackle by C.J. Mosley and Lamarcus Joyner),0.61,1.47,3.0,2022,37
1.0,14:26,1.0,10.0,CIN 38,0.0,0.0,Joe Burrow pass complete short right to Tee Higgins for 6 yards (tackle by Sauce Gardner),1.47,1.73,3.0,2022,37
1.0,13:56,2.0,4.0,CIN 44,0.0,0.0,Joe Burrow pass incomplete deep left intended for Ja'Marr Chase,1.73,1.02,3.0,2022,37
1.0,13:47,3.0,4.0,CIN 44,0.0,0.0,"Penalty on CIN: Delay of Game, 5 yards (accepted) (no play)",1.02,0.37,3.0,2022,37
1.0,13:47,3.0,9.0,CIN 39,0.0,0.0,Joe Burrow pass complete deep left to Tee Higgins for 19 yards (tackle by D.J. Reed),0.37,2.79,3.0,2022,37
1.0,13:14,1.0,10.0,NYJ 42,0.0,0.0,Joe Burrow pass complete short right to Tee Higgins for 14 yards (tackle by C.J. Mosley),2.79,3.71,3.0,2022,37
1.0,12:36,1.0,10.0,NYJ 28,0.0,0.0,Joe Mixon right end for -5 yards (tackle by Jermaine Johnson),3.71,2.49,3.0,2022,37
1.0,12:00,2.0,15.0,NYJ 33,0.0,0.0,Joe Burrow pass complete short left to Joe Mixon for 7 yards (tackle by D.J. Reed),2.49,2.74,3.0,2022,37
1.0,11:20,3.0,8.0,NYJ 26,0.0,0.0,Joe Burrow pass complete short right to Tyler Boyd for 22 yards (tackle by C.J. Mosley and Lamarcus Joyner),2.74,6.28,3.0,2022,37
1.0,10:35,1.0,4.0,NYJ 4,0.0,0.0,"Joe Burrow pass complete short middle to Tyler Boyd for no gain, touchdown. Penalty on Cordell Volson: Offensive Holding, 10 yards (accepted) (no play)",6.28,4.44,3.0,2022,37
1.0,10:31,1.0,14.0,NYJ 14,0.0,0.0,Joe Burrow pass complete short left to Joe Mixon for 2 yards (tackle by C.J. Mosley),4.44,3.86,3.0,2022,37
1.0,9:50,2.0,12.0,NYJ 12,0.0,0.0,"Joe Burrow pass incomplete short right intended for Tee Higgins (defended by D.J. Reed) CIN challenged the pass completion ruling, and the play was upheld.",3.86,3.1,3.0,2022,37
1.0,9:45,3.0,12.0,NYJ 12,6.0,0.0,"Joe Burrow pass complete to Samaje Perine for 12 yards, touchdown",3.1,7.0,3.0,2022,37
1.0,9:35,,,NYJ 15,7.0,0.0,Evan McPherson kicks extra point good,0.0,0.0,3.0,2022,37
1.0,9:35,,,CIN 35,7.0,0.0,"Evan McPherson kicks off 65 yards, touchback.",0.0,0.61,3.0,2022,37
1.0,9:30,1.0,10.0,NYJ 25,7.0,0.0,"Joe Flacco pass incomplete short right intended for Garrett Wilson. Penalty on Chidobe Awuzie: Defensive Holding, 5 yards (accepted) (no play)",0.61,0.94,3.0,2022,37
1.0,9:29,1.0,10.0,NYJ 30,7.0,0.0,Michael Carter right guard for 2 yards (tackle by Sam Hubbard),0.94,0.66,3.0,2022,37
1.0,8:57,2.0,8.0,NYJ 32,7.0,0.0,Michael Carter up the middle for 8 yards (tackle by Chidobe Awuzie),0.66,1.6,3.0,2022,37
1.0,8:18,1.0,10.0,NYJ 40,7.0,0.0,Joe Flacco pass complete short left to Elijah Moore for 5 yards (tackle by Chidobe Awuzie),1.6,1.73,3.0,2022,37
1.0,7:44,2.0,5.0,NYJ 45,7.0,0.0,Joe Flacco pass complete short left to Garrett Wilson for -1 yards (tackle by Vonn Bell),1.73,0.89,3.0,2022,37
1.0,7:07,3.0,6.0,NYJ 44,7.0,0.0,Joe Flacco pass complete deep left to Garrett Wilson for 23 yards (tackle by Vonn Bell),0.89,3.38,3.0,2022,37
1.0,6:31,1.0,10.0,CIN 33,7.0,0.0,Breece Hall right guard for 3 yards (tackle by Akeem Davis-Gaither and Logan Wilson),3.38,3.24,3.0,2022,37
1.0,5:51,2.0,7.0,CIN 30,7.0,0.0,Braxton Berrios right end for -2 yards (tackle by Akeem Davis-Gaither),3.24,2.28,3.0,2022,37
1.0,5:12,3.0,9.0,CIN 32,7.0,0.0,Joe Flacco pass incomplete short right intended for Breece Hall,2.28,1.24,3.0,2022,37
1.0,5:08,4.0,9.0,CIN 32,7.0,3.0,Greg Zuerlein 50 yard field goal good,1.24,3.0,3.0,2022,37
1.0,5:04,,,NYJ 35,7.0,3.0,"Greg Zuerlein kicks off 65 yards, touchback.",0.0,0.61,3.0,2022,37
1.0,5:04,1.0,10.0,CIN 25,7.0,3.0,Joe Mixon up the middle for 4 yards (tackle by Sheldon Rankins),0.61,0.6,3.0,2022,37
1.0,4:33,2.0,6.0,CIN 29,7.0,3.0,Joe Burrow pass complete short right to Tee Higgins for 9 yards (tackle by Sauce Gardner and C.J. Mosley),0.6,1.47,3.0,2022,37
1.0,3:54,1.0,10.0,CIN 38,7.0,3.0,"Joe Burrow pass complete short right to Ja'Marr Chase for 3 yards. Ja'Marr Chase fumbles, recovered by C.J. Mosley at CIN-43 (tackle by Ja'Marr Chase)",1.47,-2.72,3.0,2022,37
1.0,3:45,1.0,10.0,CIN 43,7.0,3.0,Joe Flacco pass complete deep right to Elijah Moore for 16 yards (tackle by Chidobe Awuzie),2.72,3.78,3.0,2022,37
1.0,3:09,1.0,10.0,CIN 27,7.0,3.0,Michael Carter right end for 4 yards (tackle by Mike Hilton),3.78,3.77,3.0,2022,37
1.0,2:35,2.0,6.0,CIN 23,7.0,3.0,Michael Carter up the middle for 1 yard (tackle by D.J. Reader and Mike Hilton),3.77,3.2,3.0,2022,37
1.0,1:58,3.0,5.0,CIN 22,7.0,3.0,Joe Flacco pass incomplete deep left intended for Elijah Moore (defended by Chidobe Awuzie),3.2,2.04,3.0,2022,37
1.0,1:52,4.0,5.0,CIN 22,7.0,6.0,Greg Zuerlein 40 yard field goal good,2.04,3.0,3.0,2022,37
1.0,1:49,,,NYJ 35,7.0,6.0,"Greg Zuerlein kicks off 65 yards, touchback.",0.0,0.61,3.0,2022,37
1.0,1:49,1.0,10.0,CIN 25,7.0,6.0,Joe Mixon up the middle for 1 yard (tackle by Quincy Williams and Jordan Whitehead),0.61,0.2,3.0,2022,37
1.0,1:05,2.0,9.0,CIN 26,7.0,6.0,Joe Burrow pass incomplete short left intended for Ja'Marr Chase,0.2,-0.49,3.0,2022,37
1.0,0:59,3.0,9.0,CIN 26,7.0,6.0,"Joe Burrow pass incomplete short right intended for Samaje Perine. Penalty on John Franklin-Myers: Roughing the Passer, 15 yards (accepted) (no play)",-0.49,1.66,3.0,2022,37
1.0,0:50,1.0,10.0,CIN 41,7.0,6.0,Joe Mixon up the middle for 3 yards (tackle by Jermaine Johnson),1.66,1.53,3.0,2022,37
1.0,0:12,2.0,7.0,CIN 44,7.0,6.0,Joe Burrow pass incomplete deep right intended for Ja'Marr Chase (defended by Sauce Gardner),1.53,0.83,3.0,2022,37
1.0,0:05,,,,,,Timeout #2 by Cincinnati Bengals,,,3.0,2022,37
1.0,0:05,3.0,7.0,CIN 44,13.0,6.0,"Joe Burrow pass complete short middle to Tyler Boyd for 56 yards, touchdown",0.83,7.0,3.0,2022,37
1.0,0:00,,,NYJ 15,14.0,6.0,Evan McPherson kicks extra point good,0.0,0.0,3.0,2022,37
2.0,15:00,,,CIN 35,14.0,6.0,"Evan McPherson kicks off 70 yards, returned by Braxton Berrios for 20 yards (tackle by Clay Johnston and Stanley Morgan)",0.0,-0.22,3.0,2022,37
2.0,14:56,1.0,10.0,NYJ 15,14.0,6.0,Breece Hall up the middle for 2 yards (tackle by Zachary Carter and Logan Wilson),-0.22,-0.44,3.0,2022,37
2.0,14:29,2.0,8.0,NYJ 17,14.0,6.0,Joe Flacco pass complete short right to Corey Davis for 5 yards (tackle by Logan Wilson),-0.44,-0.51,3.0,2022,37
2.0,13:51,3.0,3.0,NYJ 22,14.0,6.0,Joe Flacco pass complete short middle to Breece Hall for 18 yards (tackle by Akeem Davis-Gaither),-0.51,1.6,3.0,2022,37
2.0,13:15,1.0,10.0,NYJ 40,14.0,6.0,Breece Hall right tackle for -1 yards (tackle by Vonn Bell),1.6,0.92,3.0,2022,37
2.0,12:38,2.0,11.0,NYJ 39,14.0,6.0,Joe Flacco pass complete short left to Garrett Wilson for 11 yards (tackle by Vonn Bell and Mike Hilton),0.92,2.26,3.0,2022,37
2.0,11:57,1.0,10.0,NYJ 50,14.0,6.0,Joe Flacco sacked by Cameron Sample for -6 yards,2.26,0.9,3.0,2022,37
2.0,11:36,2.0,16.0,NYJ 44,14.0,6.0,"Joe Flacco sacked by Trey Hendrickson for -8 yards. Joe Flacco fumbles (forced by Trey Hendrickson), recovered by Alijah Vera-Tucker at NYJ-36",0.9,-0.82,3.0,2022,37
2.0,10:48,3.0,24.0,NYJ 36,14.0,6.0,Joe Flacco pass complete short left to Michael Carter for 7 yards (tackle by Akeem Davis-Gaither),-0.82,-0.52,3.0,2022,37
2.0,10:23,4.0,17.0,NYJ 43,14.0,6.0,"Braden Mann punts 47 yards, returned by Trent Taylor for 15 yards (tackle by Ashtyn Davis)",-0.52,-0.61,3.0,2022,37
2.0,10:13,1.0,10.0,CIN 25,14.0,6.0,"Joe Burrow pass complete deep right to Tee Higgins for 45 yards (tackle by Sauce Gardner and Lamarcus Joyner). Penalty on Lamarcus Joyner: Unnecessary Roughness / Defense, 15 yards (accepted)",0.61,4.58,3.0,2022,37
