Player,Tm,Receiving Tgt,Receiving Rec,Receiving Yds,Receiving TD,Receiving Lng,week,year,game_id
Jared Goff,DET,0,0,0,0,0,3.0,2022,39
Jamaal Williams,DET,2,2,20,0,17,3.0,2022,39
D'Andre Swift,DET,4,3,15,0,11,3.0,2022,39
Craig Reynolds,DET,1,1,5,0,5,3.0,2022,39
Josh Reynolds,DET,10,6,96,0,26,3.0,2022,39
Amon-Ra St. Brown,DET,9,6,73,0,30,3.0,2022,39
DJ Chark,DET,6,3,46,0,23,3.0,2022,39
T.J. Hockenson,DET,4,3,18,1,7,3.0,2022,39
Kalif Raymond,DET,1,1,4,0,4,3.0,2022,39
Kirk Cousins,MIN,0,0,0,0,0,3.0,2022,39
Dalvin Cook,MIN,0,0,0,0,0,3.0,2022,39
Alexander Mattison,MIN,1,1,16,0,16,3.0,2022,39
K.J. Osborn,MIN,8,5,73,1,28,3.0,2022,39
Adam Thielen,MIN,8,6,61,1,15,3.0,2022,39
Irv Smith Jr.,MIN,6,2,32,0,17,3.0,2022,39
Ben Ellefson,MIN,2,2,24,0,12,3.0,2022,39
Johnny Mundt,MIN,2,2,23,0,12,3.0,2022,39
C.J. Ham,MIN,3,2,15,0,12,3.0,2022,39
Justin Jefferson,MIN,6,3,14,0,6,3.0,2022,39
Jalen Reagor,MIN,1,1,2,0,2,3.0,2022,39
