Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br,week,year,game_id
Najee Harris,PIT,15,56,1,5,29,1.9,27,1.8,2,7.5,3.0,2022,33
Jaylen Warren,PIT,4,30,0,2,23,5.8,7,1.8,0,,3.0,2022,33
Mitchell Trubisky,PIT,2,7,1,1,4,2.0,3,1.5,0,,3.0,2022,33
Chase Claypool,PIT,1,11,0,1,4,4.0,7,7.0,0,,3.0,2022,33
Nick Chubb,CLE,23,113,1,4,36,1.6,77,3.3,4,5.8,3.0,2022,33
Kareem Hunt,CLE,12,47,0,3,24,2.0,23,1.9,0,,3.0,2022,33
Jacoby Brissett,CLE,3,11,0,3,4,1.3,7,2.3,0,,3.0,2022,33
