Unnamed: 0,GNB,TAM,week,year,game_id
First Downs,14,19,3.0,2022,46
Rush-Yds-TDs,25-67-0,14-34-0,3.0,2022,46
Cmp-Att-Yd-TD-INT,27-35-255-2-1,31-42-271-1-0,3.0,2022,46
Sacked-Yards,1-7,3-20,3.0,2022,46
Net Pass Yards,248,251,3.0,2022,46
Total Yards,315,285,3.0,2022,46
Fumbles-Lost,2-1,3-2,3.0,2022,46
Turnovers,2,2,3.0,2022,46
Penalties-Yards,8-65,6-40,3.0,2022,46
Third Down Conv.,6-15,2-11,3.0,2022,46
Fourth Down Conv.,0-0,1-1,3.0,2022,46
Time of Possession,33:25,26:35,3.0,2022,46
