Quarter,Time,Down,ToGo,Location,LAR,ARI,Detail,EPB,EPA,week,year,game_id
2.0,15:00,1.0,15.0,ARI 31,10.0,0.0,Darrell Henderson up the middle for 3 yards (tackle by Zach Allen and Nick Vigil),3.51,3.03,3.0,2022,45
2.0,14:19,2.0,12.0,ARI 28,10.0,0.0,Matthew Stafford pass incomplete deep left intended for Cooper Kupp,3.03,2.35,3.0,2022,45
2.0,14:13,3.0,12.0,ARI 28,10.0,0.0,Matthew Stafford pass complete short left to Tyler Higbee for 6 yards (tackle by Dennis Gardeck),2.35,2.02,3.0,2022,45
2.0,13:28,4.0,6.0,ARI 22,13.0,0.0,Matt Gay 40 yard field goal good,2.02,3.0,3.0,2022,45
2.0,13:23,,,LAR 35,13.0,0.0,"Matt Gay kicks off 65 yards, touchback.",0.0,0.61,3.0,2022,45
2.0,13:23,1.0,10.0,ARI 25,13.0,0.0,Kyler Murray pass incomplete short right intended for James Conner,0.61,0.06,3.0,2022,45
2.0,13:18,2.0,10.0,ARI 25,13.0,0.0,Kyler Murray sacked by Terrell Lewis for -4 yards,0.06,-1.15,3.0,2022,45
2.0,12:43,3.0,14.0,ARI 21,13.0,0.0,Kyler Murray pass incomplete short middle intended for Zach Ertz (defended by Jalen Ramsey),-1.15,-1.96,3.0,2022,45
2.0,12:37,4.0,14.0,ARI 21,13.0,0.0,"Andy Lee punts 54 yards, returned by Brandon Powell for 10 yards (tackle by Dennis Gardeck and Deionte Thompson)",-1.96,-1.27,3.0,2022,45
2.0,12:23,1.0,10.0,LAR 35,13.0,0.0,Matthew Stafford pass complete short middle to Allen Robinson for 8 yards (tackle by Zaven Collins),1.27,1.8,3.0,2022,45
2.0,11:43,2.0,2.0,LAR 43,13.0,0.0,Matthew Stafford pass incomplete deep middle intended for Tutu Atwell,1.8,1.09,3.0,2022,45
2.0,11:35,3.0,2.0,LAR 43,13.0,0.0,"Penalty on Alaric Jackson: False Start, 5 yards (accepted) (no play)",1.09,0.43,3.0,2022,45
2.0,11:35,,,,,,Timeout #2 by Los Angeles Rams,,,3.0,2022,45
2.0,11:35,3.0,7.0,LAR 38,13.0,0.0,Matthew Stafford pass incomplete short right intended for Darrell Henderson,0.43,-0.85,3.0,2022,45
2.0,11:32,4.0,7.0,LAR 38,13.0,0.0,"Riley Dixon punts 42 yards, returned by Greg Dortch for 10 yards (tackle by Christian Rozeboom)",-0.85,-0.94,3.0,2022,45
2.0,11:21,1.0,10.0,ARI 30,13.0,0.0,"James Conner up the middle for no gain (tackle by Nick Scott). Penalty on Rodney Hudson: Offensive Holding, 10 yards (accepted) (no play)",0.94,0.28,3.0,2022,45
2.0,10:59,1.0,20.0,ARI 20,13.0,0.0,Kyler Murray pass complete short left to Marquise Brown for 2 yards (tackle by Jalen Ramsey),0.28,-0.69,3.0,2022,45
2.0,10:22,2.0,18.0,ARI 22,13.0,0.0,Kyler Murray pass complete short left to James Conner for 7 yards (tackle by Terrell Lewis),-0.69,-0.43,3.0,2022,45
2.0,9:51,3.0,11.0,ARI 29,13.0,0.0,Kyler Murray pass complete short left to Marquise Brown for 10 yards (tackle by Jalen Ramsey),-0.43,-0.78,3.0,2022,45
2.0,9:11,4.0,1.0,ARI 39,13.0,0.0,James Conner up the middle for 2 yards (tackle by Leonard Floyd),-0.78,1.66,3.0,2022,45
2.0,8:26,1.0,10.0,ARI 41,13.0,0.0,Kyler Murray pass incomplete short right,1.66,1.12,3.0,2022,45
2.0,8:20,2.0,10.0,ARI 41,13.0,0.0,Eno Benjamin up the middle for 9 yards (tackle by Nick Scott),1.12,1.62,3.0,2022,45
2.0,7:36,3.0,1.0,ARI 50,13.0,0.0,James Conner right end for -1 yards (tackle by Jalen Ramsey),1.62,-0.13,3.0,2022,45
2.0,6:51,4.0,2.0,ARI 49,13.0,0.0,Kyler Murray pass complete short right to Marquise Brown for 4 yards (tackle by Nick Scott),-0.13,2.46,3.0,2022,45
2.0,6:25,1.0,10.0,LAR 47,13.0,0.0,Kyler Murray pass complete short left to Marquise Brown for 20 yards (tackle by Taylor Rapp),2.46,3.78,3.0,2022,45
2.0,5:44,1.0,10.0,LAR 27,13.0,0.0,Eno Benjamin right end for no gain (tackle by Grant Haley and Leonard Floyd),3.78,3.23,3.0,2022,45
2.0,5:09,2.0,10.0,LAR 27,13.0,0.0,Kyler Murray pass incomplete short right intended for Eno Benjamin,3.23,2.54,3.0,2022,45
2.0,5:05,3.0,10.0,LAR 27,13.0,0.0,"Kyler Murray pass complete short left to Greg Dortch for 13 yards (tackle by Taylor Rapp). Penalty on Leonard Floyd: Defensive Offside, 5 yards (declined)",2.54,4.65,3.0,2022,45
2.0,4:32,,,,,,Timeout #1 by Arizona Cardinals,,,3.0,2022,45
2.0,4:32,1.0,10.0,LAR 14,13.0,0.0,Kyler Murray pass complete short middle to Eno Benjamin for 1 yard (tackle by Aaron Donald and Justin Hollins),4.65,4.16,3.0,2022,45
2.0,3:55,2.0,9.0,LAR 13,13.0,0.0,Kyler Murray pass complete short middle to Zach Ertz for 8 yards (tackle by Justin Hollins),4.16,4.96,3.0,2022,45
2.0,3:18,3.0,1.0,LAR 5,13.0,0.0,James Conner up the middle for 2 yards (tackle by Justin Hollins),4.96,6.51,3.0,2022,45
2.0,2:47,1.0,3.0,LAR 3,13.0,0.0,James Conner right tackle for -2 yards (tackle by Jalen Ramsey and Bobby Wagner),6.51,5.15,3.0,2022,45
2.0,2:01,2.0,5.0,LAR 5,13.0,0.0,Kyler Murray pass incomplete short right intended for Zach Ertz,5.15,4.26,3.0,2022,45
2.0,1:57,3.0,5.0,LAR 5,13.0,0.0,Kyler Murray pass incomplete short left intended for James Conner,4.26,3.01,3.0,2022,45
2.0,1:54,4.0,5.0,LAR 5,13.0,3.0,Matt Prater 23 yard field goal good,3.01,3.0,3.0,2022,45
2.0,1:51,,,ARI 35,13.0,3.0,"Matt Prater kicks off 65 yards, touchback.",0.0,0.61,3.0,2022,45
2.0,1:51,1.0,10.0,LAR 25,13.0,3.0,Darrell Henderson left end for 1 yard (tackle by Zaven Collins),0.61,0.2,3.0,2022,45
2.0,1:45,2.0,9.0,LAR 26,13.0,3.0,Matthew Stafford pass complete short left to Ben Skowronek for 4 yards (tackle by Jace Whittaker and Budda Baker),0.2,0.04,3.0,2022,45
2.0,1:03,3.0,5.0,LAR 30,13.0,3.0,Matthew Stafford pass incomplete deep left intended for Allen Robinson,0.04,-1.37,3.0,2022,45
2.0,0:58,4.0,5.0,LAR 30,13.0,3.0,"Riley Dixon punts 42 yards, returned by Greg Dortch for no gain (tackle by Jacob Harris)",-1.37,-0.81,3.0,2022,45
2.0,0:48,1.0,10.0,ARI 28,13.0,3.0,Kyler Murray pass incomplete short right intended for A.J. Green,0.81,0.26,3.0,2022,45
2.0,0:43,,,,,,Timeout #2 by Arizona Cardinals,,,3.0,2022,45
2.0,0:43,2.0,10.0,ARI 28,13.0,3.0,Kyler Murray pass complete short left to Zach Ertz for 10 yards (tackle by Taylor Rapp),0.26,1.47,3.0,2022,45
2.0,0:38,1.0,10.0,ARI 38,13.0,3.0,Kyler Murray pass incomplete short middle intended for Zach Ertz,1.47,0.92,3.0,2022,45
2.0,0:35,2.0,10.0,ARI 38,13.0,3.0,Kyler Murray pass complete short left to Marquise Brown for 11 yards (tackle by Jalen Ramsey),0.92,2.19,3.0,2022,45
2.0,0:29,1.0,10.0,ARI 49,13.0,3.0,"Kyler Murray pass complete to Greg Dortch for 3 yards (tackle by Grant Haley). Penalty on Andy Isabella: Offensive Holding, 10 yards (accepted)",2.19,1.73,3.0,2022,45
2.0,0:25,1.0,17.0,ARI 42,13.0,3.0,Kyler Murray pass complete short left to Marquise Brown for 13 yards (tackle by Derion Kendrick),1.73,2.46,3.0,2022,45
2.0,0:20,2.0,4.0,LAR 45,13.0,3.0,"Kyler Murray pass incomplete deep left intended for Marquise Brown. Penalty on D.J. Humphries: Offensive Holding, 10 yards (accepted) (no play)",2.46,1.11,3.0,2022,45
2.0,0:15,2.0,14.0,ARI 45,13.0,3.0,Kyler Murray pass complete deep right to Greg Dortch for 30 yards (tackle by Nick Scott),1.11,3.91,3.0,2022,45
2.0,0:07,,,,,,Timeout #3 by Arizona Cardinals,,,3.0,2022,45
2.0,0:07,1.0,10.0,LAR 25,13.0,6.0,Matt Prater 43 yard field goal good,3.91,3.0,3.0,2022,45
2.0,0:02,,,ARI 35,13.0,6.0,"Matt Prater kicks off 73 yards, returned by Brandon Powell for 31 yards (tackle by Trayvon Mullen). Penalty on Christian Rozeboom: Offensive Holding (accepted)",0.0,1.27,3.0,2022,45
3.0,15:00,,,ARI 35,13.0,6.0,"Matt Prater kicks off 65 yards, touchback.",0.0,0.61,3.0,2022,45
3.0,15:00,1.0,10.0,LAR 25,13.0,6.0,Cam Akers up the middle for 5 yards (tackle by Zach Allen and Nick Vigil),0.61,0.74,3.0,2022,45
3.0,14:26,2.0,5.0,LAR 30,13.0,6.0,Matthew Stafford sacked by J.J. Watt for -10 yards,0.74,-1.29,3.0,2022,45
3.0,13:44,3.0,15.0,LAR 20,13.0,6.0,Matthew Stafford pass complete short right to Tyler Higbee for 10 yards (tackle by Jace Whittaker),-1.29,-1.37,3.0,2022,45
3.0,13:06,4.0,5.0,LAR 30,13.0,6.0,"Riley Dixon punts 51 yards, returned by Greg Dortch for 2 yards (tackle by Robert Rochell). Penalty on Tanner Vallejo: Illegal Block Above the Waist, 10 yards (accepted)",-1.37,0.37,3.0,2022,45
3.0,12:57,1.0,10.0,ARI 11,13.0,6.0,Kyler Murray pass complete short left to Marquise Brown for 5 yards (tackle by Derion Kendrick),-0.37,-0.3,3.0,2022,45
3.0,12:27,2.0,5.0,ARI 16,13.0,6.0,Kyler Murray pass complete short right to Greg Dortch for 4 yards (tackle by Jalen Ramsey),-0.3,-0.37,3.0,2022,45
