Quarter,Time,Down,ToGo,Location,NOR,CAR,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Saints won the coin toss and deferred, Panthers to receive the opening kickoff.",,,3.0,2022,35
1.0,15:00,,,NOR 35,0.0,0.0,"Wil Lutz kicks off 56 yards, returned by Laviska Shenault for 18 yards (tackle by Kaden Elliss and Juwan Johnson)",0.0,0.74,3.0,2022,35
1.0,14:54,1.0,10.0,CAR 27,0.0,0.0,Christian McCaffrey up the middle for 14 yards (tackle by Pete Werner),0.74,1.66,3.0,2022,35
1.0,14:17,1.0,10.0,CAR 41,0.0,0.0,Christian McCaffrey left tackle for 4 yards (tackle by Demario Davis),1.66,1.66,3.0,2022,35
1.0,13:35,2.0,6.0,CAR 45,0.0,0.0,Baker Mayfield sacked by Demario Davis for -3 yards,1.66,0.56,3.0,2022,35
1.0,12:51,3.0,9.0,CAR 42,0.0,0.0,Baker Mayfield pass incomplete deep right intended for Robbie Anderson,0.56,-0.59,3.0,2022,35
1.0,12:45,4.0,9.0,CAR 42,0.0,0.0,"Johnny Hekker punts 47 yards, fair catch by Jarvis Landry at NO-11",-0.59,0.37,3.0,2022,35
1.0,12:37,1.0,10.0,NOR 11,0.0,0.0,"Jameis Winston aborted snap, recovered by Jameis Winston at NO-10 Jameis Winston up the middle for 5 yards (tackle by Damien Wilson)",-0.37,-0.37,3.0,2022,35
1.0,12:07,2.0,6.0,NOR 16,0.0,0.0,Alvin Kamara left guard for 27 yards (tackle by Jeremy Chinn),-0.37,1.8,3.0,2022,35
1.0,11:38,1.0,10.0,NOR 43,0.0,0.0,Jameis Winston pass incomplete short right intended for Chris Olave (defended by Jeremy Chinn),1.8,1.25,3.0,2022,35
1.0,11:34,2.0,10.0,NOR 43,0.0,0.0,Mark Ingram right tackle for 4 yards (tackle by Donte Jackson),1.25,1.09,3.0,2022,35
1.0,10:59,3.0,6.0,NOR 47,0.0,0.0,Jameis Winston pass complete short left to Michael Thomas for 12 yards (tackle by Donte Jackson),1.09,2.85,3.0,2022,35
1.0,10:20,1.0,10.0,CAR 41,0.0,0.0,Jameis Winston pass complete short middle to Michael Thomas for 8 yards (tackle by C.J. Henderson and Cory Littleton),2.85,3.39,3.0,2022,35
1.0,9:40,2.0,2.0,CAR 33,0.0,0.0,"Penalty on Adam Trautman: False Start, 5 yards (accepted) (no play)",3.39,2.71,3.0,2022,35
1.0,9:24,2.0,7.0,CAR 38,0.0,0.0,Alvin Kamara up the middle for 2 yards (tackle by Shaq Thompson),2.71,2.28,3.0,2022,35
1.0,8:26,3.0,5.0,CAR 36,0.0,0.0,"Jameis Winston pass complete to Michael Thomas for 17 yards. Penalty on Mark Ingram: Chop Block, 15 yards (accepted) (no play)",2.28,0.3,3.0,2022,35
1.0,7:57,3.0,20.0,NOR 49,0.0,0.0,Jameis Winston pass complete short right to Jarvis Landry for 9 yards (tackle by Shaq Thompson),0.3,0.46,3.0,2022,35
1.0,7:28,4.0,27.0,CAR 42,0.0,0.0,"Blake Gillikin punts 42 yards, touchback.",0.46,-0.28,3.0,2022,35
1.0,7:21,1.0,10.0,CAR 20,0.0,0.0,Baker Mayfield pass incomplete deep right intended for D.J. Moore,0.28,-0.27,3.0,2022,35
1.0,7:16,2.0,10.0,CAR 20,0.0,0.0,Christian McCaffrey left tackle for 4 yards (tackle by Pete Werner and Tyrann Mathieu),-0.27,-0.43,3.0,2022,35
1.0,6:40,3.0,6.0,CAR 24,0.0,0.0,Baker Mayfield pass incomplete deep left intended for D.J. Moore,-0.43,-1.77,3.0,2022,35
1.0,6:35,4.0,6.0,CAR 24,0.0,0.0,"Johnny Hekker punts 49 yards, returned by Jarvis Landry for 3 yards (tackle by Stantley Thomas-Oliver)",-1.77,-0.94,3.0,2022,35
1.0,6:26,1.0,10.0,NOR 30,0.0,0.0,Alvin Kamara right tackle for no gain (tackle by Derrick Brown),0.94,0.39,3.0,2022,35
1.0,5:32,2.0,10.0,NOR 30,0.0,0.0,"Jameis Winston pass incomplete short left intended for Alvin Kamara. Penalty on Yetur Gross-Matos: Unnecessary Roughness / Defense, 15 yards (accepted) (no play)",0.39,1.93,3.0,2022,35
1.0,5:44,1.0,10.0,NOR 45,0.0,6.0,"Alvin Kamara for -3 yards. Alvin Kamara fumbles (forced by Frankie Luvu), recovered by Marquis Haynes at NO-44 and returned for 44 yards, touchdown. Penalty on Nick Vannett: Offensive Holding, 10 yards (declined)",1.93,-7.0,3.0,2022,35
1.0,5:32,,,NOR 15,0.0,7.0,Eddy Pineiro kicks extra point good,0.0,0.0,3.0,2022,35
1.0,5:32,,,CAR 35,0.0,7.0,"Eddy Pineiro kicks off 65 yards, touchback.",0.0,0.61,3.0,2022,35
1.0,5:32,1.0,10.0,NOR 25,0.0,7.0,Jameis Winston pass incomplete short right,0.61,0.06,3.0,2022,35
1.0,5:27,2.0,10.0,NOR 25,0.0,7.0,Mark Ingram right guard for 4 yards (tackle by Damien Wilson and Frankie Luvu),0.06,-0.1,3.0,2022,35
1.0,4:41,3.0,6.0,NOR 29,0.0,7.0,Jameis Winston pass incomplete deep left intended for Jarvis Landry,-0.1,-1.44,3.0,2022,35
1.0,4:36,4.0,6.0,NOR 29,0.0,7.0,"Blake Gillikin punts 50 yards, returned by Shi Smith for 12 yards (tackle by J.T. Gray)",-1.44,-1.14,3.0,2022,35
1.0,4:26,1.0,10.0,CAR 33,0.0,7.0,Christian McCaffrey right tackle for 7 yards (tackle by Bradley Roby),1.14,1.47,3.0,2022,35
1.0,3:50,2.0,4.0,CAR 40,0.0,7.0,Chuba Hubbard up the middle for 7 yards (tackle by P.J. Williams and Pete Werner),1.47,2.06,3.0,2022,35
1.0,3:18,1.0,10.0,CAR 47,0.0,7.0,Baker Mayfield pass complete short right to Ian Thomas for 9 yards (tackle by Carl Granderson),2.06,2.73,3.0,2022,35
1.0,2:31,2.0,1.0,NOR 44,0.0,7.0,Christian McCaffrey left guard for 3 yards (tackle by Tyrann Mathieu),2.73,2.85,3.0,2022,35
1.0,2:09,1.0,10.0,NOR 41,0.0,7.0,Baker Mayfield pass complete short left to Shi Smith for -2 yards (tackle by Justin Evans),2.85,2.04,3.0,2022,35
1.0,1:37,2.0,12.0,NOR 43,0.0,7.0,Baker Mayfield pass complete short right to Robbie Anderson for 14 yards (tackle by Bradley Roby),2.04,3.64,3.0,2022,35
1.0,0:53,1.0,10.0,NOR 29,0.0,7.0,Baker Mayfield pass incomplete short right intended for Ian Thomas (defended by P.J. Williams),3.64,3.1,3.0,2022,35
1.0,0:45,2.0,10.0,NOR 29,0.0,7.0,Christian McCaffrey up the middle for no gain (tackle by Justin Evans and Kentavius Street),3.1,2.41,3.0,2022,35
2.0,15:00,3.0,10.0,NOR 29,0.0,7.0,Baker Mayfield pass complete short middle to D.J. Moore for 2 yards (tackle by Pete Werner),2.41,1.67,3.0,2022,35
2.0,14:22,4.0,8.0,NOR 27,0.0,10.0,Eddy Pineiro 45 yard field goal good,1.67,3.0,3.0,2022,35
