Quarter,Time,Down,ToGo,Location,GNB,TAM,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Buccaneers won the coin toss, Buccaneers to receive the opening kickoff.",,,3.0,2022,46
1.0,15:00,,,GNB 35,0.0,0.0,"Mason Crosby kicks off 65 yards, touchback.",0.0,0.61,3.0,2022,46
1.0,15:00,1.0,10.0,TAM 25,0.0,0.0,Tom Brady pass complete deep left to Breshad Perriman for 24 yards (tackle by Rasul Douglas),0.61,2.19,3.0,2022,46
1.0,14:21,1.0,10.0,TAM 49,0.0,0.0,Leonard Fournette left tackle for 5 yards (tackle by Quay Walker),2.19,2.32,3.0,2022,46
1.0,13:49,2.0,5.0,GNB 46,0.0,0.0,Leonard Fournette right end for 4 yards (tackle by Rashan Gary and De'Vondre Campbell),2.32,2.15,3.0,2022,46
1.0,13:17,3.0,1.0,GNB 42,0.0,0.0,Leonard Fournette right guard for no gain (tackle by Kenny Clark),2.15,0.46,3.0,2022,46
1.0,12:38,4.0,1.0,GNB 42,0.0,0.0,Tom Brady pass complete short left to Cole Beasley for 4 yards (tackle by Rasul Douglas),0.46,3.05,3.0,2022,46
1.0,12:00,1.0,10.0,GNB 38,0.0,0.0,Tom Brady pass complete short left to Kyle Rudolph for 12 yards,3.05,3.84,3.0,2022,46
1.0,11:25,1.0,10.0,GNB 26,0.0,0.0,Leonard Fournette right tackle for 6 yards (tackle by Quay Walker and De'Vondre Campbell),3.84,4.11,3.0,2022,46
1.0,10:41,2.0,4.0,GNB 20,0.0,0.0,Tom Brady pass complete short right to Leonard Fournette for -1 yards (tackle by De'Vondre Campbell),4.11,3.27,3.0,2022,46
1.0,9:58,3.0,5.0,GNB 21,0.0,0.0,Tom Brady sacked by Kenny Clark for -6 yards,3.27,1.67,3.0,2022,46
1.0,9:10,4.0,11.0,GNB 27,0.0,3.0,Ryan Succop 45 yard field goal good,1.67,3.0,3.0,2022,46
1.0,9:05,,,TAM 35,0.0,3.0,"Jake Camarda kicks off 65 yards, touchback.",0.0,0.61,3.0,2022,46
1.0,9:05,1.0,10.0,GNB 25,0.0,3.0,Aaron Jones up the middle for 3 yards (tackle by Shaquil Barrett),0.61,0.47,3.0,2022,46
1.0,8:29,2.0,7.0,GNB 28,0.0,3.0,Aaron Jones left tackle for 10 yards (tackle by Jamel Dean),0.47,1.47,3.0,2022,46
1.0,8:02,1.0,10.0,GNB 38,0.0,3.0,Aaron Rodgers pass complete short right to Aaron Jones for 8 yards (tackle by Carlton Davis),1.47,2.0,3.0,2022,46
1.0,7:25,2.0,2.0,GNB 46,0.0,3.0,"Aaron Rodgers pass complete to Romeo Doubs for 21 yards. Romeo Doubs fumbles (forced by Carlton Davis) (tackle by Carlton Davis and Jamel Dean), recovered by Romeo Doubs at TB-33",2.0,3.38,3.0,2022,46
1.0,6:39,1.0,10.0,TAM 33,0.0,3.0,AJ Dillon up the middle for 4 yards (tackle by Devin White),3.38,3.38,3.0,2022,46
1.0,6:01,2.0,6.0,TAM 29,0.0,3.0,AJ Dillon left guard for no gain (tackle by Rakeem Nunez-Roches),3.38,2.68,3.0,2022,46
1.0,5:19,3.0,6.0,TAM 29,0.0,3.0,Aaron Rodgers pass complete short right to Randall Cobb for 17 yards (tackle by Mike Edwards),2.68,4.78,3.0,2022,46
