Unnamed: 0,PIT,CLE,week,year,game_id
First Downs,20,22,3.0,2022,33
Rush-Yds-TDs,22-104-2,38-171-1,3.0,2022,33
Cmp-Att-Yd-TD-INT,20-32-207-0-0,21-31-220-2-0,3.0,2022,33
Sacked-Yards,1-3,2-15,3.0,2022,33
Net Pass Yards,204,205,3.0,2022,33
Total Yards,308,376,3.0,2022,33
Fumbles-Lost,2-1,0-0,3.0,2022,33
Turnovers,1,0,3.0,2022,33
Penalties-Yards,5-25,5-24,3.0,2022,33
Third Down Conv.,1-9,6-16,3.0,2022,33
Fourth Down Conv.,0-0,3-4,3.0,2022,33
Time of Possession,23:51,36:09,3.0,2022,33
