Quarter,Time,Tm,Detail,DAL,NYG,week,year,game_id
1.0,2:09,Cowboys,Brett Maher 26 yard field goal,3,0,3.0,2022,48
2.0,11:17,Giants,Graham Gano 42 yard field goal,3,3,3.0,2022,48
,9:09,Cowboys,Brett Maher 28 yard field goal,6,3,3.0,2022,48
3.0,9:02,Giants,Graham Gano 51 yard field goal,6,6,3.0,2022,48
,5:40,Giants,Saquon Barkley 36 yard rush (Graham Gano kick),6,13,3.0,2022,48
,0:27,Cowboys,Ezekiel Elliott 1 yard rush (Brett Maher kick),13,13,3.0,2022,48
4.0,8:37,Cowboys,CeeDee Lamb 1 yard pass from Cooper Rush (Brett Maher kick),20,13,3.0,2022,48
,5:58,Cowboys,Brett Maher 44 yard field goal,23,13,3.0,2022,48
,3:37,Giants,Graham Gano 51 yard field goal,23,16,3.0,2022,48
