Unnamed: 0,DET,MIN,week,year,game_id
First Downs,23,30,3.0,2022,39
Rush-Yds-TDs,35-139-2,25-123-2,3.0,2022,39
Cmp-Att-Yd-TD-INT,25-41-277-1-1,24-41-260-2-0,3.0,2022,39
Sacked-Yards,0-0,1-10,3.0,2022,39
Net Pass Yards,277,250,3.0,2022,39
Total Yards,416,373,3.0,2022,39
Fumbles-Lost,0-0,2-1,3.0,2022,39
Turnovers,1,1,3.0,2022,39
Penalties-Yards,7-59,3-15,3.0,2022,39
Third Down Conv.,3-16,2-9,3.0,2022,39
Fourth Down Conv.,4-6,1-2,3.0,2022,39
Time of Possession,34:04,25:56,3.0,2022,39
