Quarter,Time,Down,ToGo,Location,KAN,IND,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Chiefs won the coin toss and deferred, Colts to receive the opening kickoff.",,,3.0,2022,38
1.0,15:00,,,KAN 35,0.0,0.0,"Matt Ammendola kicks off 62 yards, returned by Isaiah Rodgers for 31 yards (tackle by Matt Ammendola and Michael Burton)",0.0,1.2,3.0,2022,38
1.0,14:52,1.0,10.0,IND 34,0.0,0.0,Matt Ryan pass incomplete short right intended for Jonathan Taylor,1.2,0.66,3.0,2022,38
1.0,14:49,2.0,10.0,IND 34,0.0,0.0,Jonathan Taylor right tackle for 5 yards (tackle by Frank Clark and Darius Harris),0.66,0.63,3.0,2022,38
1.0,14:02,3.0,5.0,IND 39,0.0,0.0,Matt Ryan pass incomplete short right intended for Jonathan Taylor,0.63,-0.78,3.0,2022,38
1.0,13:57,4.0,5.0,IND 39,0.0,0.0,"Matt Haack punts 57 yards, recovered by Kylen Granson at KC-4",-0.78,6.28,3.0,2022,38
1.0,13:47,1.0,4.0,KAN 4,0.0,0.0,Jonathan Taylor left guard for 1 yard (tackle by Rashad Fenton and Malik Herring),6.28,5.53,3.0,2022,38
1.0,13:10,2.0,3.0,KAN 3,0.0,0.0,Jonathan Taylor left tackle for 2 yards (tackle by Darius Harris and Justin Reid),5.53,5.17,3.0,2022,38
1.0,12:29,3.0,1.0,KAN 1,0.0,6.0,"Matt Ryan pass complete short left to Jelani Woods for 1 yard, touchdown",5.17,7.0,3.0,2022,38
1.0,12:24,,,KAN 15,0.0,7.0,Chase McLaughlin kicks extra point good,0.0,0.0,3.0,2022,38
1.0,12:24,,,IND 35,0.0,7.0,"Chase McLaughlin kicks off 69 yards, returned by Isiah Pacheco for 25 yards (tackle by E.J. Speed)",0.0,0.34,3.0,2022,38
1.0,12:19,1.0,10.0,KAN 21,0.0,7.0,Patrick Mahomes pass incomplete short middle intended for Marquez Valdes-Scantling,0.34,-0.2,3.0,2022,38
1.0,12:13,2.0,10.0,KAN 21,0.0,7.0,Patrick Mahomes scrambles right end for 3 yards (tackle by Kwity Paye),-0.2,-0.49,3.0,2022,38
1.0,11:32,3.0,7.0,KAN 24,0.0,7.0,Patrick Mahomes pass incomplete deep left intended for Marquez Valdes-Scantling,-0.49,-1.77,3.0,2022,38
1.0,11:26,4.0,7.0,KAN 24,0.0,7.0,Tommy Townsend punts 65 yards downed by Chris Lammons,-1.77,0.37,3.0,2022,38
1.0,11:16,1.0,10.0,IND 11,0.0,7.0,Jonathan Taylor up the middle for 3 yards (tackle by Nick Bolton and George Karlaftis),-0.37,-0.53,3.0,2022,38
1.0,10:41,2.0,7.0,IND 14,0.0,7.0,Jonathan Taylor left end for 6 yards (tackle by L'Jarius Sneed and Frank Clark),-0.53,-0.37,3.0,2022,38
1.0,10:19,3.0,1.0,IND 20,0.0,7.0,Jonathan Taylor up the middle for 1 yard (tackle by Derrick Nnadi and Darius Harris),-0.37,0.34,3.0,2022,38
1.0,9:47,1.0,10.0,IND 21,0.0,7.0,Matt Ryan pass complete to Mo Alie-Cox for 9 yards (tackle by Rashad Fenton),0.34,1.02,3.0,2022,38
1.0,9:13,2.0,1.0,IND 30,0.0,7.0,Jonathan Taylor up the middle for 9 yards (tackle by Khalen Saunders),1.02,1.53,3.0,2022,38
1.0,8:36,1.0,10.0,IND 39,0.0,7.0,Matt Ryan pass incomplete short left intended for Mo Alie-Cox,1.53,0.99,3.0,2022,38
1.0,8:30,2.0,10.0,IND 39,0.0,7.0,Jonathan Taylor left guard for 4 yards (tackle by Khalen Saunders and George Karlaftis),0.99,0.83,3.0,2022,38
1.0,7:47,3.0,6.0,IND 43,0.0,7.0,Matt Ryan pass complete short right to Michael Pittman for -1 yards (tackle by Jaylen Watson),0.83,-0.59,3.0,2022,38
