Quarter,Time,Down,ToGo,Location,DET,MIN,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Vikings won the coin toss and deferred, Lions to receive the opening kickoff.",,,3.0,2022,39
1.0,15:00,,,MIN 35,0.0,0.0,"Greg Joseph kicks off 66 yards, returned by Justin Jackson for 21 yards (tackle by Kris Boyd)",0.0,0.28,3.0,2022,39
1.0,14:56,1.0,10.0,DET 20,0.0,0.0,D'Andre Swift left end for 6 yards (tackle by Jordan Hicks),0.28,0.54,3.0,2022,39
1.0,14:18,2.0,4.0,DET 26,0.0,0.0,Jared Goff pass complete to DJ Chark for 23 yards (tackle by Patrick Peterson),0.54,2.19,3.0,2022,39
1.0,13:51,1.0,10.0,DET 49,0.0,0.0,Jared Goff pass complete deep left to DJ Chark for 17 yards (tackle by Cameron Dantzler),2.19,3.31,3.0,2022,39
1.0,13:13,1.0,10.0,MIN 34,0.0,0.0,Craig Reynolds right guard for no gain (tackle by Chandon Sullivan),3.31,2.77,3.0,2022,39
1.0,12:43,2.0,10.0,MIN 34,0.0,0.0,Jared Goff pass complete short left to D'Andre Swift for -2 yards (tackle by Danielle Hunter),2.77,1.82,3.0,2022,39
1.0,12:04,3.0,12.0,MIN 36,0.0,0.0,Jared Goff pass complete short left to Amon-Ra St. Brown for 6 yards (tackle by Eric Kendricks and Josh Metellus),1.82,1.43,3.0,2022,39
1.0,11:09,4.0,6.0,MIN 30,0.0,0.0,Austin Seibert 48 yard field goal no good,1.43,-1.47,3.0,2022,39
1.0,11:03,1.0,10.0,MIN 38,0.0,0.0,Dalvin Cook up the middle for 7 yards (tackle by Malcolm Rodriguez and Tracy Walker),1.47,1.87,3.0,2022,39
1.0,10:31,2.0,3.0,MIN 45,0.0,0.0,Dalvin Cook right guard for 5 yards (tackle by Chris Board),1.87,2.26,3.0,2022,39
1.0,10:08,1.0,10.0,MIN 50,0.0,0.0,Kirk Cousins pass complete short left to Ben Ellefson for 12 yards (tackle by DeShon Elliott),2.26,3.05,3.0,2022,39
1.0,9:40,1.0,10.0,DET 38,0.0,0.0,Kirk Cousins pass incomplete short middle intended for Justin Jefferson (defended by Michael Brockers),3.05,2.51,3.0,2022,39
1.0,9:34,2.0,10.0,DET 38,0.0,0.0,Kirk Cousins pass incomplete short left intended for Justin Jefferson,2.51,1.82,3.0,2022,39
1.0,9:30,3.0,10.0,DET 38,0.0,0.0,Kirk Cousins pass incomplete short right intended for Irv Smith,1.82,0.72,3.0,2022,39
1.0,9:25,4.0,10.0,DET 38,0.0,0.0,Greg Joseph 56 yard field goal no good,0.72,-1.99,3.0,2022,39
1.0,9:20,1.0,10.0,DET 46,0.0,0.0,Jared Goff pass complete short left to Jamaal Williams for 17 yards (tackle by Jordan Hicks and Camryn Bynum),1.99,3.12,3.0,2022,39
1.0,8:43,1.0,10.0,MIN 37,0.0,0.0,Craig Reynolds up the middle for 3 yards (tackle by Jordan Hicks and Harrison Phillips),3.12,2.98,3.0,2022,39
1.0,8:00,2.0,7.0,MIN 34,0.0,0.0,Jamaal Williams left guard for 2 yards (tackle by Jordan Hicks and Dalvin Tomlinson),2.98,2.54,3.0,2022,39
1.0,7:17,3.0,5.0,MIN 32,0.0,0.0,Jared Goff pass incomplete short right intended for Amon-Ra St. Brown,2.54,1.26,3.0,2022,39
1.0,7:12,4.0,5.0,MIN 32,0.0,0.0,Jared Goff pass complete short middle to Amon-Ra St. Brown for 30 yards (tackle by Patrick Peterson),1.26,6.74,3.0,2022,39
1.0,6:49,1.0,2.0,MIN 2,6.0,0.0,"Jamaal Williams left guard for 2 yards, touchdown",6.74,7.0,3.0,2022,39
1.0,6:44,,,MIN 15,7.0,0.0,Austin Seibert kicks extra point good,0.0,0.0,3.0,2022,39
1.0,6:44,,,DET 35,7.0,0.0,"Austin Seibert kicks off 62 yards, returned by Kene Nwangwu for 16 yards (tackle by Kerby Joseph and Chris Board)",0.0,0.15,3.0,2022,39
1.0,6:40,1.0,10.0,MIN 19,7.0,0.0,Dalvin Cook up the middle for 9 yards (tackle by Tracy Walker and DeShon Elliott),0.15,0.88,3.0,2022,39
1.0,6:11,2.0,1.0,MIN 28,7.0,0.0,Dalvin Cook right guard for 2 yards (tackle by Alex Anzalone),0.88,0.94,3.0,2022,39
1.0,5:43,1.0,10.0,MIN 30,7.0,0.0,Dalvin Cook right guard for no gain (tackle by Charles Harris),0.94,0.39,3.0,2022,39
1.0,5:05,2.0,10.0,MIN 30,7.0,0.0,Kirk Cousins pass complete short middle to Justin Jefferson for 5 yards (tackle by Juju Hughes),0.39,0.37,3.0,2022,39
1.0,4:33,3.0,5.0,MIN 35,7.0,0.0,Kirk Cousins pass incomplete short right,0.37,-1.04,3.0,2022,39
1.0,4:18,4.0,5.0,MIN 35,7.0,0.0,"Ryan Wright punts 47 yards, returned by Kalif Raymond for 12 yards (tackle by Ben Ellefson)",-1.04,-0.94,3.0,2022,39
1.0,4:06,1.0,10.0,DET 30,7.0,0.0,Jamaal Williams left tackle for 4 yards (tackle by Jordan Hicks and Eric Kendricks),0.94,0.93,3.0,2022,39
1.0,3:34,2.0,6.0,DET 34,7.0,0.0,Jamaal Williams left tackle for 12 yards (tackle by Josh Metellus),0.93,1.99,3.0,2022,39
1.0,2:56,1.0,10.0,DET 46,7.0,0.0,Jared Goff pass incomplete short left,1.99,1.45,3.0,2022,39
1.0,2:51,2.0,10.0,DET 46,7.0,0.0,Jared Goff pass complete short left to Josh Reynolds for 6 yards (tackle by Cameron Dantzler),1.45,1.55,3.0,2022,39
1.0,2:10,3.0,4.0,MIN 48,7.0,0.0,"D'Andre Swift left end for 4 yards (tackle by Eric Kendricks) MIN challenged the first down ruling, and the original play was overturned. D'Andre Swift left end for 3 yards (tackle by Eric Kendricks)",1.55,0.27,3.0,2022,39
1.0,1:52,4.0,1.0,MIN 45,7.0,0.0,Jamaal Williams right guard for 5 yards (tackle by Camryn Bynum),0.27,2.92,3.0,2022,39
1.0,1:19,1.0,10.0,MIN 40,7.0,0.0,Jared Goff pass incomplete short right,2.92,2.37,3.0,2022,39
1.0,1:14,,,,,,Timeout #1 by Minnesota Vikings,,,3.0,2022,39
1.0,1:14,2.0,10.0,MIN 40,7.0,0.0,Craig Reynolds left guard for 5 yards (tackle by Harrison Phillips),2.37,2.34,3.0,2022,39
1.0,0:35,3.0,5.0,MIN 35,7.0,0.0,Jared Goff pass complete short right to Kalif Raymond for 4 yards (tackle by Jordan Hicks),2.34,1.41,3.0,2022,39
2.0,15:00,4.0,1.0,MIN 31,7.0,0.0,Jared Goff pass complete short right to Josh Reynolds for 17 yards (tackle by Josh Metellus),1.41,4.65,3.0,2022,39
2.0,14:21,1.0,10.0,MIN 14,7.0,0.0,Jared Goff pass complete short middle to Amon-Ra St. Brown for 9 yards (tackle by Eric Kendricks),4.65,5.67,3.0,2022,39
2.0,13:42,2.0,1.0,MIN 5,13.0,0.0,"Jared Goff pass complete short left to T.J. Hockenson for 5 yards, touchdown",5.67,7.0,3.0,2022,39
2.0,13:38,,,MIN 15,14.0,0.0,Austin Seibert kicks extra point good,0.0,0.0,3.0,2022,39
2.0,13:38,,,DET 35,14.0,0.0,"Austin Seibert kicks off 67 yards, returned by Kene Nwangwu for 22 yards (tackle by Anthony Pittman and Kerby Joseph)",0.0,0.28,3.0,2022,39
2.0,13:33,1.0,10.0,MIN 20,14.0,0.0,Alexander Mattison left tackle for 3 yards (tackle by Isaiah Buggs),0.28,0.14,3.0,2022,39
2.0,13:12,2.0,7.0,MIN 23,14.0,0.0,"Kirk Cousins pass incomplete short right intended for Justin Jefferson. Penalty on Amani Oruwariye: Illegal Contact, 5 yards (accepted) (no play)",0.14,0.81,3.0,2022,39
2.0,13:05,1.0,10.0,MIN 28,14.0,0.0,Kirk Cousins pass complete short right to C.J. Ham for 12 yards (tackle by Chris Board),0.81,1.6,3.0,2022,39
2.0,12:35,1.0,10.0,MIN 40,14.0,0.0,Alexander Mattison right end for 6 yards (tackle by Alex Anzalone),1.6,1.86,3.0,2022,39
2.0,12:01,2.0,4.0,MIN 46,14.0,0.0,Alexander Mattison right tackle for 9 yards (tackle by Malcolm Rodriguez and DeShon Elliott),1.86,2.59,3.0,2022,39
2.0,11:30,1.0,10.0,DET 45,14.0,0.0,Kirk Cousins pass incomplete short right,2.59,2.04,3.0,2022,39
2.0,11:25,2.0,10.0,DET 45,14.0,0.0,Dalvin Cook right end for 8 yards (tackle by Amani Oruwariye),2.04,2.41,3.0,2022,39
2.0,11:03,3.0,2.0,DET 37,14.0,0.0,Kirk Cousins pass complete deep right to Irv Smith for 17 yards (tackle by Malcolm Rodriguez),2.41,4.24,3.0,2022,39
2.0,10:26,1.0,10.0,DET 20,14.0,0.0,Dalvin Cook right end for 13 yards (tackle by DeShon Elliott),4.24,5.6,3.0,2022,39
