Quarter,Time,Down,ToGo,Location,BUF,MIA,Detail,EPB,EPA,week,year,game_id
1.0,5:19,3.0,8.0,BUF 14,7.0,0.0,"Josh Allen sacked by Jevon Holland for -7 yards. Josh Allen fumbles (forced by Jevon Holland), recovered by Melvin Ingram at BUF-7 and returned for 1 yard (tackle by Dawson Knox)",-1.19,-5.83,3.0,2022,34
1.0,5:13,1.0,6.0,BUF 6,7.0,0.0,Tua Tagovailoa pass complete short left to Trent Sherfield for 5 yards (tackle by Kaiir Elam),5.83,5.91,3.0,2022,34
1.0,4:49,2.0,1.0,BUF 1,7.0,0.0,Tua Tagovailoa up the middle for no gain (tackle by Shaq Lawson). Penalty on Shaq Lawson: Defensive Offside (accepted) (no play),5.91,5.91,3.0,2022,34
1.0,4:25,2.0,1.0,BUF 1,7.0,0.0,Alec Ingold left guard for no gain (tackle by DaQuan Jones and Shaq Lawson),5.91,5.17,3.0,2022,34
1.0,3:39,,,,,,Timeout #1 by Miami Dolphins,,,3.0,2022,34
1.0,3:39,3.0,1.0,BUF 1,7.0,6.0,"Chase Edmonds up the middle for 1 yard, touchdown",5.17,7.0,3.0,2022,34
1.0,3:37,,,BUF 15,7.0,7.0,Jason Sanders kicks extra point good,0.0,0.0,3.0,2022,34
1.0,3:37,,,MIA 35,7.0,7.0,"Jason Sanders kicks off 65 yards, touchback.",0.0,0.61,3.0,2022,34
1.0,3:37,1.0,10.0,BUF 25,7.0,7.0,Josh Allen pass complete short middle to Isaiah McKenzie for 7 yards (tackle by Nik Needham),0.61,1.01,3.0,2022,34
1.0,3:05,2.0,3.0,BUF 32,7.0,7.0,Josh Allen pass complete short left to Dawson Knox for 8 yards (tackle by Jerome Baker),1.01,1.6,3.0,2022,34
1.0,2:31,1.0,10.0,BUF 40,7.0,7.0,Josh Allen pass complete short middle to Devin Singletary for 8 yards (tackle by Zach Sieler and Brandon Jones),1.6,2.13,3.0,2022,34
1.0,1:54,2.0,2.0,BUF 48,7.0,7.0,Josh Allen pass complete short left to Jake Kumerow for 4 yards (tackle by Xavien Howard),2.13,2.39,3.0,2022,34
1.0,1:10,1.0,10.0,MIA 48,7.0,7.0,Josh Allen pass complete short right to Jake Kumerow for 10 yards (tackle by Brandon Jones),2.39,3.05,3.0,2022,34
1.0,1:02,1.0,10.0,MIA 38,7.0,7.0,Devin Singletary left tackle for 1 yard (tackle by John Jenkins and Andrew Van Ginkel),3.05,2.64,3.0,2022,34
1.0,0:10,2.0,9.0,MIA 37,7.0,7.0,Josh Allen pass incomplete short middle intended for Gabriel Davis,2.64,1.95,3.0,2022,34
1.0,0:07,3.0,9.0,MIA 37,7.0,7.0,Josh Allen pass complete short right to Devin Singletary for 7 yards (tackle by Nik Needham),1.95,1.5,3.0,2022,34
2.0,15:00,4.0,2.0,MIA 30,7.0,7.0,Josh Allen scrambles up the middle for 3 yards (tackle by Jevon Holland),1.5,3.78,3.0,2022,34
2.0,14:23,1.0,10.0,MIA 27,7.0,7.0,"Josh Allen sacked by Melvin Ingram for -9 yards. Josh Allen fumbles (forced by Melvin Ingram), recovered by Spencer Brown at MIA-36 (tackle by Melvin Ingram)",3.78,2.02,3.0,2022,34
2.0,13:39,2.0,19.0,MIA 36,7.0,7.0,Josh Allen pass complete deep left to Isaiah McKenzie for 27 yards (tackle by Kader Kohou),2.02,5.14,3.0,2022,34
2.0,12:58,1.0,9.0,MIA 9,7.0,7.0,Josh Allen pass incomplete short right,5.14,4.38,3.0,2022,34
2.0,12:48,2.0,9.0,MIA 9,7.0,7.0,Josh Allen pass complete short left to Devin Singletary for 1 yard (tackle by Duke Riley),4.38,3.58,3.0,2022,34
2.0,12:03,3.0,8.0,MIA 8,13.0,7.0,"Josh Allen pass complete short middle to Isaiah McKenzie for 8 yards, touchdown",3.58,7.0,3.0,2022,34
2.0,11:59,,,MIA 15,14.0,7.0,Tyler Bass kicks extra point good,0.0,0.0,3.0,2022,34
