Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br,week,year,game_id
Devin Singletary,BUF,9,13,0,1.0,3,0.3,10,1.1,0,,3.0,2022,34
Josh Allen,BUF,8,47,0,5.0,37,4.6,10,1.3,0,,3.0,2022,34
Zack Moss,BUF,4,46,0,1.0,46,11.5,0,0.0,0,,3.0,2022,34
James Cook,BUF,1,3,0,1.0,3,3.0,0,0.0,0,,3.0,2022,34
Isaiah McKenzie,BUF,1,6,0,1.0,5,5.0,1,1.0,0,,3.0,2022,34
Raheem Mostert,MIA,8,11,0,2.0,3,0.4,8,1.0,0,,3.0,2022,34
Chase Edmonds,MIA,6,21,2,2.0,12,2.0,9,1.5,0,,3.0,2022,34
Alec Ingold,MIA,1,0,0,,0,0.0,0,0.0,0,,3.0,2022,34
Tua Tagovailoa,MIA,1,0,0,0.0,0,0.0,0,0.0,0,,3.0,2022,34
Jaylen Waddle,MIA,1,9,0,0.0,9,9.0,0,0.0,0,,3.0,2022,34
