Unnamed: 0,BAL,NWE,week,year,game_id
First Downs,19,22,3.0,2022,40
Rush-Yds-TDs,26-188-1,28-145-3,3.0,2022,40
Cmp-Att-Yd-TD-INT,18-29-218-4-1,22-32-321-0-3,3.0,2022,40
Sacked-Yards,4-12,3-19,3.0,2022,40
Net Pass Yards,206,302,3.0,2022,40
Total Yards,394,447,3.0,2022,40
Fumbles-Lost,1-1,3-1,3.0,2022,40
Turnovers,2,4,3.0,2022,40
Penalties-Yards,2-10,3-16,3.0,2022,40
Third Down Conv.,5-11,2-9,3.0,2022,40
Fourth Down Conv.,0-0,1-2,3.0,2022,40
Time of Possession,30:36,29:24,3.0,2022,40
