Unnamed: 0,ATL,SEA,week,year,game_id
First Downs,24,23,3.0,2022,44
Rush-Yds-TDs,31-179-2,23-112-0,3.0,2022,44
Cmp-Att-Yd-TD-INT,13-20-229-1-1,32-44-325-2-1,3.0,2022,44
Sacked-Yards,3-22,2-17,3.0,2022,44
Net Pass Yards,207,308,3.0,2022,44
Total Yards,386,420,3.0,2022,44
Fumbles-Lost,2-1,0-0,3.0,2022,44
Turnovers,2,1,3.0,2022,44
Penalties-Yards,2-15,6-47,3.0,2022,44
Third Down Conv.,4-7,9-17,3.0,2022,44
Fourth Down Conv.,0-0,2-3,3.0,2022,44
Time of Possession,28:14,31:46,3.0,2022,44
