Unnamed: 0,NOR,CAR,week,year,game_id
First Downs,19,12,3.0,2022,35
Rush-Yds-TDs,22-84-1,31-145-0,3.0,2022,35
Cmp-Att-Yd-TD-INT,25-41-353-1-2,12-25-170-1-0,3.0,2022,35
Sacked-Yards,1-11,3-22,3.0,2022,35
Net Pass Yards,342,148,3.0,2022,35
Total Yards,426,293,3.0,2022,35
Fumbles-Lost,3-1,0-0,3.0,2022,35
Turnovers,3,0,3.0,2022,35
Penalties-Yards,7-58,4-40,3.0,2022,35
Third Down Conv.,5-13,4-14,3.0,2022,35
Fourth Down Conv.,0-0,0-1,3.0,2022,35
Time of Possession,29:50,30:10,3.0,2022,35
