Player,Pos,Off. Num,Off. Pct,Def. Num,Def. Pct,ST Num,ST Pct,home_team,team,week,year,game_id
Dion Dawkins,T,92,100%,0,0%,4,18%,0,Bills,3.0,2022,34
Rodger Saffold,G,92,100%,0,0%,2,9%,0,Bills,3.0,2022,34
Josh Allen,QB,92,100%,0,0%,0,0%,0,Bills,3.0,2022,34
Gabriel Davis,WR,88,96%,0,0%,0,0%,0,Bills,3.0,2022,34
Greg Van Roten,G,69,75%,0,0%,2,9%,0,Bills,3.0,2022,34
Devin Singletary,RB,67,73%,0,0%,0,0%,0,Bills,3.0,2022,34
Dawson Knox,TE,65,71%,0,0%,0,0%,0,Bills,3.0,2022,34
Stefon Diggs,WR,64,70%,0,0%,0,0%,0,Bills,3.0,2022,34
David Quessenberry,G,58,63%,0,0%,4,18%,0,Bills,3.0,2022,34
Ryan Bates,C,58,63%,0,0%,2,9%,0,Bills,3.0,2022,34
Isaiah McKenzie,WR,47,51%,0,0%,5,23%,0,Bills,3.0,2022,34
Jamison Crowder,WR,45,49%,0,0%,6,27%,0,Bills,3.0,2022,34
Tommy Doyle,T,37,40%,0,0%,4,18%,0,Bills,3.0,2022,34
Spencer Brown,T,34,37%,0,0%,2,9%,0,Bills,3.0,2022,34
Quintin Morris,TE,29,32%,0,0%,14,64%,0,Bills,3.0,2022,34
Greg Mancz,C,23,25%,0,0%,4,18%,0,Bills,3.0,2022,34
Reggie Gilliam,FB,20,22%,0,0%,16,73%,0,Bills,3.0,2022,34
Zack Moss,RB,16,17%,0,0%,0,0%,0,Bills,3.0,2022,34
James Cook,RB,11,12%,0,0%,1,5%,0,Bills,3.0,2022,34
Jake Kumerow,WR,5,5%,0,0%,3,14%,0,Bills,3.0,2022,34
Jaquan Johnson,FS,0,0%,43,100%,6,27%,0,Bills,3.0,2022,34
Tremaine Edmunds,LB,0,0%,43,100%,5,23%,0,Bills,3.0,2022,34
Damar Hamlin,SS,0,0%,43,100%,3,14%,0,Bills,3.0,2022,34
Taron Johnson,CB,0,0%,43,100%,3,14%,0,Bills,3.0,2022,34
Matt Milano,LB,0,0%,43,100%,2,9%,0,Bills,3.0,2022,34
Kaiir Elam,DB,0,0%,43,100%,2,9%,0,Bills,3.0,2022,34
DaQuan Jones,DT,0,0%,33,77%,4,18%,0,Bills,3.0,2022,34
Von Miller,LB,0,0%,32,74%,0,0%,0,Bills,3.0,2022,34
Tim Settle,DT,0,0%,28,65%,2,9%,0,Bills,3.0,2022,34
Gregory Rousseau,DE,0,0%,27,63%,4,18%,0,Bills,3.0,2022,34
Ja'Marcus Ingram,DB,0,0%,24,56%,5,23%,0,Bills,3.0,2022,34
Christian Benford,DB,0,0%,19,44%,7,32%,0,Bills,3.0,2022,34
Brandin Bryant,DT,0,0%,12,28%,4,18%,0,Bills,3.0,2022,34
Shaq Lawson,DE,0,0%,12,28%,1,5%,0,Bills,3.0,2022,34
Boogie Basham,DE,0,0%,12,28%,1,5%,0,Bills,3.0,2022,34
A.J. Epenesa,DE,0,0%,9,21%,4,18%,0,Bills,3.0,2022,34
Prince Emili,DT,0,0%,7,16%,0,0%,0,Bills,3.0,2022,34
Tyler Matakevich,LB,0,0%,0,0%,16,73%,0,Bills,3.0,2022,34
Tyrel Dodson,LB,0,0%,0,0%,16,73%,0,Bills,3.0,2022,34
Siran Neal,CB,0,0%,0,0%,16,73%,0,Bills,3.0,2022,34
Taiwan Jones,RB,0,0%,0,0%,16,73%,0,Bills,3.0,2022,34
Terrel Bernard,LB,0,0%,0,0%,13,59%,0,Bills,3.0,2022,34
Baylon Spector,LB,0,0%,0,0%,13,59%,0,Bills,3.0,2022,34
Cameron Lewis,CB,0,0%,0,0%,12,55%,0,Bills,3.0,2022,34
Tyler Bass,K,0,0%,0,0%,8,36%,0,Bills,3.0,2022,34
Sam Martin,P,0,0%,0,0%,5,23%,0,Bills,3.0,2022,34
Reid Ferguson,LS,0,0%,0,0%,5,23%,0,Bills,3.0,2022,34
