Quarter,Time,Tm,Detail,LVR,TEN,week,year,game_id
1.0,7:22,Titans,Geoff Swaim 2 yard pass from Ryan Tannehill (Randy Bullock kick),0,7,3.0,2022,41
,2:19,Raiders,Daniel Carlson 21 yard field goal,3,7,3.0,2022,41
2.0,14:25,Titans,Derrick Henry 1 yard rush (Randy Bullock kick),3,14,3.0,2022,41
,9:44,Raiders,Davante Adams 5 yard pass from Derek Carr (Daniel Carlson kick),10,14,3.0,2022,41
,4:55,Titans,Ryan Tannehill 1 yard rush (Randy Bullock kick),10,21,3.0,2022,41
,0:00,Titans,Randy Bullock 48 yard field goal,10,24,3.0,2022,41
3.0,6:57,Raiders,Daniel Carlson 32 yard field goal,13,24,3.0,2022,41
4.0,3:29,Raiders,Daniel Carlson 35 yard field goal,16,24,3.0,2022,41
,1:14,Raiders,Mack Hollins 9 yard pass from Derek Carr (pass failed),22,24,3.0,2022,41
