Quarter,Time,Down,ToGo,Location,ATL,SEA,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Falcons won the coin toss and deferred, Seahawks to receive the opening kickoff.",,,3.0,2022,44
1.0,15:00,,,ATL 35,0.0,0.0,"Bradley Pinion kicks off 65 yards, touchback.",0.0,0.61,3.0,2022,44
1.0,15:00,1.0,10.0,SEA 25,0.0,0.0,Rashaad Penny left tackle for 10 yards (tackle by Jaylinn Hawkins),0.61,1.27,3.0,2022,44
1.0,14:30,1.0,10.0,SEA 35,0.0,0.0,Geno Smith pass complete short right to Tyler Lockett for 5 yards (tackle by Rashaan Evans),1.27,1.4,3.0,2022,44
1.0,13:56,2.0,5.0,SEA 40,0.0,0.0,Rashaad Penny left guard for 11 yards (tackle by Richie Grant),1.4,2.32,3.0,2022,44
1.0,13:24,1.0,10.0,ATL 49,0.0,0.0,Rashaad Penny right tackle for 14 yards (tackle by Casey Hayward),2.32,3.25,3.0,2022,44
1.0,12:46,1.0,10.0,ATL 35,0.0,0.0,Geno Smith pass complete short right to Kenneth Walker for 3 yards (tackle by Troy Andersen),3.25,3.11,3.0,2022,44
1.0,12:13,2.0,7.0,ATL 32,0.0,0.0,Kenneth Walker right guard for -2 yards (tackle by Rashaan Evans),3.11,2.15,3.0,2022,44
1.0,11:33,3.0,9.0,ATL 34,0.0,0.0,Geno Smith pass complete short right to D.K. Metcalf for 13 yards (tackle by AJ Terrell),2.15,4.17,3.0,2022,44
1.0,11:28,1.0,10.0,ATL 21,0.0,0.0,Travis Homer right guard for 7 yards (tackle by Grady Jarrett),4.17,4.74,3.0,2022,44
1.0,11:08,2.0,3.0,ATL 14,0.0,0.0,Rashaad Penny left guard for no gain (tackle by Rashaan Evans and Ta'Quon Graham),4.74,4.02,3.0,2022,44
1.0,10:27,3.0,3.0,ATL 14,0.0,0.0,Geno Smith pass incomplete short left intended for D.K. Metcalf (defended by AJ Terrell),4.02,2.61,3.0,2022,44
1.0,10:23,4.0,3.0,ATL 14,0.0,3.0,Jason Myers 32 yard field goal good,2.61,3.0,3.0,2022,44
1.0,10:19,,,SEA 35,0.0,3.0,"Jason Myers kicks off 65 yards, touchback.",0.0,0.61,3.0,2022,44
1.0,10:19,1.0,10.0,ATL 25,0.0,3.0,Marcus Mariota pass incomplete deep middle intended for Kyle Pitts,0.61,0.06,3.0,2022,44
1.0,10:13,2.0,10.0,ATL 25,0.0,3.0,Cordarrelle Patterson right tackle for 6 yards (tackle by Jordyn Brooks and Cody Barton),0.06,0.17,3.0,2022,44
1.0,9:30,3.0,4.0,ATL 31,0.0,3.0,Marcus Mariota pass complete short middle to Kyle Pitts for 14 yards (tackle by Michael Jackson),0.17,1.93,3.0,2022,44
1.0,8:49,1.0,10.0,ATL 45,0.0,3.0,"Cordarrelle Patterson right tackle for 4 yards (tackle by Josh Jones and Poona Ford). Penalty on Bryan Mone: Defensive Holding, 5 yards (accepted)",1.93,2.52,3.0,2022,44
1.0,8:23,1.0,10.0,SEA 46,0.0,3.0,Marcus Mariota pass complete short middle to Anthony Firkser for 22 yards (tackle by Michael Jackson),2.52,3.97,3.0,2022,44
1.0,7:40,1.0,10.0,SEA 24,0.0,3.0,Marcus Mariota pass complete short right to Kyle Pitts for 21 yards (tackle by Josh Jones),3.97,6.51,3.0,2022,44
1.0,7:20,1.0,3.0,SEA 3,0.0,3.0,"Marcus Mariota pass incomplete short right intended for Kyle Pitts. Penalty on Michael Jackson: Defensive Holding, 2 yards (accepted) (no play)",6.51,6.97,3.0,2022,44
1.0,7:13,1.0,1.0,SEA 1,6.0,3.0,"Marcus Mariota right end for no gain (tackle by Cody Barton) ATL challenged the runner broke the plane ruling, and the original play was overturned. Marcus Mariota for 1 yard, touchdown",6.97,7.0,3.0,2022,44
1.0,7:10,,,SEA 15,7.0,3.0,Younghoe Koo kicks extra point good,0.0,0.0,3.0,2022,44
