Quarter,Time,Down,ToGo,Location,PHI,WAS,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Eagles won the coin toss and deferred, Commanders to receive the opening kickoff.",,,3.0,2022,42
1.0,15:00,,,PHI 35,0.0,0.0,"Jake Elliott kicks off 65 yards, touchback.",0.0,0.61,3.0,2022,42
1.0,15:00,1.0,10.0,WAS 25,0.0,0.0,Curtis Samuel left end for 15 yards (tackle by T.J. Edwards),0.61,1.6,3.0,2022,42
1.0,14:38,1.0,10.0,WAS 40,0.0,0.0,Carson Wentz pass incomplete short left intended for Jahan Dotson (defended by Jordan Davis),1.6,1.05,3.0,2022,42
1.0,14:31,2.0,10.0,WAS 40,0.0,0.0,Carson Wentz pass complete short middle to Curtis Samuel for 5 yards (tackle by Kyzir White),1.05,1.03,3.0,2022,42
1.0,13:58,3.0,5.0,WAS 45,0.0,0.0,Carson Wentz sacked by and Josh Sweat for -7 yards and Fletcher Cox for -7 yards,1.03,-0.85,3.0,2022,42
1.0,13:18,4.0,12.0,WAS 38,0.0,0.0,"Tress Way punts 50 yards, fair catch by Britain Covey at PHI-12",-0.85,0.35,3.0,2022,42
1.0,13:08,1.0,10.0,PHI 12,0.0,0.0,Miles Sanders right tackle for no gain (tackle by Jonathan Allen),-0.35,-0.78,3.0,2022,42
1.0,12:34,2.0,10.0,PHI 12,0.0,0.0,"Jalen Hurts pass incomplete deep left intended for Quez Watkins. Penalty on Rachad Wildgoose: Defensive Pass Interference, 23 yards (accepted) (no play)",-0.78,1.27,3.0,2022,42
1.0,12:22,1.0,10.0,PHI 35,0.0,0.0,Miles Sanders left end for 7 yards (tackle by Darrick Forrest),1.27,1.67,3.0,2022,42
1.0,11:59,2.0,3.0,PHI 42,0.0,0.0,Miles Sanders left guard for 4 yards (tackle by Kamren Curl),1.67,1.99,3.0,2022,42
1.0,11:29,1.0,10.0,PHI 46,0.0,0.0,Jalen Hurts pass incomplete short left intended for A.J. Brown (defended by Jonathan Allen),1.99,1.45,3.0,2022,42
1.0,11:21,2.0,10.0,PHI 46,0.0,0.0,Jalen Hurts pass complete short left to DeVonta Smith for 5 yards (tackle by Kendall Fuller),1.45,1.42,3.0,2022,42
1.0,10:56,3.0,5.0,WAS 49,0.0,0.0,Jalen Hurts pass incomplete deep right intended for Quez Watkins,1.42,0.0,3.0,2022,42
1.0,10:49,4.0,5.0,WAS 49,0.0,0.0,"Arryn Siposs punts 49 yards, touchback.",0.0,-0.28,3.0,2022,42
1.0,10:41,1.0,10.0,WAS 20,0.0,0.0,Carson Wentz sacked by Fletcher Cox for -6 yards,0.28,-1.18,3.0,2022,42
1.0,10:00,2.0,16.0,WAS 14,0.0,0.0,Carson Wentz sacked by Javon Hargrave for -7 yards,-1.18,-3.06,3.0,2022,42
1.0,9:14,3.0,24.0,WAS 7,0.0,0.0,"Penalty on Charles Leno: False Start, 3 yards (accepted) (no play)",-3.06,-3.29,3.0,2022,42
1.0,9:12,3.0,26.0,WAS 4,0.0,0.0,J.D. McKissic left guard for 6 yards (tackle by Fletcher Cox and T.J. Edwards),-3.29,-2.49,3.0,2022,42
1.0,8:36,4.0,20.0,WAS 10,0.0,0.0,"Tress Way punts 58 yards, returned by DeVonta Smith for 12 yards (tackle by Jeremy Reaves)",-2.49,-1.86,3.0,2022,42
1.0,8:19,1.0,10.0,PHI 44,0.0,0.0,Jalen Hurts sacked by Jamin Davis for -3 yards,1.86,0.91,3.0,2022,42
1.0,7:33,2.0,13.0,PHI 41,0.0,0.0,Jalen Hurts pass incomplete deep middle intended for DeVonta Smith (defended by Kendall Fuller),0.91,0.23,3.0,2022,42
1.0,7:27,3.0,13.0,PHI 41,0.0,0.0,Jalen Hurts pass incomplete short right intended for A.J. Brown (defended by Benjamin St-Juste),0.23,-0.65,3.0,2022,42
1.0,7:22,4.0,13.0,PHI 41,0.0,0.0,"Arryn Siposs punts 43 yards, fair catch by Dax Milne at WAS-16",-0.65,0.14,3.0,2022,42
1.0,7:15,1.0,10.0,WAS 16,0.0,0.0,Antonio Gibson right tackle for 5 yards (tackle by Marlon Tuipulotu),-0.14,0.15,3.0,2022,42
1.0,6:40,2.0,5.0,WAS 21,0.0,0.0,Antonio Gibson left tackle for 5 yards (tackle by T.J. Edwards and C.J. Gardner-Johnson),0.15,0.67,3.0,2022,42
1.0,5:59,1.0,10.0,WAS 26,0.0,0.0,Carson Wentz pass complete deep right to Curtis Samuel for 16 yards (tackle by Zech McPhearson),0.67,1.73,3.0,2022,42
1.0,5:20,1.0,10.0,WAS 42,0.0,0.0,Antonio Gibson right tackle for 3 yards (tackle by Marcus Epps and Avonte Maddox),1.73,1.59,3.0,2022,42
1.0,4:36,2.0,7.0,WAS 45,0.0,0.0,J.D. McKissic right tackle for 2 yards (tackle by Marlon Tuipulotu and Milton Williams),1.59,1.16,3.0,2022,42
1.0,3:57,3.0,5.0,WAS 47,0.0,0.0,Carson Wentz sacked by and Brandon Graham for -8 yards and Haason Reddick for -8 yards,1.16,-0.78,3.0,2022,42
1.0,3:14,4.0,13.0,WAS 39,0.0,0.0,"Tress Way punts 51 yards, returned by Britain Covey for 12 yards (tackle by Dyami Brown and David Mayo)",-0.78,-0.41,3.0,2022,42
1.0,3:00,1.0,10.0,PHI 22,0.0,0.0,Miles Sanders left tackle for 5 yards (tackle by Cole Holcomb),0.41,0.54,3.0,2022,42
1.0,2:29,2.0,5.0,PHI 27,0.0,0.0,Miles Sanders up the middle for -1 yards (tackle by Jonathan Allen and Daron Payne),0.54,-0.29,3.0,2022,42
