Unnamed: 0,BUF,MIA,week,year,game_id
First Downs,31,15,3.0,2022,34
Rush-Yds-TDs,23-115-0,17-41-2,3.0,2022,34
Cmp-Att-Yd-TD-INT,42-63-400-2-0,13-20-186-1-0,3.0,2022,34
Sacked-Yards,4-18,2-15,3.0,2022,34
Net Pass Yards,382,171,3.0,2022,34
Total Yards,497,212,3.0,2022,34
Fumbles-Lost,4-1,0-0,3.0,2022,34
Turnovers,1,0,3.0,2022,34
Penalties-Yards,7-52,4-20,3.0,2022,34
Third Down Conv.,11-18,3-8,3.0,2022,34
Fourth Down Conv.,2-3,0-0,3.0,2022,34
Time of Possession,40:40,19:20,3.0,2022,34
