Quarter,Time,Down,ToGo,Location,BAL,NWE,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Patriots won the coin toss and deferred, Ravens to receive the opening kickoff.",,,3.0,2022,40
1.0,15:00,,,NWE 35,0.0,0.0,"Jake Bailey kicks off 65 yards, touchback.",0.0,0.61,3.0,2022,40
1.0,15:00,1.0,10.0,BAL 25,0.0,0.0,Lamar Jackson sacked by Matt Judon for no gain,0.61,0.06,3.0,2022,40
1.0,14:16,2.0,10.0,BAL 25,0.0,0.0,Lamar Jackson pass complete short left to J.K. Dobbins for 6 yards (tackle by Jonathan Jones),0.06,0.17,3.0,2022,40
1.0,13:38,3.0,4.0,BAL 31,0.0,0.0,Lamar Jackson pass incomplete short middle intended for Isaiah Likely (defended by Daniel Ekuale),0.17,-1.31,3.0,2022,40
1.0,13:34,4.0,4.0,BAL 31,0.0,0.0,"Jordan Stout punts 58 yards, recovered by Myles Bryant at NE-11 (tackle by Justice Hill)",-1.31,0.37,3.0,2022,40
1.0,13:23,1.0,10.0,NWE 11,0.0,0.0,Mac Jones pass complete short middle to DeVante Parker for 31 yards (tackle by Chuck Clark),-0.37,1.73,3.0,2022,40
1.0,12:45,1.0,10.0,NWE 42,0.0,0.0,Damien Harris left guard for 3 yards (tackle by Josh Bynes),1.73,1.59,3.0,2022,40
1.0,12:10,2.0,7.0,NWE 45,0.0,0.0,"Mac Jones pass complete short right to Kendrick Bourne for no gain. Penalty on Isaiah Wynn: False Start, 5 yards (accepted) (no play)",1.59,0.92,3.0,2022,40
1.0,11:54,2.0,12.0,NWE 40,0.0,0.0,Mac Jones pass complete short left to Jonnu Smith for 4 yards (tackle by Marlon Humphrey),0.92,0.76,3.0,2022,40
1.0,11:26,3.0,8.0,NWE 44,0.0,0.0,Mac Jones sacked by Patrick Queen for -7 yards,0.76,-0.91,3.0,2022,40
1.0,10:41,4.0,15.0,NWE 37,0.0,0.0,"Jake Bailey punts 44 yards, returned by Devin Duvernay for 12 yards (tackle by Cody Davis)",-0.91,-1.0,3.0,2022,40
1.0,10:32,1.0,10.0,BAL 31,0.0,0.0,Lamar Jackson left guard for 5 yards (tackle by Jabrill Peppers),1.0,1.14,3.0,2022,40
1.0,9:47,2.0,5.0,BAL 36,0.0,0.0,Lamar Jackson pass incomplete short left intended for Mark Andrews,1.14,0.43,3.0,2022,40
1.0,9:42,3.0,5.0,BAL 36,0.0,0.0,Lamar Jackson scrambles right end for 8 yards (tackle by Jalen Mills),0.43,1.86,3.0,2022,40
1.0,9:15,1.0,10.0,BAL 44,0.0,0.0,J.K. Dobbins left guard for 3 yards (tackle by Davon Godchaux and Lawrence Guy),1.86,1.72,3.0,2022,40
1.0,8:33,2.0,7.0,BAL 47,0.0,0.0,Lamar Jackson pass complete short left to Mark Andrews for 17 yards (tackle by Ja'Whaun Bentley),1.72,3.18,3.0,2022,40
1.0,7:54,1.0,10.0,NWE 36,0.0,0.0,Lamar Jackson pass complete short middle to Mark Andrews for 11 yards (tackle by Devin McCourty),3.18,3.91,3.0,2022,40
1.0,7:10,1.0,10.0,NWE 25,0.0,0.0,J.K. Dobbins left tackle for 5 yards (tackle by Deatrich Wise),3.91,4.04,3.0,2022,40
1.0,6:31,2.0,5.0,NWE 20,0.0,0.0,Lamar Jackson pass complete short right to Mark Andrews for 6 yards (tackle by Devin McCourty),4.04,4.65,3.0,2022,40
1.0,5:50,1.0,10.0,NWE 14,0.0,0.0,Lamar Jackson sacked by Deatrich Wise for -3 yards,4.65,3.59,3.0,2022,40
1.0,5:01,2.0,13.0,NWE 17,0.0,0.0,Lamar Jackson pass complete short left to Patrick Ricard for 12 yards (tackle by Jabrill Peppers),3.59,4.96,3.0,2022,40
1.0,4:14,3.0,1.0,NWE 5,6.0,0.0,"Lamar Jackson pass complete short middle to Mark Andrews for 5 yards, touchdown",4.96,7.0,3.0,2022,40
1.0,4:09,,,NWE 15,7.0,0.0,Justin Tucker kicks extra point good,0.0,0.0,3.0,2022,40
1.0,4:09,,,BAL 35,7.0,0.0,"Justin Tucker kicks off 69 yards, returned by Marcus Jones for 26 yards (tackle by Geno Stone and Kyle Hamilton)",0.0,0.41,3.0,2022,40
1.0,4:04,1.0,10.0,NWE 22,7.0,0.0,Rhamondre Stevenson left end for 8 yards (tackle by Marcus Williams),0.41,0.95,3.0,2022,40
1.0,3:25,2.0,2.0,NWE 30,7.0,0.0,Rhamondre Stevenson up the middle for 10 yards (tackle by Calais Campbell),0.95,1.6,3.0,2022,40
1.0,2:52,1.0,10.0,NWE 40,7.0,0.0,Mac Jones pass complete deep right to DeVante Parker for 40 yards (tackle by Jalyn Armour-Davis),1.6,4.24,3.0,2022,40
1.0,2:17,1.0,10.0,BAL 20,7.0,0.0,Rhamondre Stevenson up the middle for 4 yards (tackle by Chuck Clark and Josh Bynes),4.24,4.28,3.0,2022,40
1.0,1:36,2.0,6.0,BAL 16,7.0,0.0,"Rhamondre Stevenson for no gain. Penalty on Isaiah Wynn: Offensive Holding, 10 yards (accepted) (no play)",4.28,2.88,3.0,2022,40
1.0,1:14,2.0,16.0,BAL 26,7.0,0.0,Mac Jones scrambles for 4 yards (tackle by Marlon Humphrey),2.88,2.74,3.0,2022,40
1.0,0:35,3.0,12.0,BAL 22,7.0,0.0,Mac Jones pass complete short middle to Rhamondre Stevenson for 6 yards (tackle by Patrick Queen),2.74,2.4,3.0,2022,40
2.0,15:00,4.0,6.0,BAL 16,7.0,3.0,Nick Folk 35 yard field goal good,2.4,3.0,3.0,2022,40
2.0,14:57,,,NWE 35,7.0,3.0,"Jake Bailey kicks off 65 yards, returned by Devin Duvernay for 25 yards (tackle by Jabrill Peppers)",0.0,0.61,3.0,2022,40
2.0,14:50,1.0,10.0,BAL 25,7.0,3.0,Lamar Jackson pass complete short middle to Isaiah Likely for 8 yards (tackle by Devin McCourty and Jonathan Jones),0.61,1.14,3.0,2022,40
2.0,14:22,2.0,2.0,BAL 33,7.0,3.0,Lamar Jackson sacked by Deatrich Wise for -8 yards,1.14,-0.62,3.0,2022,40
2.0,13:33,3.0,10.0,BAL 25,7.0,3.0,"Penalty on Morgan Moses: False Start, 5 yards (accepted) (no play)",-0.62,-1.29,3.0,2022,40
2.0,13:14,3.0,15.0,BAL 20,7.0,3.0,Lamar Jackson pass incomplete deep right intended for Mark Andrews,-1.29,-2.03,3.0,2022,40
2.0,13:06,4.0,15.0,BAL 20,7.0,3.0,"Jordan Stout punts 52 yards, returned by Myles Bryant for 13 yards (tackle by Nick Moore)",-2.03,-1.66,3.0,2022,40
2.0,12:53,1.0,10.0,NWE 41,7.0,3.0,Damien Harris right end for 5 yards (tackle by Chuck Clark and Odafe Oweh),1.66,1.8,3.0,2022,40
2.0,12:07,2.0,5.0,NWE 46,7.0,3.0,Mac Jones scrambles left end for 1 yard (tackle by Odafe Oweh),1.8,1.22,3.0,2022,40
2.0,11:22,3.0,4.0,NWE 47,7.0,3.0,Mac Jones pass complete short left to Nelson Agholor for 13 yards (tackle by Marlon Humphrey),1.22,2.92,3.0,2022,40
2.0,10:48,1.0,10.0,BAL 40,7.0,3.0,Damien Harris left guard for 1 yard (tackle by Calais Campbell and Travis Jones),2.92,2.51,3.0,2022,40
2.0,10:09,2.0,9.0,BAL 39,7.0,3.0,Mac Jones pass incomplete deep left intended for DeVante Parker (defended by Marcus Williams),2.51,1.82,3.0,2022,40
2.0,10:00,,,,,,Timeout #1 by New England Patriots,,,3.0,2022,40
