Quarter,Time,Down,ToGo,Location,JAX,LAC,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Chargers won the coin toss and deferred, Jaguars to receive the opening kickoff.",,,3.0,2022,43
1.0,15:00,,,LAC 35,0.0,0.0,"Dustin Hopkins kicks off 65 yards, touchback.",0.0,0.61,3.0,2022,43
1.0,15:00,1.0,10.0,JAX 25,0.0,0.0,Trevor Lawrence pass complete short right to Zay Jones for 6 yards (tackle by Michael Davis),0.61,0.87,3.0,2022,43
1.0,14:21,2.0,4.0,JAX 31,0.0,0.0,"Penalty on Austin Johnson: Neutral Zone Infraction, 5 yards (accepted) (no play)",0.87,1.33,3.0,2022,43
1.0,14:08,1.0,10.0,JAX 36,0.0,0.0,James Robinson left guard for 20 yards (tackle by Bryce Callahan and Derwin James),1.33,2.65,3.0,2022,43
1.0,13:26,1.0,10.0,LAC 44,0.0,0.0,Trevor Lawrence pass complete short right to Zay Jones for 4 yards (tackle by Derwin James),2.65,2.65,3.0,2022,43
1.0,12:56,2.0,6.0,LAC 40,0.0,0.0,James Robinson up the middle for 1 yard (tackle by Sebastian Joseph-Day),2.65,2.08,3.0,2022,43
1.0,12:18,3.0,5.0,LAC 39,0.0,0.0,Trevor Lawrence pass incomplete short left intended for Zay Jones,2.08,0.66,3.0,2022,43
1.0,12:13,4.0,5.0,LAC 39,0.0,0.0,Trevor Lawrence pass incomplete short left intended for Marvin Jones,0.66,-1.6,3.0,2022,43
1.0,12:08,1.0,10.0,LAC 40,0.0,0.0,Austin Ekeler right end for no gain (tackle by Rayshawn Jenkins),1.6,1.05,3.0,2022,43
1.0,11:39,2.0,10.0,LAC 40,0.0,0.0,Justin Herbert pass complete short left to Austin Ekeler for 3 yards (tackle by Foyesade Oluokun and Josh Allen),1.05,0.76,3.0,2022,43
1.0,10:54,3.0,7.0,LAC 43,0.0,0.0,Justin Herbert pass incomplete short left intended for Mike Williams (defended by Darious Williams),0.76,-0.52,3.0,2022,43
1.0,10:49,4.0,7.0,LAC 43,0.0,0.0,"JK Scott punts 42 yards, fair catch by Jamal Agnew at JAC-15",-0.52,0.22,3.0,2022,43
1.0,10:40,1.0,10.0,JAX 15,0.0,0.0,Travis Etienne left tackle for 6 yards (tackle by Joey Bosa and Sebastian Joseph-Day),-0.22,0.21,3.0,2022,43
1.0,10:01,2.0,4.0,JAX 21,0.0,0.0,Travis Etienne up the middle for 5 yards (tackle by Kenneth Murray),0.21,0.67,3.0,2022,43
1.0,9:25,1.0,10.0,JAX 26,0.0,0.0,Trevor Lawrence pass complete short left to Travis Etienne for 5 yards (tackle by Jerry Tillery),0.67,0.81,3.0,2022,43
1.0,8:48,2.0,5.0,JAX 31,0.0,0.0,James Robinson left tackle for 4 yards (tackle by Khalil Mack),0.81,0.63,3.0,2022,43
1.0,8:08,3.0,1.0,JAX 35,0.0,0.0,James Robinson left guard for no gain (tackle by Otito Ogbonnia and Derwin James),0.63,-1.04,3.0,2022,43
1.0,7:31,4.0,1.0,JAX 35,0.0,0.0,"Logan Cooke punts 56 yards, returned by DeAndre Carter for 6 yards (tackle by Daniel Thomas)",-1.04,0.22,3.0,2022,43
1.0,7:18,1.0,10.0,LAC 15,0.0,0.0,Justin Herbert pass complete short middle to Austin Ekeler for 5 yards (tackle by Foyesade Oluokun),-0.22,0.08,3.0,2022,43
1.0,6:40,2.0,5.0,LAC 20,0.0,0.0,"Justin Herbert pass incomplete short right intended for Austin Ekeler. Penalty on Rashawn Slater: Offensive Holding, 10 yards (accepted) (no play)",0.08,-1.15,3.0,2022,43
1.0,6:33,2.0,15.0,LAC 10,0.0,0.0,Justin Herbert pass complete short middle to Gerald Everett for 14 yards (tackle by Foyesade Oluokun),-1.15,-0.27,3.0,2022,43
1.0,5:58,3.0,1.0,LAC 24,0.0,0.0,Austin Ekeler right end for no gain (tackle by Tre Herndon),-0.27,-1.77,3.0,2022,43
1.0,5:22,4.0,1.0,LAC 24,0.0,0.0,"JK Scott punts 50 yards, returned by Jamal Agnew for 7 yards (tackle by Zander Horvath)",-1.77,-1.14,3.0,2022,43
1.0,5:11,1.0,10.0,JAX 33,0.0,0.0,Trevor Lawrence pass complete short right to Christian Kirk for 14 yards (tackle by Asante Samuel and Nasir Adderley),1.14,2.06,3.0,2022,43
1.0,4:44,1.0,10.0,JAX 47,0.0,0.0,Trevor Lawrence pass complete short right to Marvin Jones for 8 yards (tackle by Michael Davis),2.06,2.6,3.0,2022,43
1.0,4:13,2.0,2.0,LAC 45,0.0,0.0,Trevor Lawrence pass incomplete short left intended for Christian Kirk (defended by Chris Rumph),2.6,1.88,3.0,2022,43
1.0,4:11,3.0,2.0,LAC 45,0.0,0.0,Trevor Lawrence pass complete short right to James Robinson for 4 yards (tackle by Drue Tranquill),1.88,2.85,3.0,2022,43
1.0,3:28,1.0,10.0,LAC 41,0.0,0.0,"Penalty on Christian Kirk: False Start, 5 yards (accepted) (no play)",2.85,2.52,3.0,2022,43
1.0,3:07,1.0,15.0,LAC 46,0.0,0.0,Trevor Lawrence pass incomplete deep right intended for Marvin Jones,2.52,1.63,3.0,2022,43
1.0,3:01,2.0,15.0,LAC 46,0.0,0.0,Trevor Lawrence pass complete short middle to Jamal Agnew for 17 yards (tackle by Kenneth Murray and Derwin James),1.63,3.64,3.0,2022,43
1.0,2:40,1.0,10.0,LAC 29,0.0,0.0,Trevor Lawrence pass complete short left to James Robinson for 5 yards (tackle by Kyle Van Noy),3.64,3.78,3.0,2022,43
1.0,1:58,2.0,5.0,LAC 24,0.0,0.0,James Robinson left tackle for 13 yards (tackle by Drue Tranquill and Nasir Adderley),3.78,4.84,3.0,2022,43
1.0,1:19,1.0,10.0,LAC 11,0.0,0.0,James Robinson right tackle for 1 yard (tackle by Drue Tranquill),4.84,4.32,3.0,2022,43
1.0,0:44,2.0,9.0,LAC 10,0.0,0.0,Trevor Lawrence pass incomplete short right intended for Marvin Jones,4.32,3.3,3.0,2022,43
1.0,0:39,3.0,9.0,LAC 10,0.0,0.0,Trevor Lawrence pass complete short middle to Marvin Jones for 6 yards (tackle by Drue Tranquill),3.3,3.03,3.0,2022,43
2.0,15:00,4.0,3.0,LAC 4,3.0,0.0,Riley Patterson 22 yard field goal good,3.03,3.0,3.0,2022,43
2.0,14:57,,,JAX 35,3.0,0.0,"Riley Patterson kicks off 61 yards, returned by DeAndre Carter for 14 yards (tackle by Andre Cisco). Penalty on Joshua Kelley: Offensive Holding, 9 yards (accepted)",0.0,-0.38,3.0,2022,43
2.0,14:49,1.0,10.0,LAC 9,3.0,0.0,Justin Herbert pass short left (defended by Tyson Campbell) intended for Sony Michel is intercepted by Devin Lloyd at LAC-15 and returned for 10 yards (tackle by Gerald Everett),-0.38,-6.06,3.0,2022,43
2.0,14:41,1.0,5.0,LAC 5,3.0,0.0,Zay Jones right end for no gain (tackle by Kyle Van Noy),6.06,5.15,3.0,2022,43
2.0,14:04,2.0,5.0,LAC 5,3.0,0.0,Trevor Lawrence pass incomplete short middle,5.15,4.26,3.0,2022,43
2.0,13:59,3.0,5.0,LAC 5,3.0,0.0,Trevor Lawrence pass incomplete short left intended for Christian Kirk (defended by Asante Samuel),4.26,3.01,3.0,2022,43
2.0,13:55,4.0,5.0,LAC 5,6.0,0.0,Riley Patterson 23 yard field goal good,3.01,3.0,3.0,2022,43
2.0,13:52,,,JAX 35,6.0,0.0,"Riley Patterson kicks off 65 yards, touchback.",0.0,0.61,3.0,2022,43
2.0,13:52,1.0,10.0,LAC 25,6.0,0.0,Sony Michel left guard for 8 yards (tackle by Dawuane Smoot),0.61,1.14,3.0,2022,43
2.0,13:16,2.0,2.0,LAC 33,6.0,0.0,Sony Michel right guard for 6 yards (tackle by Darious Williams and Tre Herndon),1.14,1.53,3.0,2022,43
2.0,12:42,1.0,10.0,LAC 39,6.0,0.0,Justin Herbert pass incomplete short right,1.53,0.99,3.0,2022,43
2.0,12:38,2.0,10.0,LAC 39,6.0,0.0,Justin Herbert pass incomplete short right intended for Gerald Everett,0.99,0.3,3.0,2022,43
2.0,12:34,3.0,10.0,LAC 39,6.0,0.0,"Justin Herbert sacked by Dawuane Smoot for -11 yards. Justin Herbert fumbles (forced by Dawuane Smoot), recovered by Foyesade Oluokun at LAC-28 (tackle by Dawuane Smoot)",0.3,-3.71,3.0,2022,43
2.0,12:21,1.0,10.0,LAC 28,6.0,0.0,Travis Etienne right guard for 2 yards (tackle by Kyle Van Noy),3.71,3.44,3.0,2022,43
2.0,11:43,2.0,8.0,LAC 26,6.0,0.0,Trevor Lawrence pass incomplete short right intended for Evan Engram (defended by Derwin James),3.44,2.74,3.0,2022,43
2.0,11:39,3.0,8.0,LAC 26,6.0,0.0,Trevor Lawrence pass complete short left to Evan Engram for 9 yards (tackle by Michael Davis),2.74,4.44,3.0,2022,43
2.0,11:09,1.0,10.0,LAC 17,6.0,0.0,Travis Etienne left tackle for 3 yards (tackle by Khalil Mack and Derwin James),4.44,4.32,3.0,2022,43
2.0,10:30,2.0,7.0,LAC 14,12.0,0.0,"Trevor Lawrence pass complete short right to Zay Jones for 14 yards, touchdown",4.32,7.0,3.0,2022,43
2.0,10:23,,,LAC 15,13.0,0.0,Riley Patterson kicks extra point good,0.0,0.0,3.0,2022,43
2.0,10:23,,,JAX 35,13.0,0.0,"Riley Patterson kicks off 65 yards, touchback.",0.0,0.61,3.0,2022,43
2.0,10:23,1.0,10.0,LAC 25,13.0,0.0,Justin Herbert pass complete short right to Austin Ekeler for 4 yards (tackle by Tyson Campbell),0.61,0.6,3.0,2022,43
2.0,9:49,2.0,6.0,LAC 29,13.0,0.0,Justin Herbert pass incomplete short left intended for Zander Horvath (defended by Travon Walker),0.6,-0.1,3.0,2022,43
2.0,9:45,3.0,6.0,LAC 29,13.0,0.0,Justin Herbert pass complete short left to DeAndre Carter for 17 yards (tackle by Andre Cisco),-0.1,1.99,3.0,2022,43
2.0,9:15,1.0,10.0,LAC 46,13.0,0.0,Sony Michel up the middle for no gain (tackle by Rayshawn Jenkins),1.99,1.45,3.0,2022,43
