Tm,W,L,W-L%,PF,PA,PD,MoV,SoS,SRS,OSRS,DSRS,conference,year,week
Buffalo Bills,1,0,1.0,41,40,1,1.0,-1.0,0.0,0.0,0.0,AFC,2025,1
New England Patriots,0,1,0.0,13,20,-7,-7.0,7.0,0.0,0.0,0.0,AFC,2025,1
New York Jets,0,1,0.0,32,34,-2,-2.0,2.0,0.0,0.0,0.0,AFC,2025,1
Miami Dolphins,0,1,0.0,8,33,-25,-25.0,25.0,0.0,0.0,0.0,AFC,2025,1
Cincinnati Bengals,1,0,1.0,17,16,1,1.0,-1.0,0.0,0.0,0.0,AFC,2025,1
Pittsburgh Steelers,1,0,1.0,34,32,2,2.0,-2.0,0.0,0.0,0.0,AFC,2025,1
Cleveland Browns,0,1,0.0,16,17,-1,-1.0,1.0,0.0,0.0,0.0,AFC,2025,1
Baltimore Ravens,0,1,0.0,40,41,-1,-1.0,1.0,0.0,0.0,0.0,AFC,2025,1
Indianapolis Colts,1,0,1.0,33,8,25,25.0,-25.0,0.0,0.0,0.0,AFC,2025,1
Jacksonville Jaguars,1,0,1.0,26,10,16,16.0,-16.0,0.0,0.0,0.0,AFC,2025,1
Tennessee Titans,0,1,0.0,12,20,-8,-8.0,8.0,0.0,0.0,0.0,AFC,2025,1
Houston Texans,0,1,0.0,9,14,-5,-5.0,5.0,0.0,0.0,0.0,AFC,2025,1
Las Vegas Raiders,1,0,1.0,20,13,7,7.0,-7.0,0.0,0.0,0.0,AFC,2025,1
Denver Broncos,1,0,1.0,20,12,8,8.0,-8.0,0.0,0.0,0.0,AFC,2025,1
Los Angeles Chargers,1,0,1.0,27,21,6,6.0,-6.0,0.0,0.0,0.0,AFC,2025,1
Kansas City Chiefs,0,1,0.0,21,27,-6,-6.0,6.0,0.0,0.0,0.0,AFC,2025,1
Philadelphia Eagles,1,0,1.0,24,20,4,4.0,-4.0,0.0,0.0,0.0,NFC,2025,1
Washington Commanders,1,0,1.0,21,6,15,15.0,-15.0,0.0,0.0,0.0,NFC,2025,1
New York Giants,0,1,0.0,6,21,-15,-15.0,15.0,0.0,0.0,0.0,NFC,2025,1
Dallas Cowboys,0,1,0.0,20,24,-4,-4.0,4.0,0.0,0.0,0.0,NFC,2025,1
Minnesota Vikings,1,0,1.0,27,24,3,3.0,-3.0,0.0,0.0,0.0,NFC,2025,1
Green Bay Packers,1,0,1.0,27,13,14,14.0,-14.0,0.0,0.0,0.0,NFC,2025,1
Detroit Lions,0,1,0.0,13,27,-14,-14.0,14.0,0.0,0.0,0.0,NFC,2025,1
Chicago Bears,0,1,0.0,24,27,-3,-3.0,3.0,0.0,0.0,0.0,NFC,2025,1
Tampa Bay Buccaneers,1,0,1.0,23,20,3,3.0,-3.0,0.0,0.0,0.0,NFC,2025,1
New Orleans Saints,0,1,0.0,13,20,-7,-7.0,7.0,0.0,0.0,0.0,NFC,2025,1
Carolina Panthers,0,1,0.0,10,26,-16,-16.0,16.0,0.0,0.0,0.0,NFC,2025,1
Atlanta Falcons,0,1,0.0,20,23,-3,-3.0,3.0,0.0,0.0,0.0,NFC,2025,1
Arizona Cardinals,1,0,1.0,20,13,7,7.0,-7.0,0.0,0.0,0.0,NFC,2025,1
Los Angeles Rams,1,0,1.0,14,9,5,5.0,-5.0,0.0,0.0,0.0,NFC,2025,1
San Francisco 49ers,1,0,1.0,17,13,4,4.0,-4.0,0.0,0.0,0.0,NFC,2025,1
Seattle Seahawks,0,1,0.0,13,17,-4,-4.0,4.0,0.0,0.0,0.0,NFC,2025,1
