Tm,G,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
Atlanta Falcons,17,495,2219,18,133,1076,2.2,1143,2.3,30,16.5
Buffalo Bills,17,491,2230,32,140,1215,2.5,1015,2.1,31,15.8
Carolina Panthers,17,410,1878,18,99,1118,2.7,760,1.9,26,15.8
Chicago Bears,17,431,1734,13,97,1061,2.5,673,1.6,13,33.2
Cincinnati Bengals,17,380,1574,11,88,1023,2.7,551,1.5,27,14.1
Cleveland Browns,17,391,1608,8,93,991,2.5,617,1.6,12,32.6
Indianapolis Colts,17,496,2331,20,130,1455,2.9,876,1.8,28,17.7
Arizona Cardinals,17,463,2451,18,136,1384,3.0,1067,2.3,34,13.6
Dallas Cowboys,17,429,1705,6,98,919,2.1,786,1.8,17,25.2
Denver Broncos,17,461,1908,12,124,1107,2.4,801,1.7,20,23.1
Detroit Lions,17,534,2488,29,144,1364,2.6,1124,2.1,42,12.7
Green Bay Packers,17,526,2496,23,142,1248,2.4,1248,2.4,58,9.1
Houston Texans,17,434,1909,15,89,1055,2.4,854,2.0,31,14.0
Jacksonville Jaguars,17,414,1729,13,106,837,2.0,892,2.2,19,21.8
Kansas City Chiefs,17,450,1790,15,106,1078,2.4,712,1.6,12,37.5
Miami Dolphins,17,448,1795,12,90,1011,2.3,784,1.8,13,34.5
Minnesota Vikings,17,457,1855,9,100,1051,2.3,804,1.8,18,25.4
New Orleans Saints,17,444,1954,15,111,1107,2.5,847,1.9,26,17.1
New England Patriots,17,446,1969,11,101,1050,2.4,919,2.1,28,15.9
New York Giants,17,424,1783,13,104,1071,2.5,712,1.7,21,20.2
New York Jets,17,363,1561,8,83,777,2.1,784,2.2,19,19.1
Tennessee Titans,17,450,1855,11,112,966,2.1,889,2.0,44,10.2
Philadelphia Eagles,17,621,3048,29,164,2011,3.2,1037,1.7,33,18.8
Pittsburgh Steelers,17,533,2166,14,122,1195,2.2,971,1.8,38,14.0
Las Vegas Raiders,17,380,1357,10,78,728,1.9,629,1.7,24,15.8
Los Angeles Rams,17,450,1765,15,119,1008,2.2,757,1.7,29,15.5
Baltimore Ravens,17,554,3189,21,164,1821,3.3,1368,2.5,58,9.6
Los Angeles Chargers,17,463,1882,17,110,926,2.0,956,2.1,39,11.9
Seattle Seahawks,17,383,1627,17,88,905,2.4,722,1.9,31,12.4
San Francisco 49ers,17,457,2163,17,120,1234,2.7,929,2.0,24,19.0
Tampa Bay Buccaneers,17,483,2536,16,137,1345,2.8,1191,2.5,34,14.2
Washington Commanders,17,526,2619,25,154,1525,2.9,1094,2.1,31,17.0
