Quarter,Time,Tm,Detail,CIN,SFO,week,year,game_id
1.0,8:11,Bengals,Tyler Boyd 7 yard pass from Joe Burrow (Evan McPherson kick),7,0,8.0,2023,118
,3:19,49ers,Christian McCaffrey 2 yard rush (Jake Moody kick),7,7,8.0,2023,118
,0:00,Bengals,Andrei Iosivas 2 yard pass from Joe Burrow (Evan McPherson kick),14,7,8.0,2023,118
2.0,2:44,49ers,Jake Moody 36 yard field goal,14,10,8.0,2023,118
3.0,11:09,Bengals,Evan McPherson 56 yard field goal,17,10,8.0,2023,118
4.0,13:04,Bengals,Ja'Marr Chase 17 yard pass from Joe Burrow (Evan McPherson kick),24,10,8.0,2023,118
,8:12,49ers,Christian McCaffrey 4 yard pass from Brock Purdy (Jake Moody kick),24,17,8.0,2023,118
,2:54,Bengals,Joe Mixon 5 yard rush (Evan McPherson kick),31,17,8.0,2023,118
