Quarter,Time,Down,ToGo,Location,HOU,CAR,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Panthers won the coin toss and deferred, Texans to receive the opening kickoff.",,,8.0,2023,108
1.0,15:00,,,CAR 35,0.0,0.0,"Eddy Pineiro kicks off 69 yards, returned by Mike Boone for 25 yards (tackle by Matthias Farley and Amare Barno)",0.0,0.34,8.0,2023,108
1.0,14:57,1.0,10.0,HOU 21,0.0,0.0,Dameon Pierce right tackle for 1 yard (tackle by Shy Tuttle and Deion Jones),0.34,-0.07,8.0,2023,108
1.0,14:17,2.0,9.0,HOU 22,0.0,0.0,Dameon Pierce left tackle for 7 yards (tackle by Xavier Woods),-0.07,0.17,8.0,2023,108
1.0,13:51,3.0,2.0,HOU 29,0.0,0.0,C.J. Stroud pass incomplete short right intended for Dalton Schultz (defended by Derrick Brown),0.17,-1.44,8.0,2023,108
1.0,13:47,4.0,2.0,HOU 29,0.0,0.0,"Cameron Johnston punts 52 yards, fair catch by Ihmir Smith-Marsette at CAR-19. Penalty on DJ Johnson: Offensive Holding, 9 yards (accepted)",-1.44,0.38,8.0,2023,108
1.0,13:40,1.0,10.0,CAR 10,0.0,0.0,Bryce Young sacked by Blake Cashman for -8 yards,-0.38,-1.36,8.0,2023,108
1.0,13:04,2.0,18.0,CAR 2,0.0,0.0,"Chuba Hubbard left end for 13 yards (tackle by Jalen Pitre). Penalty on Tommy Tremble: Offensive Holding, 1 yard (accepted) (no play)",-1.36,-1.44,8.0,2023,108
1.0,12:40,2.0,19.0,CAR 1,0.0,0.0,Bryce Young pass incomplete short left intended for Hayden Hurst,-1.44,-2.47,8.0,2023,108
1.0,12:37,3.0,19.0,CAR 1,0.0,0.0,Bryce Young pass complete short left to Jonathan Mingo for 5 yards (tackle by Tavierre Thomas),-2.47,-2.49,8.0,2023,108
1.0,11:59,4.0,14.0,CAR 6,0.0,0.0,"Johnny Hekker punts 48 yards, returned by Tank Dell for 5 yards (tackle by Matthias Farley)",-2.49,-2.32,8.0,2023,108
1.0,11:49,1.0,10.0,CAR 49,0.0,0.0,C.J. Stroud scrambles left end for 12 yards (tackle by Frankie Luvu),2.32,3.18,8.0,2023,108
1.0,11:13,1.0,10.0,CAR 36,0.0,0.0,Devin Singletary up the middle for -7 yards (tackle by Frankie Luvu),3.18,1.63,8.0,2023,108
1.0,10:28,2.0,17.0,CAR 44,0.0,0.0,C.J. Stroud pass complete short right to Devin Singletary for 3 yards (tackle by Xavier Woods and Deion Jones),1.63,1.36,8.0,2023,108
1.0,9:50,3.0,14.0,CAR 41,0.0,0.0,C.J. Stroud pass incomplete short left intended for Noah Brown (defended by DeShawn Williams),1.36,0.53,8.0,2023,108
1.0,9:46,4.0,14.0,CAR 41,0.0,0.0,"Cameron Johnston punts 33 yards, fair catch by Ihmir Smith-Marsette at CAR-8",0.53,0.38,8.0,2023,108
1.0,9:40,1.0,10.0,CAR 8,0.0,0.0,Bryce Young pass complete short right to Raheem Blackshear for 19 yards (tackle by Shaquill Griffin),-0.38,0.74,8.0,2023,108
1.0,9:05,1.0,10.0,CAR 27,0.0,0.0,Chuba Hubbard right tackle for -2 yards (tackle by Will Anderson),0.74,-0.07,8.0,2023,108
1.0,8:34,2.0,12.0,CAR 25,0.0,0.0,Miles Sanders right tackle for 4 yards (tackle by Jerry Hughes and Hassan Ridgeway),-0.07,-0.23,8.0,2023,108
1.0,7:51,3.0,8.0,CAR 29,0.0,0.0,Bryce Young pass incomplete short left intended for Jonathan Mingo,-0.23,-1.44,8.0,2023,108
1.0,7:45,4.0,8.0,CAR 29,0.0,0.0,"Johnny Hekker punts 56 yards, returned by Tank Dell for no gain (tackle by Dicaprio Bootle). Penalty on Neville Hewitt: Offensive Holding, 7 yards (accepted)",-1.44,0.38,8.0,2023,108
1.0,7:33,1.0,10.0,HOU 8,0.0,0.0,C.J. Stroud pass complete short left to Nico Collins for 15 yards (tackle by Xavier Woods),-0.38,0.48,8.0,2023,108
1.0,6:59,1.0,10.0,HOU 23,0.0,0.0,C.J. Stroud pass incomplete deep right intended for Nico Collins,0.48,-0.07,8.0,2023,108
1.0,6:52,2.0,10.0,HOU 23,0.0,0.0,Dameon Pierce up the middle for 3 yards (tackle by LaBryan Ray),-0.07,-0.36,8.0,2023,108
1.0,6:10,3.0,7.0,HOU 26,0.0,0.0,C.J. Stroud pass complete short right to Mike Boone for 11 yards (tackle by Xavier Woods and DeShawn Williams),-0.36,1.4,8.0,2023,108
1.0,5:27,1.0,10.0,HOU 37,0.0,0.0,C.J. Stroud pass complete short right to Tank Dell for 4 yards (tackle by C.J. Henderson),1.4,1.4,8.0,2023,108
1.0,4:52,2.0,6.0,HOU 41,0.0,0.0,Tank Dell left end for 11 yards (tackle by Frankie Luvu),1.4,2.39,8.0,2023,108
1.0,4:06,1.0,10.0,CAR 48,0.0,0.0,Devin Singletary left guard for 5 yards (tackle by Jammie Robinson and Nick Thurman),2.39,2.52,8.0,2023,108
1.0,3:28,2.0,5.0,CAR 43,0.0,0.0,Devin Singletary left end for 1 yard (tackle by Donte Jackson),2.52,1.95,8.0,2023,108
1.0,2:47,3.0,4.0,CAR 42,0.0,0.0,C.J. Stroud pass complete short left to Nico Collins for 8 yards (tackle by Donte Jackson),1.95,3.31,8.0,2023,108
1.0,2:22,1.0,10.0,CAR 34,0.0,0.0,Mike Boone left tackle for 5 yards (tackle by Frankie Luvu),3.31,3.45,8.0,2023,108
1.0,1:47,2.0,5.0,CAR 29,0.0,0.0,Dameon Pierce left guard for 1 yard (tackle by Justin Houston and DeShawn Williams),3.45,2.87,8.0,2023,108
1.0,1:02,3.0,4.0,CAR 28,0.0,0.0,C.J. Stroud pass complete short right to Noah Brown for 4 yards (tackle by C.J. Henderson),2.87,3.97,8.0,2023,108
1.0,0:26,1.0,10.0,CAR 24,0.0,0.0,C.J. Stroud pass complete short middle to Tank Dell for 3 yards (tackle by Frankie Luvu and Xavier Woods),3.97,3.84,8.0,2023,108
2.0,15:00,2.0,7.0,CAR 21,0.0,0.0,Tank Dell left end for -3 yards (tackle by DJ Johnson),3.84,2.74,8.0,2023,108
2.0,14:18,3.0,10.0,CAR 24,0.0,0.0,C.J. Stroud pass complete short middle to Noah Brown for 22 yards (tackle by Sam Franklin),2.74,6.74,8.0,2023,108
2.0,13:21,1.0,2.0,CAR 2,0.0,0.0,"Dameon Pierce left tackle for no gain, touchdown Replay Assistant challenged the runner broke the plane ruling, and the original play was overturned. Dameon Pierce left tackle for 1 yard (tackle by Derrick Brown)",6.74,5.91,8.0,2023,108
2.0,13:15,2.0,1.0,CAR 1,6.0,0.0,"Andrew Beck up the middle for 1 yard, touchdown",5.91,7.0,8.0,2023,108
2.0,13:13,,,CAR 15,7.0,0.0,Ka'imi Fairbairn kicks extra point good,0.0,0.0,8.0,2023,108
