Unnamed: 0,ATL,TEN,week,year,game_id
First Downs,17,17,8.0,2023,111
Rush-Yds-TDs,26-140-1,36-149-0,8.0,2023,111
Cmp-Att-Yd-TD-INT,20-34-246-1-0,19-29-238-4-0,8.0,2023,111
Sacked-Yards,6-44,2-12,8.0,2023,111
Net Pass Yards,202,226,8.0,2023,111
Total Yards,342,375,8.0,2023,111
Fumbles-Lost,1-1,1-1,8.0,2023,111
Turnovers,1,1,8.0,2023,111
Penalties-Yards,3-15,6-53,8.0,2023,111
Third Down Conv.,4-15,5-15,8.0,2023,111
Fourth Down Conv.,1-2,1-1,8.0,2023,111
Time of Possession,27:01,32:59,8.0,2023,111
