Unnamed: 0,NYJ,NYG,week,year,game_id
First Downs,12,12,8.0,2023,115
Rush-Yds-TDs,22-58-0,52-203-1,8.0,2023,115
Cmp-Att-Yd-TD-INT,17-36-240-1-0,6-14-7-0-0,8.0,2023,115
Sacked-Yards,4-47,4-16,8.0,2023,115
Net Pass Yards,193,-9,8.0,2023,115
Total Yards,251,194,8.0,2023,115
Fumbles-Lost,2-2,2-0,8.0,2023,115
Turnovers,2,0,8.0,2023,115
Penalties-Yards,9-85,6-73,8.0,2023,115
Third Down Conv.,2-15,2-19,8.0,2023,115
Fourth Down Conv.,0-1,0-0,8.0,2023,115
Time of Possession,25:38,38:13,8.0,2023,115
