Player,Tm,Receiving Tgt,Receiving Rec,Receiving Yds,Receiving TD,Receiving Lng,week,year,game_id
Tyson Bagent,CHI,0,0,0,0,0,8.0,2023,121
D'Onta Foreman,CHI,2,1,2,0,2,8.0,2023,121
Roschon Johnson,CHI,4,3,10,0,7,8.0,2023,121
Darrynton Evans,CHI,4,3,22,0,8,8.0,2023,121
Darnell Mooney,CHI,4,1,41,0,41,8.0,2023,121
Cole Kmet,CHI,10,10,79,0,17,8.0,2023,121
D.J. Moore,CHI,6,4,55,0,18,8.0,2023,121
Tyler Scott,CHI,3,1,11,0,11,8.0,2023,121
Robert Tonyan,CHI,1,1,8,0,8,8.0,2023,121
Velus Jones Jr.,CHI,2,1,4,0,4,8.0,2023,121
Khari Blasingame,CHI,1,0,0,0,0,8.0,2023,121
Trent Taylor,CHI,0,0,0,0,0,8.0,2023,121
Justin Herbert,LAC,0,0,0,0,0,8.0,2023,121
Austin Ekeler,LAC,8,7,94,1,39,8.0,2023,121
Joshua Kelley,LAC,0,0,0,0,0,8.0,2023,121
Isaiah Spiller,LAC,1,1,5,0,5,8.0,2023,121
Keenan Allen,LAC,10,8,69,0,26,8.0,2023,121
Quentin Johnston,LAC,6,5,50,0,18,8.0,2023,121
Donald Parham,LAC,5,4,43,1,17,8.0,2023,121
Josh Palmer,LAC,4,3,24,0,9,8.0,2023,121
Simi Fehoko,LAC,2,1,9,1,9,8.0,2023,121
Derius Davis,LAC,2,2,4,0,5,8.0,2023,121
