Quarter,Time,Down,ToGo,Location,PHI,WAS,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Eagles won the coin toss and deferred, Commanders to receive the opening kickoff.",,,8.0,2023,116
1.0,15:00,,,PHI 35,0.0,0.0,"Jake Elliott kicks off 65 yards, touchback.",0.0,0.61,8.0,2023,116
1.0,15:00,1.0,10.0,WAS 25,0.0,0.0,Sam Howell pass complete short middle to Curtis Samuel for 7 yards (tackle by Sydney Brown),0.61,1.01,8.0,2023,116
1.0,14:26,2.0,3.0,WAS 32,0.0,0.0,Sam Howell pass complete short left to Jahan Dotson for 2 yards (tackle by Nakobe Dean),1.01,0.56,8.0,2023,116
1.0,13:49,3.0,1.0,WAS 34,0.0,0.0,Brian Robinson up the middle for 2 yards (tackle by Kevin Byard and Nakobe Dean),0.56,1.33,8.0,2023,116
1.0,13:09,1.0,10.0,WAS 36,0.0,0.0,Sam Howell pass complete short left to Brian Robinson for 9 yards (tackle by Marlon Tuipulotu),1.33,2.01,8.0,2023,116
1.0,12:28,2.0,1.0,WAS 45,0.0,0.0,Brian Robinson up the middle for -1 yards (tackle by Sydney Brown),2.01,1.16,8.0,2023,116
1.0,11:53,3.0,2.0,WAS 44,0.0,0.0,"Sam Howell pass incomplete short right intended for Curtis Samuel. Penalty on Eli Ricks: Defensive Pass Interference, 4 yards (accepted) (no play)",1.16,2.13,8.0,2023,116
1.0,11:46,1.0,10.0,WAS 48,0.0,0.0,Sam Howell pass complete short right to Terry McLaurin for 5 yards (tackle by Darius Slay and Kevin Byard),2.13,2.26,8.0,2023,116
1.0,11:13,2.0,5.0,PHI 47,0.0,0.0,Dyami Brown left end for no gain (tackle by Sydney Brown and Jalen Carter),2.26,1.55,8.0,2023,116
1.0,10:26,3.0,5.0,PHI 47,0.0,0.0,Sam Howell pass complete short right to Curtis Samuel for -1 yards (tackle by Eli Ricks),1.55,0.07,8.0,2023,116
1.0,9:46,4.0,6.0,PHI 48,0.0,0.0,"Tress Way punts 40 yards, fair catch by Britain Covey at PHI-8",0.07,0.38,8.0,2023,116
1.0,9:39,1.0,10.0,PHI 8,0.0,0.0,D'Andre Swift right guard for 3 yards (tackle by Montez Sweat),-0.38,-0.56,8.0,2023,116
1.0,9:04,2.0,7.0,PHI 11,0.0,0.0,Jalen Hurts pass complete short left to Boston Scott for 4 yards (tackle by Khaleke Hudson),-0.56,-0.6,8.0,2023,116
1.0,8:24,3.0,3.0,PHI 15,0.0,0.0,Jalen Hurts pass incomplete short right intended for Dallas Goedert (defended by Percy Butler),-0.6,-2.44,8.0,2023,116
1.0,8:19,4.0,3.0,PHI 15,0.0,0.0,"Braden Mann punts 58 yards, returned by Jamison Crowder for 11 yards (tackle by Reed Blankenship and Grant Calcaterra)",-2.44,-1.47,8.0,2023,116
1.0,8:07,1.0,10.0,WAS 38,0.0,0.0,Sam Howell pass complete short right to Curtis Samuel for 7 yards (tackle by Milton Williams),1.47,1.87,8.0,2023,116
1.0,7:39,2.0,3.0,WAS 45,0.0,0.0,Brian Robinson right tackle for 29 yards (tackle by Darius Slay),1.87,3.84,8.0,2023,116
1.0,7:19,1.0,10.0,PHI 26,0.0,6.0,"Sam Howell pass complete deep left to Terry McLaurin for 26 yards, touchdown",3.84,7.0,8.0,2023,116
1.0,7:13,,,PHI 15,0.0,7.0,Joey Slye kicks extra point good,0.0,0.0,8.0,2023,116
1.0,7:13,,,WAS 35,0.0,7.0,"Joey Slye kicks off 65 yards, touchback.",0.0,0.61,8.0,2023,116
1.0,7:13,1.0,10.0,PHI 25,0.0,7.0,Jalen Hurts pass complete short right to A.J. Brown for 3 yards (tackle by Danny Johnson),0.61,0.47,8.0,2023,116
1.0,6:33,2.0,7.0,PHI 28,0.0,7.0,Jalen Hurts pass incomplete deep right intended for D'Andre Swift,0.47,-0.23,8.0,2023,116
1.0,6:27,3.0,7.0,PHI 28,0.0,7.0,Jalen Hurts scrambles left end for 7 yards (tackle by Kamren Curl),-0.23,1.27,8.0,2023,116
1.0,5:50,1.0,10.0,PHI 35,0.0,7.0,Jalen Hurts pass complete short right to DeVonta Smith for 9 yards (tackle by Percy Butler and David Mayo),1.27,1.94,8.0,2023,116
1.0,4:48,2.0,1.0,PHI 44,0.0,7.0,Jalen Hurts pass complete short right to Dallas Goedert for 4 yards (tackle by Kamren Curl),1.94,2.13,8.0,2023,116
1.0,4:21,1.0,10.0,PHI 48,0.0,7.0,Jalen Hurts pass complete short middle to D'Andre Swift for 5 yards (tackle by David Mayo),2.13,2.26,8.0,2023,116
1.0,3:43,2.0,5.0,WAS 47,0.0,7.0,Jalen Hurts pass complete short middle to A.J. Brown for 12 yards (tackle by Benjamin St-Juste),2.26,3.25,8.0,2023,116
1.0,3:07,1.0,10.0,WAS 35,0.0,7.0,Jalen Hurts pass incomplete deep middle intended for Olamide Zaccheaus,3.25,2.7,8.0,2023,116
1.0,3:00,,,,,,Timeout #1 by Philadelphia Eagles,,,8.0,2023,116
1.0,3:00,2.0,10.0,WAS 35,0.0,7.0,Jalen Hurts pass incomplete short left intended for Dallas Goedert,2.7,2.01,8.0,2023,116
1.0,2:54,3.0,10.0,WAS 35,0.0,7.0,Jalen Hurts pass complete short left to D'Andre Swift for 2 yards (tackle by Kendall Fuller),2.01,1.15,8.0,2023,116
1.0,2:16,4.0,8.0,WAS 33,3.0,7.0,Jake Elliott 51 yard field goal good,1.15,3.0,8.0,2023,116
1.0,2:11,,,PHI 35,3.0,7.0,"Jake Elliott kicks off 65 yards, touchback.",0.0,0.61,8.0,2023,116
1.0,2:11,1.0,10.0,WAS 25,3.0,7.0,Sam Howell pass complete short middle to Terry McLaurin for 9 yards (tackle by Reed Blankenship),0.61,1.28,8.0,2023,116
1.0,1:36,2.0,1.0,WAS 34,3.0,7.0,Sam Howell pass complete short left to Logan Thomas for 8 yards (tackle by Kevin Byard),1.28,1.73,8.0,2023,116
1.0,0:57,1.0,10.0,WAS 42,3.0,7.0,Sam Howell pass complete short right to Brian Robinson for 11 yards (tackle by Nakobe Dean),1.73,2.46,8.0,2023,116
1.0,0:13,1.0,10.0,PHI 47,3.0,7.0,Sam Howell pass incomplete deep right intended for Byron Pringle,2.46,1.91,8.0,2023,116
1.0,0:06,2.0,10.0,PHI 47,3.0,7.0,Antonio Gibson left end for 6 yards (tackle by Josh Sweat and Marlon Tuipulotu),1.91,2.01,8.0,2023,116
2.0,15:00,3.0,4.0,PHI 41,3.0,7.0,Sam Howell pass complete short middle to Logan Thomas for 16 yards (tackle by Kevin Byard),2.01,3.91,8.0,2023,116
