Unnamed: 0,PHI,WAS,week,year,game_id
First Downs,21,26,8.0,2023,116
Rush-Yds-TDs,22-59-1,16-84-0,8.0,2023,116
Cmp-Att-Yd-TD-INT,29-38-319-4-0,39-52-397-4-1,8.0,2023,116
Sacked-Yards,2-4,1-9,8.0,2023,116
Net Pass Yards,315,388,8.0,2023,116
Total Yards,374,472,8.0,2023,116
Fumbles-Lost,2-2,1-0,8.0,2023,116
Turnovers,2,1,8.0,2023,116
Penalties-Yards,3-14,7-79,8.0,2023,116
Third Down Conv.,8-13,7-12,8.0,2023,116
Fourth Down Conv.,1-1,0-3,8.0,2023,116
Time of Possession,28:31,31:29,8.0,2023,116
