#,Quarter,Time,LOS,Plays,Length,Net Yds,Result,home_team,team,week,year,game_id
1,1,15:00,TEN 25,4,1:58,4,Fumble,1,Titans,8.0,2023,111
2,1,9:47,TEN 25,7,4:01,19,Punt,1,Titans,8.0,2023,111
3,1,4:20,TEN 39,4,1:52,61,Touchdown,1,Titans,8.0,2023,111
4,2,14:53,TEN 13,5,2:49,22,Punt,1,Titans,8.0,2023,111
5,2,11:13,TEN 32,3,0:57,7,Punt,1,Titans,8.0,2023,111
6,2,8:17,ATL 33,5,2:50,33,Touchdown,1,Titans,8.0,2023,111
7,2,3:17,TEN 22,5,1:44,11,Punt,1,Titans,8.0,2023,111
8,2,1:02,ATL 43,3,0:34,3,Punt,1,Titans,8.0,2023,111
9,3,12:06,TEN 25,8,4:58,24,Punt,1,Titans,8.0,2023,111
10,3,3:02,TEN 25,3,1:25,75,Touchdown,1,Titans,8.0,2023,111
11,4,14:17,TEN 25,3,2:02,3,Punt,1,Titans,8.0,2023,111
12,4,11:51,TEN 15,9,4:52,85,Touchdown,1,Titans,8.0,2023,111
13,4,3:46,TEN 27,5,1:27,9,Punt,1,Titans,8.0,2023,111
14,4,1:30,ATL 22,3,1:30,-3,End of Game,1,Titans,8.0,2023,111
