Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br,week,year,game_id
Bijan Robinson,ATL,11,62,1,2.0,43,3.9,19,1.7,0,,8.0,2023,111
Tyler Allgeier,ATL,8,31,0,1.0,20,2.5,11,1.4,0,,8.0,2023,111
Desmond Ridder,ATL,3,26,0,1.0,26,8.7,0,0.0,0,,8.0,2023,111
Taylor Heinicke,ATL,2,14,0,0.0,14,7.0,0,0.0,0,,8.0,2023,111
Cordarrelle Patterson,ATL,2,7,0,,3,1.5,4,2.0,0,,8.0,2023,111
Derrick Henry,TEN,22,101,0,4.0,56,2.5,45,2.0,0,,8.0,2023,111
Will Levis,TEN,7,11,0,2.0,9,1.3,2,0.3,0,,8.0,2023,111
Tyjae Spears,TEN,3,27,0,1.0,14,4.7,13,4.3,0,,8.0,2023,111
Malik Willis,TEN,2,4,0,,4,2.0,0,0.0,0,,8.0,2023,111
Amani Hooker,TEN,1,2,0,1.0,2,2.0,0,0.0,0,,8.0,2023,111
Chigoziem Okonkwo,TEN,1,4,0,1.0,3,3.0,1,1.0,0,,8.0,2023,111
