Unnamed: 0,NOR,IND,week,year,game_id
First Downs,24,19,8.0,2023,112
Rush-Yds-TDs,36-161-3,24-164-1,8.0,2023,112
Cmp-Att-Yd-TD-INT,20-29-354-2-0,23-41-213-2-1,8.0,2023,112
Sacked-Yards,1-4,2-6,8.0,2023,112
Net Pass Yards,350,207,8.0,2023,112
Total Yards,511,371,8.0,2023,112
Fumbles-Lost,1-1,0-0,8.0,2023,112
Turnovers,1,1,8.0,2023,112
Penalties-Yards,8-73,6-30,8.0,2023,112
Third Down Conv.,6-12,7-16,8.0,2023,112
Fourth Down Conv.,0-0,1-1,8.0,2023,112
Time of Possession,30:09,29:51,8.0,2023,112
