Quarter,Time,Down,ToGo,Location,ATL,TEN,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Falcons won the coin toss and deferred, Titans to receive the opening kickoff.",,,8.0,2023,111
1.0,15:00,,,ATL 35,0.0,0.0,"Bradley Pinion kicks off 65 yards, touchback.",0.0,0.61,8.0,2023,111
1.0,15:00,1.0,10.0,TEN 25,0.0,0.0,Derrick Henry left guard for 3 yards (tackle by Kaden Elliss and Bud Dupree),0.61,0.47,8.0,2023,111
1.0,14:25,2.0,7.0,TEN 28,0.0,0.0,Derrick Henry up the middle for 6 yards (tackle by Jessie Bates and Jeff Okudah),0.47,0.56,8.0,2023,111
1.0,13:45,3.0,1.0,TEN 34,0.0,0.0,Will Levis up the middle for 3 yards (tackle by David Onyemata),0.56,1.4,8.0,2023,111
1.0,13:07,1.0,10.0,TEN 37,0.0,0.0,"Malik Willis aborted snap, recovered by Calais Campbell at TEN-28",1.4,-3.71,8.0,2023,111
1.0,13:02,1.0,10.0,TEN 28,0.0,0.0,"Desmond Ridder pass complete short right to Bijan Robinson for no gain (tackle by Eric Garror). Penalty on Van Jefferson: Illegal Shift, 5 yards (accepted) (no play)",3.71,3.38,8.0,2023,111
1.0,12:52,1.0,15.0,TEN 33,0.0,0.0,Bijan Robinson left tackle for 5 yards (tackle by Azeez Al-Shaair),3.38,3.17,8.0,2023,111
1.0,12:20,2.0,10.0,TEN 28,0.0,0.0,Desmond Ridder scrambles up the middle for 4 yards (tackle by Jack Gibbens),3.17,3.01,8.0,2023,111
1.0,11:49,3.0,6.0,TEN 24,0.0,0.0,Desmond Ridder pass complete short right to Drake London for 12 yards (tackle by Amani Hooker),3.01,4.78,8.0,2023,111
1.0,11:12,1.0,10.0,TEN 12,0.0,0.0,Tyler Allgeier left guard for 5 yards (tackle by Elijah Molden and Kristian Fulton),4.78,5.02,8.0,2023,111
1.0,10:37,2.0,5.0,TEN 7,0.0,0.0,Jonnu Smith pass incomplete short right intended for MyCole Pruitt,5.02,4.16,8.0,2023,111
1.0,10:31,3.0,5.0,TEN 7,0.0,0.0,Desmond Ridder sacked by Harold Landry for -3 yards,4.16,2.76,8.0,2023,111
1.0,9:51,4.0,8.0,TEN 10,3.0,0.0,Younghoe Koo 29 yard field goal good,2.76,3.0,8.0,2023,111
1.0,9:47,,,ATL 35,3.0,0.0,"Bradley Pinion kicks off 65 yards, touchback.",0.0,0.61,8.0,2023,111
1.0,9:47,1.0,10.0,TEN 25,3.0,0.0,Will Levis pass complete short right to Tyjae Spears for 1 yard (tackle by DeAundre Alford and Nathan Landman),0.61,0.2,8.0,2023,111
