Quarter,Time,Down,ToGo,Location,KAN,DEN,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Broncos won the coin toss and deferred, Chiefs to receive the opening kickoff.",,,8.0,2023,120
1.0,15:00,,,DEN 35,0.0,0.0,"Wil Lutz kicks off 65 yards, touchback.",0.0,0.61,8.0,2023,120
1.0,15:00,1.0,10.0,KAN 25,0.0,0.0,Isiah Pacheco right tackle for no gain (tackle by Jonathon Cooper),0.61,0.06,8.0,2023,120
1.0,14:28,2.0,10.0,KAN 25,0.0,0.0,Patrick Mahomes pass complete short left to Isiah Pacheco for -4 yards (tackle by Ja'Quan McMillian and D.J. Jones),0.06,-1.15,8.0,2023,120
1.0,13:43,3.0,14.0,KAN 21,0.0,0.0,Patrick Mahomes pass incomplete deep right,-1.15,-1.96,8.0,2023,120
1.0,13:30,4.0,14.0,KAN 21,0.0,0.0,"Tommy Townsend punts 49 yards, returned by Marvin Mims for 31 yards (tackle by Leo Chenal)",-1.96,-2.98,8.0,2023,120
1.0,13:16,1.0,10.0,KAN 39,0.0,0.0,Javonte Williams left tackle for 4 yards (tackle by Trent McDuffie),2.98,2.98,8.0,2023,120
1.0,12:43,2.0,6.0,KAN 35,0.0,0.0,Javonte Williams right tackle for no gain (tackle by Justin Reid),2.98,2.28,8.0,2023,120
1.0,12:05,3.0,6.0,KAN 35,0.0,0.0,Jaleel McLaughlin left end for 9 yards (tackle by Bryan Cook),2.28,3.84,8.0,2023,120
1.0,11:23,1.0,10.0,KAN 26,0.0,0.0,Javonte Williams right tackle for 6 yards (tackle by Drue Tranquill and Willie Gay),3.84,4.11,8.0,2023,120
1.0,10:55,2.0,4.0,KAN 20,0.0,0.0,Javonte Williams left tackle for 3 yards (tackle by Justin Reid and Charles Omenihu),4.11,3.95,8.0,2023,120
1.0,10:18,3.0,1.0,KAN 17,0.0,0.0,Russell Wilson scrambles right end for 2 yards (tackle by Charles Omenihu),3.95,4.58,8.0,2023,120
1.0,9:39,1.0,10.0,KAN 15,0.0,0.0,Russell Wilson scrambles right end for 5 yards (tackle by Matt Dickerson),4.58,4.84,8.0,2023,120
