Quarter,Time,Down,ToGo,Location,CLE,SEA,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Seahawks won the coin toss and deferred, Browns to receive the opening kickoff.",,,8.0,2023,117
1.0,15:00,,,SEA 35,0.0,0.0,"Jason Myers kicks off 60 yards, returned by Pierre Strong for 15 yards (tackle by Jerrick Reed)",0.0,0.28,8.0,2023,117
1.0,14:57,1.0,10.0,CLE 20,0.0,0.0,Kareem Hunt up the middle for 3 yards (tackle by Darrell Taylor and Jordyn Brooks),0.28,0.14,8.0,2023,117
1.0,14:19,2.0,7.0,CLE 23,0.0,0.0,P.J. Walker pass complete short left to Amari Cooper for 5 yards,0.14,0.1,8.0,2023,117
1.0,13:45,3.0,2.0,CLE 28,0.0,0.0,Jerome Ford right end for -1 yards (tackle by Jamal Adams and Boye Mafe),0.1,-1.57,8.0,2023,117
1.0,13:00,4.0,3.0,CLE 27,0.0,0.0,"Corey Bojorquez punts 54 yards, returned by DeeJay Dallas for 11 yards (tackle by Matthew Adams and Tony Fields). Penalty on D'Wayne Eskridge: Illegal Block Above the Waist, 10 yards (accepted)",-1.57,-0.28,8.0,2023,117
1.0,12:48,1.0,10.0,SEA 20,0.0,0.0,Geno Smith pass complete short right to Tyler Lockett for 6 yards (tackle by Denzel Ward),0.28,0.54,8.0,2023,117
1.0,12:20,2.0,4.0,SEA 26,0.0,0.0,Kenneth Walker up the middle for no gain (tackle by Jeremiah Owusu-Koramoah),0.54,-0.16,8.0,2023,117
1.0,11:43,3.0,4.0,SEA 26,0.0,0.0,Geno Smith pass complete short left to Tyler Lockett for 13 yards (tackle by Greg Newsome),-0.16,1.53,8.0,2023,117
1.0,11:05,1.0,10.0,SEA 39,0.0,0.0,Kenneth Walker left guard for 45 yards (tackle by Juan Thornhill),1.53,4.51,8.0,2023,117
1.0,10:16,,,,,,Timeout #1 by Seattle Seahawks,,,8.0,2023,117
1.0,10:16,1.0,10.0,CLE 16,0.0,0.0,Kenneth Walker up the middle for 2 yards (tackle by Rodney McLeod and Grant Delpit),4.51,4.21,8.0,2023,117
1.0,9:40,2.0,8.0,CLE 14,0.0,0.0,Geno Smith pass incomplete short left intended for D.K. Metcalf,4.21,3.37,8.0,2023,117
1.0,9:35,3.0,8.0,CLE 14,0.0,0.0,Geno Smith pass complete short right to Tyler Lockett for 11 yards (tackle by Denzel Ward),3.37,6.51,8.0,2023,117
1.0,8:56,1.0,3.0,CLE 3,0.0,6.0,"Jake Bobo right guard for 3 yards, touchdown",6.51,7.0,8.0,2023,117
1.0,8:53,,,CLE 15,0.0,7.0,Jason Myers kicks extra point good,0.0,0.0,8.0,2023,117
1.0,8:53,,,SEA 35,0.0,7.0,"Jason Myers kicks off 65 yards, touchback.",0.0,0.61,8.0,2023,117
1.0,8:53,1.0,10.0,CLE 25,0.0,7.0,P.J. Walker pass incomplete short right intended for Amari Cooper,0.61,0.06,8.0,2023,117
