Player,Tm,Receiving Tgt,Receiving Rec,Receiving Yds,Receiving TD,Receiving Lng,week,year,game_id
P.J. Walker,CLE,0,0,0,0,0,8.0,2023,117
Dorian Thompson-Robinson,CLE,0,0,0,0,0,8.0,2023,117
Kareem Hunt,CLE,1,1,12,0,12,8.0,2023,117
Pierre Strong,CLE,1,1,41,0,41,8.0,2023,117
Jerome Ford,CLE,2,1,2,0,2,8.0,2023,117
Amari Cooper,CLE,11,6,89,0,24,8.0,2023,117
David Njoku,CLE,8,4,77,1,41,8.0,2023,117
Elijah Moore,CLE,5,2,30,0,21,8.0,2023,117
Jordan Akins,CLE,1,1,6,0,6,8.0,2023,117
Harrison Bryant,CLE,1,0,0,0,0,8.0,2023,117
Marquise Goodwin,CLE,0,0,0,0,0,8.0,2023,117
Geno Smith,SEA,0,0,0,0,0,8.0,2023,117
Kenneth Walker III,SEA,2,1,4,0,4,8.0,2023,117
Zach Charbonnet,SEA,2,2,11,0,7,8.0,2023,117
Jake Bobo,SEA,2,2,23,0,15,8.0,2023,117
Tyler Lockett,SEA,9,8,81,1,17,8.0,2023,117
D.K. Metcalf,SEA,14,5,67,0,43,8.0,2023,117
Jaxon Smith-Njigba,SEA,4,3,36,1,19,8.0,2023,117
Noah Fant,SEA,3,2,32,0,27,8.0,2023,117
D'Wayne Eskridge,SEA,0,0,0,0,0,8.0,2023,117
