Player,Tm,Fumbles Fmb,Fumbles FL,week,year,game_id
Zach Wilson,NYJ,2,2,8.0,2023,115
Breece Hall,NYJ,0,0,8.0,2023,115
Garrett Wilson,NYJ,0,0,8.0,2023,115
Dalvin Cook,NYJ,0,0,8.0,2023,115
Xavier Gipson,NYJ,0,0,8.0,2023,115
Michael Carter,NYJ,0,0,8.0,2023,115
Allen Lazard,NYJ,0,0,8.0,2023,115
C.J. Uzomah,NYJ,0,0,8.0,2023,115
Tyler Conklin,NYJ,0,0,8.0,2023,115
Jeremy Ruckert,NYJ,0,0,8.0,2023,115
Tyrod Taylor,NYG,1,0,8.0,2023,115
Tommy DeVito,NYG,0,0,8.0,2023,115
Saquon Barkley,NYG,0,0,8.0,2023,115
Wan'Dale Robinson,NYG,0,0,8.0,2023,115
Matt Breida,NYG,0,0,8.0,2023,115
Darren Waller,NYG,0,0,8.0,2023,115
Daniel Bellinger,NYG,0,0,8.0,2023,115
Darius Slayton,NYG,0,0,8.0,2023,115
