Unnamed: 0,JAX,PIT,week,year,game_id
First Downs,20,17,8.0,2023,113
Rush-Yds-TDs,30-106-0,18-70-0,8.0,2023,113
Cmp-Att-Yd-TD-INT,24-32-292-1-1,25-43-211-1-2,8.0,2023,113
Sacked-Yards,3-21,3-20,8.0,2023,113
Net Pass Yards,271,191,8.0,2023,113
Total Yards,377,261,8.0,2023,113
Fumbles-Lost,2-2,2-0,8.0,2023,113
Turnovers,3,2,8.0,2023,113
Penalties-Yards,6-72,6-52,8.0,2023,113
Third Down Conv.,6-13,3-12,8.0,2023,113
Fourth Down Conv.,0-0,0-2,8.0,2023,113
Time of Possession,34:16,25:44,8.0,2023,113
