Player,Tm,Tgt,Rec,Yds,TD,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat,week,year,game_id
Travis Kelce,KAN,9,6,58,0,4.0,17,2.8,41,6.8,4.8,0,,1,11.1,1,44.9,8.0,2023,120
Rashee Rice,KAN,5,4,56,0,1.0,2,0.5,54,13.5,3.4,0,,1,20.0,0,113.3,8.0,2023,120
Isiah Pacheco,KAN,4,3,-3,0,0.0,-10,-3.3,7,2.3,-1.8,0,,0,0.0,0,77.1,8.0,2023,120
Noah Gray,KAN,3,2,25,0,1.0,23,11.5,2,1.0,8.3,0,,0,0.0,0,92.4,8.0,2023,120
Mecole Hardman,KAN,2,2,13,0,1.0,-10,-5.0,23,11.5,-5.0,0,,0,0.0,0,93.7,8.0,2023,120
Justin Watson,KAN,3,2,42,0,2.0,38,19.0,4,2.0,23.3,0,,0,0.0,0,109.7,8.0,2023,120
Marquez Valdes-Scantling,KAN,4,2,27,0,1.0,17,8.5,10,5.0,18.0,0,,0,0.0,1,32.3,8.0,2023,120
Skyy Moore,KAN,3,1,8,0,1.0,3,3.0,5,5.0,14.3,0,,1,33.3,0,42.4,8.0,2023,120
Kadarius Toney,KAN,1,1,4,0,,4,4.0,0,0.0,4.0,0,,0,0.0,0,83.3,8.0,2023,120
Jerick McKinnon,KAN,2,1,10,0,1.0,3,3.0,7,7.0,2.0,0,,1,50.0,0,64.6,8.0,2023,120
Blake Bell,KAN,1,0,0,0,,0,,0,,-2.0,0,,1,100.0,0,39.6,8.0,2023,120
Javonte Williams,DEN,3,3,13,1,2.0,-16,-5.3,29,9.7,-5.3,2,1.5,0,0.0,0,124.3,8.0,2023,120
Samaje Perine,DEN,3,2,16,0,1.0,-4,-2.0,20,10.0,-1.7,1,2.0,1,33.3,0,79.9,8.0,2023,120
Courtland Sutton,DEN,3,2,29,1,2.0,29,14.5,0,0.0,11.0,0,,0,0.0,0,137.5,8.0,2023,120
Jaleel McLaughlin,DEN,2,2,6,0,0.0,-12,-6.0,18,9.0,-6.0,2,1.0,0,0.0,0,79.2,8.0,2023,120
Jerry Jeudy,DEN,6,2,50,1,2.0,48,24.0,2,1.0,21.0,0,,0,0.0,0,104.2,8.0,2023,120
Marvin Mims,DEN,1,1,0,0,,-3,-3.0,3,3.0,-3.0,0,,0,0.0,0,79.2,8.0,2023,120
