Unnamed: 0,KAN,DEN,week,year,game_id
First Downs,18,19,8.0,2023,120
Rush-Yds-TDs,16-62-0,40-153-0,8.0,2023,120
Cmp-Att-Yd-TD-INT,24-38-240-0-2,12-19-114-3-0,8.0,2023,120
Sacked-Yards,3-28,6-27,8.0,2023,120
Net Pass Yards,212,87,8.0,2023,120
Total Yards,274,240,8.0,2023,120
Fumbles-Lost,3-3,2-1,8.0,2023,120
Turnovers,5,1,8.0,2023,120
Penalties-Yards,5-38,6-35,8.0,2023,120
Third Down Conv.,3-10,6-14,8.0,2023,120
Fourth Down Conv.,1-3,0-1,8.0,2023,120
Time of Possession,26:13,33:47,8.0,2023,120
