Unnamed: 0,BAL,ARI,week,year,game_id
First Downs,21,22,8.0,2023,119
Rush-Yds-TDs,29-130-3,32-129-1,8.0,2023,119
Cmp-Att-Yd-TD-INT,18-27-157-1-0,25-37-208-2-2,8.0,2023,119
Sacked-Yards,4-19,2-27,8.0,2023,119
Net Pass Yards,138,181,8.0,2023,119
Total Yards,268,310,8.0,2023,119
Fumbles-Lost,1-0,1-0,8.0,2023,119
Turnovers,0,2,8.0,2023,119
Penalties-Yards,6-45,6-70,8.0,2023,119
Third Down Conv.,4-11,5-12,8.0,2023,119
Fourth Down Conv.,0-0,0-2,8.0,2023,119
Time of Possession,29:39,30:21,8.0,2023,119
