Quarter,Time,Down,ToGo,Location,CHI,LAC,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Chargers won the coin toss and deferred, Bears to receive the opening kickoff.",,,8.0,2023,121
1.0,15:00,,,LAC 35,0.0,0.0,"Cameron Dicker kicks off 68 yards, returned by Velus Jones for 24 yards (tackle by Daiyan Henley and Dean Marlowe)",0.0,0.34,8.0,2023,121
1.0,14:39,1.0,10.0,CHI 21,0.0,0.0,"Tyson Bagent pass complete deep right to Darnell Mooney for 41 yards (tackle by Asante Samuel). Penalty on Asante Samuel: Defensive Pass Interference, 15 yards (declined)",0.34,3.05,8.0,2023,121
1.0,14:39,1.0,10.0,LAC 38,0.0,0.0,D'Onta Foreman up the middle for 1 yard (tackle by Kenneth Murray),3.05,2.64,8.0,2023,121
1.0,14:12,2.0,9.0,LAC 37,0.0,0.0,Trent Taylor left end for -2 yards (tackle by Khalil Mack),2.64,1.68,8.0,2023,121
1.0,13:28,3.0,11.0,LAC 39,0.0,0.0,Tyson Bagent sacked by Joey Bosa for -10 yards,1.68,0.0,8.0,2023,121
1.0,12:51,4.0,21.0,LAC 49,0.0,0.0,"Trenton Gill punts 41 yards, fair catch by Derius Davis at LAC-8. Penalty on Daiyan Henley: Running Into the Kicker, 5 yards (declined)",0.0,0.38,8.0,2023,121
1.0,12:44,1.0,10.0,LAC 8,0.0,0.0,Justin Herbert scrambles up the middle for 1 yard (tackle by Jaylon Johnson),-0.38,-0.71,8.0,2023,121
1.0,12:11,2.0,9.0,LAC 9,0.0,0.0,Justin Herbert pass complete short left to Keenan Allen for 4 yards (tackle by Tyrique Stevenson),-0.71,-0.84,8.0,2023,121
1.0,11:32,3.0,5.0,LAC 13,0.0,0.0,Justin Herbert pass complete short middle to Keenan Allen for 6 yards (tackle by Elijah Hicks),-0.84,0.15,8.0,2023,121
1.0,10:57,1.0,10.0,LAC 19,0.0,0.0,Joshua Kelley right tackle for 5 yards (tackle by T.J. Edwards),0.15,0.34,8.0,2023,121
1.0,10:23,2.0,5.0,LAC 24,0.0,0.0,Justin Herbert pass complete short right to Keenan Allen for 8 yards (tackle by Tyrique Stevenson),0.34,1.07,8.0,2023,121
1.0,9:50,1.0,10.0,LAC 32,0.0,0.0,Justin Herbert pass complete short middle to Austin Ekeler for 13 yards (tackle by Khalid Kareem),1.07,1.93,8.0,2023,121
1.0,9:07,1.0,10.0,LAC 45,0.0,0.0,Austin Ekeler right guard for 5 yards (tackle by Kyler Gordon),1.93,2.06,8.0,2023,121
1.0,8:33,2.0,5.0,CHI 50,0.0,0.0,Justin Herbert pass complete short left to Donald Parham for 7 yards (tackle by Elijah Hicks),2.06,2.72,8.0,2023,121
1.0,7:54,1.0,10.0,CHI 43,0.0,0.0,Joshua Kelley left tackle for 4 yards (tackle by Zacch Pickens),2.72,2.72,8.0,2023,121
1.0,7:19,2.0,6.0,CHI 39,0.0,6.0,"Justin Herbert pass complete short left to Austin Ekeler for 39 yards, touchdown",2.72,7.0,8.0,2023,121
1.0,7:08,,,CHI 15,0.0,7.0,Cameron Dicker kicks extra point good,0.0,0.0,8.0,2023,121
1.0,7:08,,,LAC 35,0.0,7.0,"Cameron Dicker kicks off 65 yards, touchback.",0.0,0.61,8.0,2023,121
1.0,7:08,1.0,10.0,CHI 25,0.0,7.0,Tyson Bagent pass complete short right to Velus Jones for 4 yards (tackle by Michael Davis),0.61,0.6,8.0,2023,121
1.0,6:24,2.0,6.0,CHI 29,0.0,7.0,"D'Onta Foreman right end for 18 yards (tackle by Derwin James). Penalty on Lucas Patrick: Illegal Use of Hands / Offense, 10 yards (accepted) (no play)",0.6,-0.81,8.0,2023,121
1.0,6:08,2.0,16.0,CHI 19,0.0,7.0,"Tyson Bagent pass incomplete short right intended for Khari Blasingame. Penalty on Lucas Patrick: Offensive Holding, 10 yards (declined)",-0.81,-1.51,8.0,2023,121
1.0,6:01,3.0,16.0,CHI 19,0.0,7.0,Tyson Bagent pass complete short left to Cole Kmet for 13 yards,-1.51,-1.24,8.0,2023,121
1.0,5:16,4.0,3.0,CHI 32,0.0,7.0,"Trenton Gill punts 38 yards, fair catch by Derius Davis at LAC-30. Penalty on Velus Jones: Fair Catch Interference, 15 yards (accepted)",-1.24,-1.93,8.0,2023,121
1.0,5:01,1.0,10.0,LAC 45,0.0,7.0,Justin Herbert pass complete short right to Josh Palmer for 9 yards (tackle by Tyrique Stevenson),1.93,2.6,8.0,2023,121
