Quarter,Time,Down,ToGo,Location,NOR,IND,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Colts won the coin toss, Colts to receive the opening kickoff.",,,8.0,2023,112
1.0,15:00,,,NOR 35,0.0,0.0,"Blake Grupe kicks off 65 yards, touchback.",0.0,0.61,8.0,2023,112
1.0,15:00,1.0,10.0,IND 25,0.0,0.0,Jonathan Taylor right end for 4 yards (tackle by Demario Davis),0.61,0.6,8.0,2023,112
1.0,14:26,2.0,6.0,IND 29,0.0,0.0,Gardner Minshew pass incomplete short right intended for Michael Pittman (defended by Paulson Adebo),0.6,-0.1,8.0,2023,112
1.0,14:21,3.0,6.0,IND 29,0.0,0.0,Gardner Minshew pass complete short left to Michael Pittman for 2 yards (tackle by Paulson Adebo),-0.1,-1.31,8.0,2023,112
1.0,13:31,4.0,4.0,IND 31,0.0,0.0,"Rigoberto Sanchez punts 52 yards, returned by Rashid Shaheed for 8 yards (tackle by Trevor Denbow and Andrew Ogletree)",-1.31,-0.61,8.0,2023,112
1.0,13:19,1.0,10.0,NOR 25,0.0,0.0,Alvin Kamara left tackle for no gain (tackle by Samson Ebukam and DeForest Buckner),0.61,0.06,8.0,2023,112
1.0,12:54,2.0,10.0,NOR 25,0.0,0.0,Derek Carr pass complete short left to Michael Thomas for 17 yards (tackle by Tony Brown),0.06,1.73,8.0,2023,112
1.0,12:28,1.0,10.0,NOR 42,0.0,0.0,Derek Carr pass complete short middle to Alvin Kamara for 3 yards (tackle by Zaire Franklin),1.73,1.59,8.0,2023,112
1.0,11:55,2.0,7.0,NOR 45,0.0,0.0,Alvin Kamara left guard for 3 yards (tackle by Shaquille Leonard and Kenny Moore),1.59,1.29,8.0,2023,112
1.0,11:25,3.0,4.0,NOR 48,0.0,0.0,Derek Carr pass incomplete short left intended for Michael Thomas,1.29,-0.19,8.0,2023,112
1.0,11:22,4.0,4.0,NOR 48,0.0,0.0,"Lou Hedley punts 33 yards, fair catch by Isaiah McKenzie at IND-19",-0.19,-0.15,8.0,2023,112
1.0,11:15,1.0,10.0,IND 19,0.0,0.0,Jonathan Taylor up the middle for 6 yards (tackle by Jordan Howden),0.15,0.48,8.0,2023,112
1.0,10:40,2.0,4.0,IND 25,0.0,0.0,Jonathan Taylor up the middle for 14 yards (tackle by Demario Davis and Tyrann Mathieu),0.48,1.53,8.0,2023,112
1.0,10:08,1.0,10.0,IND 39,0.0,0.0,Jonathan Taylor left tackle for 42 yards (tackle by Jordan Howden and Demario Davis),1.53,4.31,8.0,2023,112
1.0,9:31,1.0,10.0,NOR 19,0.0,0.0,Zack Moss left tackle for 1 yard (tackle by Jordan Howden and Tanoh Kpassagnon),4.31,3.88,8.0,2023,112
1.0,8:52,2.0,9.0,NOR 18,0.0,0.0,Gardner Minshew pass complete short left to Michael Pittman for 1 yard (tackle by Marshon Lattimore and Malcolm Roach),3.88,3.26,8.0,2023,112
1.0,8:11,3.0,8.0,NOR 17,0.0,0.0,Gardner Minshew pass complete short left to Michael Pittman for 7 yards (tackle by Carl Granderson),3.26,2.91,8.0,2023,112
1.0,7:21,4.0,1.0,NOR 10,0.0,0.0,"Penalty on IND: Delay of Game, 5 yards (accepted) (no play)",2.91,2.47,8.0,2023,112
1.0,7:02,4.0,6.0,NOR 15,0.0,0.0,"Penalty on Bryan Bresee: Illegal Formation, 5 yards (accepted) (no play)",2.47,2.91,8.0,2023,112
1.0,7:02,4.0,1.0,NOR 10,0.0,6.0,"Gardner Minshew pass complete short right to Michael Pittman for 10 yards, touchdown",2.91,7.0,8.0,2023,112
1.0,6:56,,,NOR 15,0.0,7.0,Matt Gay kicks extra point good,0.0,0.0,8.0,2023,112
1.0,6:56,,,IND 35,0.0,7.0,"Matt Gay kicks off 65 yards, touchback.",0.0,0.61,8.0,2023,112
1.0,6:56,1.0,10.0,NOR 25,0.0,7.0,Alvin Kamara right guard for 4 yards (tackle by Tony Brown),0.61,0.6,8.0,2023,112
1.0,6:25,2.0,6.0,NOR 29,0.0,7.0,Derek Carr pass incomplete deep middle intended for Chris Olave,0.6,-0.1,8.0,2023,112
1.0,6:17,3.0,6.0,NOR 29,0.0,7.0,Derek Carr pass complete deep middle to Michael Thomas for 31 yards (tackle by E.J. Speed and Tony Brown),-0.1,2.92,8.0,2023,112
1.0,5:37,1.0,10.0,IND 40,0.0,7.0,Jamaal Williams up the middle for no gain (tackle by Zaire Franklin and Taven Bryan),2.92,2.37,8.0,2023,112
1.0,5:04,2.0,10.0,IND 40,0.0,7.0,Derek Carr pass complete short left to Kendre Miller for 9 yards (tackle by Shaquille Leonard),2.37,2.87,8.0,2023,112
1.0,4:12,3.0,1.0,IND 31,0.0,7.0,Taysom Hill left tackle for 13 yards (tackle by Rodney Thomas),2.87,4.37,8.0,2023,112
1.0,3:50,1.0,10.0,IND 18,6.0,7.0,"Derek Carr pass complete short middle to Alvin Kamara for 18 yards, touchdown",4.37,7.0,8.0,2023,112
1.0,3:44,,,IND 15,7.0,7.0,Blake Grupe kicks extra point good,0.0,0.0,8.0,2023,112
1.0,3:44,,,NOR 35,7.0,7.0,"Blake Grupe kicks off 65 yards, touchback.",0.0,0.61,8.0,2023,112
1.0,3:44,1.0,10.0,IND 25,7.0,7.0,Gardner Minshew pass complete short middle to Michael Pittman for 3 yards (tackle by Paulson Adebo),0.61,0.47,8.0,2023,112
1.0,3:03,2.0,7.0,IND 28,7.0,7.0,Gardner Minshew pass complete short middle to Josh Downs for 12 yards (tackle by Pete Werner),0.47,1.6,8.0,2023,112
1.0,2:25,1.0,10.0,IND 40,7.0,7.0,"Gardner Minshew pass incomplete intended for Alec Pierce. Penalty on Marshon Lattimore: Defensive Pass Interference, 28 yards (accepted) . Penalty on Marshon Lattimore: Defensive Holding, 5 yards (declined) (no play)",1.6,3.45,8.0,2023,112
1.0,2:18,1.0,10.0,NOR 32,7.0,7.0,Jonathan Taylor left end for 3 yards (tackle by Bryan Bresee and Demario Davis),3.45,3.31,8.0,2023,112
1.0,1:35,2.0,7.0,NOR 29,7.0,7.0,Gardner Minshew pass complete short right to Josh Downs for 5 yards (tackle by Demario Davis),3.31,3.27,8.0,2023,112
1.0,0:54,3.0,2.0,NOR 24,7.0,7.0,Jonathan Taylor left end for 13 yards (tackle by Jordan Howden),3.27,4.84,8.0,2023,112
1.0,0:28,1.0,10.0,NOR 11,7.0,7.0,Gardner Minshew pass complete short left to Michael Pittman for 9 yards (tackle by Marshon Lattimore),4.84,5.85,8.0,2023,112
1.0,0:04,2.0,1.0,NOR 2,7.0,7.0,Jonathan Taylor up the middle for no gain (tackle by Malcolm Roach and Jordan Howden),5.85,5.12,8.0,2023,112
2.0,15:00,3.0,1.0,NOR 2,7.0,7.0,Gardner Minshew pass incomplete short right,5.12,3.25,8.0,2023,112
2.0,14:52,4.0,1.0,NOR 2,7.0,10.0,Matt Gay 20 yard field goal good,3.25,3.0,8.0,2023,112
2.0,14:49,,,IND 35,7.0,10.0,"Matt Gay kicks off 65 yards, touchback.",0.0,0.61,8.0,2023,112
2.0,14:49,1.0,10.0,NOR 25,7.0,10.0,Derek Carr pass incomplete short left intended for Alvin Kamara,0.61,0.06,8.0,2023,112
2.0,14:46,2.0,10.0,NOR 25,7.0,10.0,Alvin Kamara right tackle for 4 yards (tackle by Shaquille Leonard),0.06,-0.1,8.0,2023,112
