Unnamed: 0,LVR,DET,week,year,game_id
First Downs,12,29,8.0,2023,122
Rush-Yds-TDs,18-80-1,43-222-1,8.0,2023,122
Cmp-Att-Yd-TD-INT,10-21-126-0-1,26-37-272-1-1,8.0,2023,122
Sacked-Yards,6-49,1-8,8.0,2023,122
Net Pass Yards,77,264,8.0,2023,122
Total Yards,157,486,8.0,2023,122
Fumbles-Lost,1-0,2-2,8.0,2023,122
Turnovers,1,3,8.0,2023,122
Penalties-Yards,4-40,5-55,8.0,2023,122
Third Down Conv.,1-9,6-14,8.0,2023,122
Fourth Down Conv.,0-3,1-1,8.0,2023,122
Time of Possession,20:27,39:33,8.0,2023,122
