Unnamed: 0,CIN,SFO,week,year,game_id
First Downs,29,24,8.0,2023,118
Rush-Yds-TDs,27-134-1,23-113-1,8.0,2023,118
Cmp-Att-Yd-TD-INT,28-32-283-3-0,22-31-365-1-2,8.0,2023,118
Sacked-Yards,3-17,2-18,8.0,2023,118
Net Pass Yards,266,347,8.0,2023,118
Total Yards,400,460,8.0,2023,118
Fumbles-Lost,2-1,1-1,8.0,2023,118
Turnovers,1,3,8.0,2023,118
Penalties-Yards,1-15,5-54,8.0,2023,118
Third Down Conv.,3-8,5-9,8.0,2023,118
Fourth Down Conv.,0-0,0-0,8.0,2023,118
Time of Possession,31:23,28:37,8.0,2023,118
