Unnamed: 0,CHI,LAC,week,year,game_id
First Downs,17,20,8.0,2023,121
Rush-Yds-TDs,25-73-2,25-54-0,8.0,2023,121
Cmp-Att-Yd-TD-INT,25-37-232-0-2,31-40-298-3-0,8.0,2023,121
Sacked-Yards,1-10,0-0,8.0,2023,121
Net Pass Yards,222,298,8.0,2023,121
Total Yards,295,352,8.0,2023,121
Fumbles-Lost,1-0,1-1,8.0,2023,121
Turnovers,2,1,8.0,2023,121
Penalties-Yards,7-53,2-15,8.0,2023,121
Third Down Conv.,6-14,7-13,8.0,2023,121
Fourth Down Conv.,1-4,0-1,8.0,2023,121
Time of Possession,28:32,31:28,8.0,2023,121
