Quarter,Time,Down,ToGo,Location,JAX,PIT,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Jaguars won the coin toss and deferred, Steelers to receive the opening kickoff.",,,8.0,2023,113
1.0,15:00,,,JAX 35,0.0,0.0,"Brandon McManus kicks off 58 yards,",0.0,0.61,8.0,2023,113
1.0,15:00,1.0,10.0,PIT 25,0.0,0.0,Kenny Pickett pass incomplete deep middle intended for Diontae Johnson,0.61,0.06,8.0,2023,113
1.0,14:56,2.0,10.0,PIT 25,0.0,0.0,Kenny Pickett sacked by Travon Walker for -5 yards,0.06,-1.29,8.0,2023,113
1.0,14:18,3.0,15.0,PIT 20,0.0,0.0,"Kenny Pickett pass incomplete deep right intended for Diontae Johnson (defended by Darious Williams). Penalty on Chukwuma Okorafor: Offensive Holding, 10 yards (declined)",-1.29,-2.03,8.0,2023,113
1.0,14:10,4.0,15.0,PIT 20,0.0,0.0,Pressley Harvin punts 33 yards out of bounds,-2.03,-2.06,8.0,2023,113
1.0,14:03,1.0,10.0,JAX 47,0.0,0.0,Trevor Lawrence pass incomplete short right intended for Calvin Ridley,2.06,1.52,8.0,2023,113
1.0,13:59,2.0,10.0,JAX 47,0.0,0.0,Travis Etienne right guard for 3 yards (tackle by Larry Ogunjobi),1.52,1.22,8.0,2023,113
1.0,13:21,3.0,7.0,JAX 50,0.0,0.0,"Trevor Lawrence pass incomplete deep middle intended for Calvin Ridley. Penalty on James Pierre: Defensive Pass Interference, 17 yards (accepted) (no play)",1.22,3.38,8.0,2023,113
1.0,13:16,1.0,10.0,PIT 33,0.0,0.0,Travis Etienne right end for 7 yards (tackle by Minkah Fitzpatrick),3.38,3.78,8.0,2023,113
1.0,12:36,2.0,3.0,PIT 26,0.0,0.0,Travis Etienne left guard for -3 yards (tackle by Montravius Adams),3.78,2.68,8.0,2023,113
1.0,11:57,3.0,6.0,PIT 29,0.0,0.0,"Trevor Lawrence pass complete short middle to Evan Engram for no gain (tackle by James Pierre). Penalty on Evan Engram: Offensive Facemask, 15 yards (accepted) (no play)",2.68,0.7,8.0,2023,113
1.0,11:28,3.0,21.0,PIT 44,0.0,0.0,Trevor Lawrence pass complete short middle to Evan Engram for 12 yards (tackle by Minkah Fitzpatrick and Cole Holcomb),0.7,1.24,8.0,2023,113
1.0,10:51,4.0,9.0,PIT 32,3.0,0.0,Brandon McManus 50 yard field goal good,1.24,3.0,8.0,2023,113
1.0,10:47,,,JAX 35,3.0,0.0,"Brandon McManus kicks off 65 yards, touchback.",0.0,0.61,8.0,2023,113
1.0,10:47,1.0,10.0,PIT 25,3.0,0.0,Najee Harris left tackle for 1 yard (tackle by Foyesade Oluokun and Josh Allen),0.61,0.2,8.0,2023,113
1.0,10:14,2.0,9.0,PIT 26,3.0,0.0,Najee Harris left guard for 3 yards (tackle by Josh Allen and Roy Robertson-Harris),0.2,-0.1,8.0,2023,113
