Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br,week,year,game_id
Kareem Hunt,CLE,14,55,1,4.0,24,1.7,31,2.2,0,,8.0,2023,117
Pierre Strong,CLE,10,41,0,2.0,25,2.5,16,1.6,0,,8.0,2023,117
Jerome Ford,CLE,9,37,0,1.0,15,1.7,22,2.4,0,,8.0,2023,117
P.J. Walker,CLE,6,27,0,2.0,19,3.2,8,1.3,0,,8.0,2023,117
Marquise Goodwin,CLE,1,-5,0,,-5,-5.0,0,0.0,0,,8.0,2023,117
Kenneth Walker III,SEA,8,66,0,1.0,50,6.3,16,2.0,0,,8.0,2023,117
Zach Charbonnet,SEA,5,53,0,3.0,25,5.0,28,5.6,1,5.0,8.0,2023,117
Geno Smith,SEA,2,-3,0,0.0,-3,-1.5,0,0.0,0,,8.0,2023,117
Jake Bobo,SEA,1,3,1,1.0,1,1.0,2,2.0,0,,8.0,2023,117
D'Wayne Eskridge,SEA,1,-5,0,,-5,-5.0,0,0.0,0,,8.0,2023,117
