Player,Pos,Off. Num,Off. Pct,Def. Num,Def. Pct,ST Num,ST Pct,home_team,team,week,year,game_id
O'Cyrus Torrence,G,69,100%,0,0%,4,15%,1,Bills,8.0,2023,107
Connor McGovern,G,69,100%,0,0%,4,15%,1,Bills,8.0,2023,107
Spencer Brown,T,69,100%,0,0%,4,15%,1,Bills,8.0,2023,107
Dion Dawkins,T,69,100%,0,0%,4,15%,1,Bills,8.0,2023,107
Josh Allen,QB,69,100%,0,0%,0,0%,1,Bills,8.0,2023,107
Mitch Morse,C,69,100%,0,0%,0,0%,1,Bills,8.0,2023,107
Stefon Diggs,WR,68,99%,0,0%,1,4%,1,Bills,8.0,2023,107
Gabriel Davis,WR,68,99%,0,0%,0,0%,1,Bills,8.0,2023,107
Dalton Kincaid,TE,58,84%,0,0%,1,4%,1,Bills,8.0,2023,107
James Cook,RB,46,67%,0,0%,0,0%,1,Bills,8.0,2023,107
Khalil Shakir,WR,45,65%,0,0%,5,19%,1,Bills,8.0,2023,107
Latavius Murray,RB,23,33%,0,0%,0,0%,1,Bills,8.0,2023,107
Trent Sherfield,WR,22,32%,0,0%,11,42%,1,Bills,8.0,2023,107
David Edwards,G,7,10%,0,0%,4,15%,1,Bills,8.0,2023,107
Deonte Harty,WR,6,9%,0,0%,6,23%,1,Bills,8.0,2023,107
Reggie Gilliam,FB,2,3%,0,0%,22,85%,1,Bills,8.0,2023,107
Micah Hyde,FS,0,0%,68,100%,4,15%,1,Bills,8.0,2023,107
Jordan Poyer,SS,0,0%,68,100%,4,15%,1,Bills,8.0,2023,107
Terrel Bernard,LB,0,0%,68,100%,4,15%,1,Bills,8.0,2023,107
Dane Jackson,CB,0,0%,68,100%,0,0%,1,Bills,8.0,2023,107
Taron Johnson,CB,0,0%,68,100%,0,0%,1,Bills,8.0,2023,107
Christian Benford,CB,0,0%,68,100%,0,0%,1,Bills,8.0,2023,107
Tyrel Dodson,LB,0,0%,42,62%,7,27%,1,Bills,8.0,2023,107
Leonard Floyd,DE,0,0%,42,62%,0,0%,1,Bills,8.0,2023,107
Gregory Rousseau,DE,0,0%,40,59%,3,12%,1,Bills,8.0,2023,107
Ed Oliver,DT,0,0%,35,51%,0,0%,1,Bills,8.0,2023,107
Jordan Phillips,DT,0,0%,33,49%,0,0%,1,Bills,8.0,2023,107
Tim Settle,DT,0,0%,28,41%,3,12%,1,Bills,8.0,2023,107
Von Miller,LB,0,0%,27,40%,0,0%,1,Bills,8.0,2023,107
Taylor Rapp,SS,0,0%,26,38%,18,69%,1,Bills,8.0,2023,107
Poona Ford,DE,0,0%,26,38%,3,12%,1,Bills,8.0,2023,107
A.J. Epenesa,DE,0,0%,21,31%,0,0%,1,Bills,8.0,2023,107
Shaq Lawson,DE,0,0%,17,25%,3,12%,1,Bills,8.0,2023,107
Kingsley Jonathan,DE,0,0%,3,4%,18,69%,1,Bills,8.0,2023,107
Tyler Matakevich,LB,0,0%,0,0%,22,85%,1,Bills,8.0,2023,107
Cameron Lewis,CB,0,0%,0,0%,21,81%,1,Bills,8.0,2023,107
Siran Neal,CB,0,0%,0,0%,21,81%,1,Bills,8.0,2023,107
Dorian Williams,LB,0,0%,0,0%,18,69%,1,Bills,8.0,2023,107
A.J. Klein,LB,0,0%,0,0%,14,54%,1,Bills,8.0,2023,107
Ty Johnson,RB,0,0%,0,0%,10,38%,1,Bills,8.0,2023,107
Andy Isabella,WR,0,0%,0,0%,9,35%,1,Bills,8.0,2023,107
Tyler Bass,K,0,0%,0,0%,9,35%,1,Bills,8.0,2023,107
Sam Martin,P,0,0%,0,0%,8,31%,1,Bills,8.0,2023,107
Reid Ferguson,LS,0,0%,0,0%,8,31%,1,Bills,8.0,2023,107
Josh Norman,CB,0,0%,0,0%,5,19%,1,Bills,8.0,2023,107
Ryan Bates,C,0,0%,0,0%,4,15%,1,Bills,8.0,2023,107
Ryan Van Demark,T,0,0%,0,0%,4,15%,1,Bills,8.0,2023,107
