Quarter,Time,Tm,Detail,TAM,BUF,week,year,game_id
1.0,8:04,Bills,Tyler Bass 37 yard field goal,0,3,8.0,2023,107
2.0,11:03,Bills,Josh Allen 13 yard rush (Tyler Bass kick),0,10,8.0,2023,107
,7:40,Buccaneers,Chase McLaughlin 57 yard field goal,3,10,8.0,2023,107
,6:46,Buccaneers,Chris Godwin 3 yard pass from Baker Mayfield (Chase McLaughlin kick),10,10,8.0,2023,107
,2:40,Bills,Dalton Kincaid 22 yard pass from Josh Allen (Tyler Bass kick),10,17,8.0,2023,107
3.0,10:40,Bills,Gabriel Davis 4 yard pass from Josh Allen (Tyler Bass kick),10,24,8.0,2023,107
4.0,2:40,Buccaneers,Mike Evans 24 yard pass from Baker Mayfield (Cade Otton pass from Baker Mayfield),18,24,8.0,2023,107
