Unnamed: 0,NWE,MIA,week,year,game_id
First Downs,13,24,8.0,2023,114
Rush-Yds-TDs,19-77-0,26-78-1,8.0,2023,114
Cmp-Att-Yd-TD-INT,19-29-161-2-1,30-45-324-3-1,8.0,2023,114
Sacked-Yards,3-20,2-12,8.0,2023,114
Net Pass Yards,141,312,8.0,2023,114
Total Yards,218,390,8.0,2023,114
Fumbles-Lost,0-0,1-1,8.0,2023,114
Turnovers,1,2,8.0,2023,114
Penalties-Yards,7-45,3-25,8.0,2023,114
Third Down Conv.,1-9,5-14,8.0,2023,114
Fourth Down Conv.,1-2,3-3,8.0,2023,114
Time of Possession,24:05,35:55,8.0,2023,114
