Unnamed: 0,MIN,GNB,week,year,game_id
First Downs,24,16,8.0,2023,110
Rush-Yds-TDs,31-62-1,17-74-0,8.0,2023,110
Cmp-Att-Yd-TD-INT,26-35-297-2-0,24-41-229-1-1,8.0,2023,110
Sacked-Yards,3-13,4-33,8.0,2023,110
Net Pass Yards,284,196,8.0,2023,110
Total Yards,346,270,8.0,2023,110
Fumbles-Lost,1-1,2-0,8.0,2023,110
Turnovers,1,1,8.0,2023,110
Penalties-Yards,7-35,11-99,8.0,2023,110
Third Down Conv.,10-18,5-14,8.0,2023,110
Fourth Down Conv.,1-1,1-4,8.0,2023,110
Time of Possession,36:22,23:38,8.0,2023,110
