#,Quarter,Time,LOS,Plays,Length,Net Yds,Result,home_team,team,week,year,game_id
1,1,12:49,CIN 15,10,4:38,85,Touchdown,0,Bengals,8.0,2023,118
2,1,3:19,CIN 42,6,3:19,58,Touchdown,0,Bengals,8.0,2023,118
3,2,13:30,CIN 20,11,6:27,48,Missed FG,0,Bengals,8.0,2023,118
4,2,2:44,CIN 25,9,2:13,71,Fumble,0,Bengals,8.0,2023,118
5,3,15:00,CIN 25,7,3:51,37,Field Goal,0,Bengals,8.0,2023,118
6,3,8:22,CIN 19,3,2:13,8,Punt,0,Bengals,8.0,2023,118
7,3,0:04,CIN 19,4,1:47,36,Punt,0,Bengals,8.0,2023,118
8,4,13:08,SFO 17,1,0:04,17,Touchdown,0,Bengals,8.0,2023,118
9,4,8:12,CIN 22,10,5:18,78,Touchdown,0,Bengals,8.0,2023,118
10,4,1:45,CIN 38,3,1:33,-4,Punt,0,Bengals,8.0,2023,118
