Unnamed: 0,CLE,SEA,week,year,game_id
First Downs,23,17,8.0,2023,117
Rush-Yds-TDs,40-155-1,17-114-1,8.0,2023,117
Cmp-Att-Yd-TD-INT,16-32-257-1-2,23-37-254-2-2,8.0,2023,117
Sacked-Yards,3-27,1-6,8.0,2023,117
Net Pass Yards,230,248,8.0,2023,117
Total Yards,385,362,8.0,2023,117
Fumbles-Lost,1-1,1-0,8.0,2023,117
Turnovers,3,2,8.0,2023,117
Penalties-Yards,4-25,7-43,8.0,2023,117
Third Down Conv.,6-15,4-12,8.0,2023,117
Fourth Down Conv.,0-1,1-1,8.0,2023,117
Time of Possession,36:40,23:20,8.0,2023,117
