Quarter,Time,Tm,Detail,HOU,CAR,week,year,game_id
2.0,13:13,Texans,Andrew Beck 1 yard rush (Ka'imi Fairbairn kick),7,0,8.0,2023,108
,1:35,Panthers,Tommy Tremble 1 yard pass from Bryce Young (Eddy Piñeiro kick failed),7,6,8.0,2023,108
3.0,10:46,Panthers,Eddy Piñeiro 46 yard field goal,7,9,8.0,2023,108
,7:58,Panthers,Eddy Piñeiro 37 yard field goal,7,12,8.0,2023,108
,0:35,Texans,C.J. Stroud 1 yard rush (pass failed),13,12,8.0,2023,108
4.0,0:00,Panthers,Eddy Piñeiro 23 yard field goal,13,15,8.0,2023,108
