Quarter,Time,Down,ToGo,Location,LVR,DET,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Raiders won the coin toss and deferred, Lions to receive the opening kickoff.",,,8.0,2023,122
1.0,15:00,,,LVR 35,0.0,0.0,"Daniel Carlson kicks off 63 yards, returned by Khalil Dorsey for 18 yards (tackle by DJ Turner)",0.0,0.28,8.0,2023,122
1.0,14:56,1.0,10.0,DET 20,0.0,0.0,Jahmyr Gibbs up the middle for 6 yards (tackle by John Jenkins and Nate Hobbs),0.28,0.54,8.0,2023,122
1.0,14:23,2.0,4.0,DET 26,0.0,0.0,Jahmyr Gibbs up the middle for 1 yard (tackle by Robert Spillane and Bilal Nichols),0.54,-0.03,8.0,2023,122
1.0,13:39,3.0,3.0,DET 27,0.0,0.0,Jared Goff pass complete short right to Sam LaPorta for 6 yards (tackle by Tre'von Moehrig),-0.03,1.14,8.0,2023,122
1.0,13:07,1.0,10.0,DET 33,0.0,0.0,Jahmyr Gibbs left tackle for 4 yards (tackle by Bilal Nichols and Maxx Crosby),1.14,1.13,8.0,2023,122
1.0,12:33,2.0,6.0,DET 37,0.0,0.0,Jared Goff pass complete short right to Jahmyr Gibbs for 6 yards (tackle by Tyree Wilson),1.13,1.8,8.0,2023,122
1.0,11:56,1.0,10.0,DET 43,0.0,0.0,Jared Goff pass incomplete short middle,1.8,1.25,8.0,2023,122
1.0,11:53,2.0,10.0,DET 43,0.0,0.0,Jared Goff pass complete short right to Jahmyr Gibbs for 6 yards (tackle by Robert Spillane and Marcus Peters),1.25,1.35,8.0,2023,122
1.0,11:11,3.0,4.0,DET 49,0.0,0.0,Jared Goff pass complete short left to Jahmyr Gibbs for 8 yards (tackle by Tre'von Moehrig),1.35,2.72,8.0,2023,122
1.0,10:34,1.0,10.0,LVR 43,0.0,0.0,Jahmyr Gibbs right tackle for 4 yards (tackle by Malcolm Koonce),2.72,2.72,8.0,2023,122
1.0,9:50,2.0,6.0,LVR 39,0.0,0.0,Craig Reynolds up the middle for 11 yards (tackle by Tre'von Moehrig),2.72,3.71,8.0,2023,122
1.0,9:14,1.0,10.0,LVR 28,0.0,0.0,Craig Reynolds up the middle for 2 yards (tackle by Tyree Wilson and Jerry Tillery),3.71,3.44,8.0,2023,122
1.0,8:37,,,,,,Timeout #1 by Las Vegas Raiders,,,8.0,2023,122
1.0,8:37,2.0,8.0,LVR 26,0.0,0.0,Jahmyr Gibbs right tackle for no gain (tackle by Maxx Crosby),3.44,2.74,8.0,2023,122
1.0,8:02,3.0,8.0,LVR 26,0.0,0.0,Jared Goff pass incomplete deep right intended for Sam LaPorta,2.74,1.74,8.0,2023,122
1.0,7:56,4.0,8.0,LVR 26,0.0,3.0,Riley Patterson 44 yard field goal good,1.74,3.0,8.0,2023,122
1.0,7:51,,,DET 35,0.0,3.0,"Jack Fox kicks off 65 yards, touchback.",0.0,0.61,8.0,2023,122
1.0,7:51,1.0,10.0,LVR 25,0.0,3.0,Jimmy Garoppolo pass complete short middle to Josh Jacobs for 12 yards (tackle by Julian Okwara),0.61,1.4,8.0,2023,122
1.0,7:22,1.0,10.0,LVR 37,0.0,3.0,Jimmy Garoppolo pass incomplete short left intended for Josh Jacobs,1.4,0.86,8.0,2023,122
1.0,7:14,2.0,10.0,LVR 37,0.0,3.0,Josh Jacobs left tackle for no gain (tackle by Tracy Walker and Brian Branch),0.86,0.17,8.0,2023,122
1.0,6:31,3.0,10.0,LVR 37,0.0,3.0,Jimmy Garoppolo scrambles left end for 9 yards (tackle by Alex Anzalone),0.17,-0.32,8.0,2023,122
1.0,5:50,4.0,1.0,LVR 46,0.0,3.0,"AJ Cole punts 43 yards, fair catch by Kalif Raymond at DET-11",-0.32,0.37,8.0,2023,122
1.0,5:44,1.0,10.0,DET 11,0.0,3.0,Jahmyr Gibbs left end for 3 yards (tackle by Malcolm Koonce and John Jenkins),-0.37,-0.53,8.0,2023,122
1.0,5:09,2.0,7.0,DET 14,0.0,3.0,"Jared Goff pass complete short right to Josh Reynolds for 13 yards. Josh Reynolds fumbles (forced by Luke Masterson), recovered by Robert Spillane at DET-26",-0.53,-3.84,8.0,2023,122
1.0,4:59,1.0,10.0,DET 26,0.0,3.0,Jimmy Garoppolo pass deep right intended for Davante Adams is intercepted by Kerby Joseph in end zone and returned for 15 yards (tackle by Hunter Renfrow),3.84,0.37,8.0,2023,122
1.0,4:49,1.0,10.0,DET 11,0.0,3.0,Jared Goff pass complete short left to Sam LaPorta for no gain (tackle by Amik Robertson),-0.37,-0.78,8.0,2023,122
1.0,4:15,2.0,10.0,DET 11,0.0,3.0,Jared Goff pass incomplete short middle intended for Amon-Ra St. Brown (defended by John Jenkins),-0.78,-1.42,8.0,2023,122
1.0,4:10,3.0,10.0,DET 11,0.0,3.0,Jared Goff pass incomplete deep left,-1.42,-2.49,8.0,2023,122
1.0,4:04,4.0,10.0,DET 11,0.0,3.0,"Jack Fox punts 48 yards, fair catch by DeAndre Carter at LV-41",-2.49,-1.66,8.0,2023,122
1.0,3:55,1.0,10.0,LVR 41,0.0,3.0,Josh Jacobs up the middle for 5 yards (tackle by Jack Campbell),1.66,1.8,8.0,2023,122
1.0,3:30,2.0,5.0,LVR 46,0.0,3.0,Josh Jacobs up the middle for 4 yards (tackle by Brian Branch),1.8,1.62,8.0,2023,122
1.0,3:13,3.0,1.0,DET 50,0.0,3.0,Josh Jacobs left end for -1 yards (tackle by Alex Anzalone),1.62,-0.13,8.0,2023,122
1.0,2:36,4.0,2.0,LVR 49,0.0,3.0,Jimmy Garoppolo pass incomplete deep right intended for Hunter Renfrow,-0.13,-2.32,8.0,2023,122
1.0,2:29,1.0,10.0,LVR 49,0.0,3.0,Jared Goff pass complete short right to Amon-Ra St. Brown for 12 yards (tackle by Tre'von Moehrig),2.32,3.12,8.0,2023,122
1.0,2:00,1.0,10.0,LVR 37,0.0,3.0,Jared Goff pass complete short middle to Amon-Ra St. Brown for 8 yards (tackle by Luke Masterson),3.12,3.65,8.0,2023,122
1.0,1:36,2.0,2.0,LVR 29,0.0,3.0,Jahmyr Gibbs left tackle for 8 yards (tackle by Marcus Epps),3.65,4.17,8.0,2023,122
1.0,1:09,1.0,10.0,LVR 21,0.0,3.0,Jahmyr Gibbs left tackle for -1 yards (tackle by Marcus Epps),4.17,3.49,8.0,2023,122
1.0,0:27,2.0,11.0,LVR 22,0.0,3.0,Jared Goff pass incomplete short right intended for Jameson Williams,3.49,2.81,8.0,2023,122
1.0,0:22,3.0,11.0,LVR 22,0.0,3.0,Jared Goff pass complete short right to Kalif Raymond for 14 yards (tackle by Marcus Peters),2.81,5.37,8.0,2023,122
2.0,15:00,1.0,8.0,LVR 8,0.0,3.0,Jahmyr Gibbs up the middle for 2 yards (tackle by Robert Spillane and Isaac Rochell),5.37,4.95,8.0,2023,122
2.0,14:29,2.0,6.0,LVR 6,0.0,3.0,"Jahmyr Gibbs left end for no gain (tackle by Marcus Epps and Nate Hobbs). Penalty on Taylor Decker: Offensive Holding, 10 yards (accepted) (no play)",4.95,3.34,8.0,2023,122
2.0,14:07,2.0,16.0,LVR 16,0.0,3.0,Kalif Raymond left tackle for -2 yards (tackle by Adam Butler),3.34,2.63,8.0,2023,122
2.0,13:29,3.0,18.0,LVR 18,0.0,3.0,Jared Goff pass complete short right to Kalif Raymond for 10 yards (tackle by Luke Masterson),2.63,2.95,8.0,2023,122
2.0,12:35,4.0,8.0,LVR 8,0.0,3.0,"Penalty on DET: Delay of Game, 5 yards (accepted) (no play)",2.95,2.57,8.0,2023,122
2.0,12:27,4.0,13.0,LVR 13,0.0,6.0,Riley Patterson 31 yard field goal good,2.57,3.0,8.0,2023,122
2.0,12:23,,,DET 35,0.0,6.0,"Jack Fox kicks off 65 yards, touchback.",0.0,0.61,8.0,2023,122
2.0,12:23,1.0,10.0,LVR 25,0.0,6.0,Josh Jacobs left tackle for 4 yards (tackle by John Cominsky and Alim McNeill),0.61,0.6,8.0,2023,122
2.0,11:42,2.0,6.0,LVR 29,0.0,6.0,Jimmy Garoppolo pass incomplete short middle intended for Davante Adams (defended by Alim McNeill),0.6,-0.1,8.0,2023,122
2.0,11:37,3.0,6.0,LVR 29,0.0,6.0,Jimmy Garoppolo pass incomplete short left intended for Hunter Renfrow,-0.1,-1.44,8.0,2023,122
2.0,11:31,4.0,6.0,LVR 29,0.0,6.0,AJ Cole punts 49 yards,-1.44,-0.41,8.0,2023,122
2.0,11:24,1.0,10.0,DET 22,0.0,6.0,Jared Goff pass complete deep middle to Amon-Ra St. Brown for 44 yards (tackle by Marcus Epps),0.41,3.31,8.0,2023,122
2.0,10:44,1.0,10.0,LVR 34,0.0,6.0,Jared Goff pass complete short middle to Jameson Williams for -6 yards (tackle by Maxx Crosby),3.31,1.96,8.0,2023,122
2.0,10:05,2.0,16.0,LVR 40,0.0,6.0,"Jared Goff pass complete deep right to Amon-Ra St. Brown for 24 yards (tackle by Tre'von Moehrig). Penalty on Nate Hobbs: Illegal Contact, 5 yards (declined)",1.96,4.51,8.0,2023,122
2.0,9:35,1.0,10.0,LVR 16,0.0,6.0,Jared Goff pass complete short left to Sam LaPorta for 9 yards (tackle by Marcus Epps),4.51,5.54,8.0,2023,122
2.0,9:01,2.0,1.0,LVR 7,0.0,6.0,Amon-Ra St. Brown sacked by Nate Hobbs for -8 yards,5.54,3.22,8.0,2023,122
2.0,8:17,3.0,9.0,LVR 15,0.0,6.0,Jared Goff pass incomplete short middle intended for Kalif Raymond (defended by Adam Butler),3.22,2.44,8.0,2023,122
2.0,8:12,4.0,9.0,LVR 15,0.0,9.0,Riley Patterson 33 yard field goal good,2.44,3.0,8.0,2023,122
2.0,8:08,,,DET 35,0.0,9.0,"Jack Fox kicks off 65 yards, touchback.",0.0,0.61,8.0,2023,122
