Tm,Total,Offense Tot,Offense Pass,Offense Rush,Offense TOvr,Defense Tot,Defense Pass,Defense Rush,Defense TOvr,Special Teams Tot,Special Teams KO,Special Teams KR,Special Teams P,Special Teams PR,Special Teams FG/XP,week,year,game_id
Bengals,14.0,18.3,11.98,5.59,-6.13,-9.25,-6.75,-2.5,13.6,-2.48,-2.77,3.36,1.31,-3.14,-1.24,8.0,2023,118
49ers,-14.0,9.25,6.75,2.5,-13.6,-18.3,-11.98,-5.59,6.13,2.48,-3.36,2.77,3.14,-1.31,1.24,8.0,2023,118
