Quarter,Time,Down,ToGo,Location,CIN,SFO,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Bengals won the coin toss and deferred, 49ers to receive the opening kickoff.",,,8.0,2023,118
1.0,15:00,,,CIN 35,0.0,0.0,"Evan McPherson kicks off 65 yards, touchback.",0.0,0.61,8.0,2023,118
1.0,15:00,1.0,10.0,SFO 25,0.0,0.0,Christian McCaffrey right end for 8 yards (tackle by Daxton Hill),0.61,1.14,8.0,2023,118
1.0,14:24,2.0,2.0,SFO 33,0.0,0.0,Christian McCaffrey left tackle for 1 yard (tackle by Logan Wilson),1.14,0.56,8.0,2023,118
1.0,13:46,3.0,1.0,SFO 34,0.0,0.0,Kyle Juszczyk up the middle for -1 yards (tackle by Cam Taylor-Britt),0.56,-1.18,8.0,2023,118
1.0,13:02,4.0,2.0,SFO 33,0.0,0.0,"Mitch Wishnowsky punts 60 yards, returned by Trenton Irwin for 8 yards (tackle by Kendall Sheffield and Charlie Woerner)",-1.18,0.22,8.0,2023,118
1.0,12:49,1.0,10.0,CIN 15,0.0,0.0,"Joe Burrow pass complete short middle to Ja'Marr Chase for 8 yards. Ja'Marr Chase fumbles (forced by Fred Warner) (tackle by Deommodore Lenoir), recovered by Ja'Marr Chase at CIN-20",-0.22,0.48,8.0,2023,118
1.0,12:11,2.0,2.0,CIN 23,0.0,0.0,Joe Burrow pass complete short left to Tee Higgins for 8 yards (tackle by Deommodore Lenoir and Dre Greenlaw),0.48,1.0,8.0,2023,118
1.0,11:36,1.0,10.0,CIN 31,0.0,0.0,Joe Burrow pass incomplete short right intended for Drew Sample,1.0,0.46,8.0,2023,118
1.0,11:33,2.0,10.0,CIN 31,0.0,0.0,Joe Burrow pass incomplete short right intended for Ja'Marr Chase (defended by Isaiah Oliver),0.46,-0.23,8.0,2023,118
1.0,11:04,3.0,10.0,CIN 31,0.0,0.0,"Joe Burrow pass complete short right to Tee Higgins for 10 yards (tackle by Charvarius Ward). Penalty on Charvarius Ward: Defensive Holding, 5 yards (declined)",-0.23,1.66,8.0,2023,118
1.0,11:01,1.0,10.0,CIN 41,0.0,0.0,"Penalty on Nick Bosa: Neutral Zone Infraction, 5 yards (accepted) (no play)",1.66,2.39,8.0,2023,118
1.0,11:01,1.0,5.0,CIN 46,0.0,0.0,Joe Burrow pass complete short left to Ja'Marr Chase for 8 yards (tackle by Talanoa Hufanga),2.39,2.52,8.0,2023,118
1.0,10:22,1.0,10.0,SFO 46,0.0,0.0,Joe Burrow pass complete short middle to Ja'Marr Chase for 15 yards (tackle by Tashaun Gipson),2.52,3.51,8.0,2023,118
1.0,9:42,1.0,10.0,SFO 31,0.0,0.0,Joe Mixon up the middle for 20 yards (tackle by Deommodore Lenoir),3.51,4.84,8.0,2023,118
1.0,8:59,1.0,10.0,SFO 11,0.0,0.0,Joe Burrow pass complete short left to Joe Mixon for 4 yards (tackle by Fred Warner),4.84,4.89,8.0,2023,118
1.0,8:17,2.0,6.0,SFO 7,6.0,0.0,"Joe Burrow pass complete short right to Tyler Boyd for 7 yards, touchdown",4.89,7.0,8.0,2023,118
1.0,8:11,,,SFO 15,7.0,0.0,Evan McPherson kicks extra point good,0.0,0.0,8.0,2023,118
1.0,8:11,,,CIN 35,7.0,0.0,"Evan McPherson kicks off 65 yards, touchback.",0.0,0.61,8.0,2023,118
1.0,8:11,1.0,10.0,SFO 25,7.0,0.0,Brock Purdy pass complete short left to Christian McCaffrey for 13 yards (tackle by Germaine Pratt),0.61,1.47,8.0,2023,118
1.0,7:34,1.0,10.0,SFO 38,7.0,0.0,Brock Purdy pass complete short middle to Ray-Ray McCloud for 2 yards (tackle by Sam Hubbard),1.47,1.19,8.0,2023,118
1.0,6:53,2.0,8.0,SFO 40,7.0,0.0,Christian McCaffrey left end for no gain (tackle by Germaine Pratt),1.19,0.5,8.0,2023,118
1.0,6:07,3.0,8.0,SFO 40,7.0,0.0,Brock Purdy scrambles left end for 16 yards (tackle by Mike Hilton),0.5,2.65,8.0,2023,118
1.0,5:35,1.0,10.0,CIN 44,7.0,0.0,Brock Purdy pass complete deep right to Brandon Aiyuk for 31 yards (tackle by Logan Wilson and Cam Taylor-Britt),2.65,4.71,8.0,2023,118
1.0,4:50,1.0,10.0,CIN 13,7.0,0.0,Brock Purdy pass complete short left to George Kittle for 6 yards (tackle by DJ Turner),4.71,5.15,8.0,2023,118
1.0,4:05,2.0,4.0,CIN 7,7.0,0.0,Elijah Mitchell up the middle for 5 yards (tackle by D.J. Reader and B.J. Hill),5.15,6.74,8.0,2023,118
1.0,3:23,1.0,2.0,CIN 2,7.0,6.0,"Christian McCaffrey up the middle for 2 yards, touchdown",6.74,7.0,8.0,2023,118
1.0,3:19,,,CIN 15,7.0,7.0,Jake Moody kicks extra point good,0.0,0.0,8.0,2023,118
1.0,3:19,,,SFO 35,7.0,7.0,"Jake Moody kicks off 64 yards, returned by Trayveon Williams for 41 yards (tackle by Isaiah Oliver and Jordan Mason)",0.0,1.73,8.0,2023,118
1.0,3:11,1.0,10.0,CIN 42,7.0,7.0,Joe Burrow pass complete short left to Joe Mixon for 12 yards (tackle by Kevin Givens and Isaiah Oliver),1.73,2.52,8.0,2023,118
1.0,2:26,1.0,10.0,SFO 46,7.0,7.0,Joe Mixon right end for 5 yards (tackle by Dre Greenlaw),2.52,2.65,8.0,2023,118
1.0,1:55,2.0,5.0,SFO 41,7.0,7.0,Tyler Boyd right end for 6 yards (tackle by Dre Greenlaw and Fred Warner),2.65,3.25,8.0,2023,118
1.0,1:17,1.0,10.0,SFO 35,7.0,7.0,Joe Burrow pass complete short middle to Tyler Boyd for 22 yards (tackle by Tashaun Gipson),3.25,4.71,8.0,2023,118
1.0,0:36,1.0,10.0,SFO 13,7.0,7.0,Joe Mixon right tackle for 11 yards (tackle by Talanoa Hufanga),4.71,6.74,8.0,2023,118
1.0,0:01,1.0,2.0,SFO 2,13.0,7.0,"Joe Burrow pass complete short right to Andrei Iosivas for 2 yards, touchdown",6.74,7.0,8.0,2023,118
1.0,0:00,,,SFO 15,14.0,7.0,Evan McPherson kicks extra point good,0.0,0.0,8.0,2023,118
2.0,15:00,,,CIN 35,14.0,7.0,"Evan McPherson kicks off 67 yards, returned by Ray-Ray McCloud for 16 yards (tackle by Andrei Iosivas)",0.0,-0.28,8.0,2023,118
2.0,14:56,1.0,10.0,SFO 14,14.0,7.0,Brock Purdy scrambles left end for 8 yards (tackle by Logan Wilson),-0.28,0.42,8.0,2023,118
2.0,14:31,2.0,2.0,SFO 22,14.0,7.0,Elijah Mitchell up the middle for -4 yards (tackle by Mike Hilton),0.42,-0.92,8.0,2023,118
2.0,13:45,3.0,6.0,SFO 18,14.0,7.0,Brock Purdy pass incomplete short middle intended for Brandon Aiyuk (defended by Logan Wilson) (defended by B.J. Hill),-0.92,-2.24,8.0,2023,118
2.0,13:40,4.0,6.0,SFO 18,14.0,7.0,Mitch Wishnowsky punts 62 yards downed by Ambry Thomas,-2.24,-0.28,8.0,2023,118
2.0,13:30,1.0,10.0,CIN 20,14.0,7.0,Joe Burrow pass complete short right to Irv Smith for 4 yards (tackle by Fred Warner),0.28,0.27,8.0,2023,118
2.0,12:53,2.0,6.0,CIN 24,14.0,7.0,Joe Mixon up the middle for 4 yards (tackle by Fred Warner),0.27,0.1,8.0,2023,118
2.0,12:19,3.0,2.0,CIN 28,14.0,7.0,"Joe Burrow pass complete short right to Ja'Marr Chase for 7 yards (tackle by Charvarius Ward and Tashaun Gipson). Penalty on Isaiah Oliver: Use of Helmet / Defense, 15 yards (accepted)",0.1,2.26,8.0,2023,118
2.0,11:57,1.0,10.0,CIN 50,14.0,7.0,Joe Burrow scrambles up the middle for 1 yard (tackle by Nick Bosa),2.26,1.85,8.0,2023,118
2.0,11:18,2.0,9.0,SFO 49,14.0,7.0,Joe Burrow pass complete short left to Ja'Marr Chase for no gain (tackle by Isaiah Oliver),1.85,1.16,8.0,2023,118
2.0,10:32,,,,,,Timeout #1 by San Francisco 49ers,,,8.0,2023,118
2.0,10:32,3.0,9.0,SFO 49,14.0,7.0,Joe Burrow up the middle for 10 yards (tackle by Talanoa Hufanga),1.16,2.98,8.0,2023,118
2.0,9:54,1.0,10.0,SFO 39,14.0,7.0,Joe Burrow pass complete short left to Irv Smith for 11 yards (tackle by Dre Greenlaw),2.98,3.71,8.0,2023,118
2.0,9:14,1.0,10.0,SFO 28,14.0,7.0,Joe Mixon right end for 3 yards (tackle by Randy Gregory),3.71,3.57,8.0,2023,118
2.0,8:34,2.0,7.0,SFO 25,14.0,7.0,Joe Mixon left guard for no gain (tackle by Isaiah Oliver),3.57,2.87,8.0,2023,118
2.0,7:53,3.0,7.0,SFO 25,14.0,7.0,Joe Burrow sacked by Arik Armstead for -7 yards,2.87,1.24,8.0,2023,118
2.0,7:08,4.0,14.0,SFO 32,14.0,7.0,Evan McPherson 50 yard field goal no good,1.24,-1.6,8.0,2023,118
2.0,7:03,1.0,10.0,SFO 40,14.0,7.0,Brock Purdy pass complete deep right to Brandon Aiyuk for 23 yards (tackle by Jordan Battle),1.6,3.12,8.0,2023,118
2.0,6:29,1.0,10.0,CIN 37,14.0,7.0,Brock Purdy scrambles right end for 9 yards (tackle by Sam Hubbard),3.12,3.79,8.0,2023,118
2.0,5:52,2.0,1.0,CIN 28,14.0,7.0,Christian McCaffrey right tackle for 4 yards (tackle by Cam Taylor-Britt and Josh Tupou),3.79,3.97,8.0,2023,118
2.0,5:13,1.0,10.0,CIN 24,14.0,7.0,Elijah Mitchell up the middle for 1 yard (tackle by Mike Hilton and Sam Hubbard),3.97,3.57,8.0,2023,118
2.0,4:31,2.0,9.0,CIN 23,14.0,7.0,"Christian McCaffrey for no gain. Penalty on Jauan Jennings: Offensive Holding, 10 yards (accepted) (no play)",3.57,2.15,8.0,2023,118
2.0,4:19,2.0,20.0,CIN 33,14.0,7.0,Brock Purdy pass complete short middle to Christian McCaffrey for 5 yards (tackle by Mike Hilton),2.15,2.21,8.0,2023,118
2.0,3:38,3.0,14.0,CIN 28,14.0,7.0,Brock Purdy scrambles left tackle for 10 yards (tackle by Jordan Battle),2.21,2.32,8.0,2023,118
2.0,2:48,4.0,4.0,CIN 18,14.0,10.0,Jake Moody 36 yard field goal good,2.32,3.0,8.0,2023,118
