Player,Tm,Receiving Tgt,Receiving Rec,Receiving Yds,Receiving TD,Receiving Lng,week,year,game_id
Jimmy Garoppolo,LVR,0,0,0,0,0,8.0,2023,122
Josh Jacobs,LVR,4,2,27,0,15,8.0,2023,122
Ameer Abdullah,LVR,1,1,12,0,12,8.0,2023,122
Hunter Renfrow,LVR,4,2,19,0,18,8.0,2023,122
Jakobi Meyers,LVR,1,1,19,0,19,8.0,2023,122
Austin Hooper,LVR,2,2,19,0,11,8.0,2023,122
Michael Mayer,LVR,2,1,19,0,19,8.0,2023,122
Davante Adams,LVR,7,1,11,0,11,8.0,2023,122
Jared Goff,DET,0,0,0,0,0,8.0,2023,122
Amon-Ra St. Brown,DET,9,6,108,0,44,8.0,2023,122
Jahmyr Gibbs,DET,5,5,37,0,14,8.0,2023,122
Craig Reynolds,DET,1,1,12,0,12,8.0,2023,122
Sam LaPorta,DET,10,8,57,1,18,8.0,2023,122
Jameson Williams,DET,3,2,16,0,22,8.0,2023,122
Josh Reynolds,DET,1,1,13,0,13,8.0,2023,122
Brock Wright,DET,1,1,5,0,5,8.0,2023,122
Kalif Raymond,DET,4,2,24,0,14,8.0,2023,122
